longdate,DateTime,LEVEL
Wed 11th Feb 2009,11/02/2009 2:04,0.396
Mon 16th Mar 2009,16/03/2009 0:05,2.589
Thu 23rd Apr 2009,23/04/2009 1:22,2.15
Tue 12th May 2009,11/05/2009 20:30,2.64
Wed 17th Jun 2009,17/06/2009 1:23,3.048
Fri 17th Jul 2009,16/07/2009 22:00,3.374
Wed 12th Aug 2009,12/08/2009 1:25,3.395
Wed 23rd Sep 2009,23/09/2009 0:30,3.385
Mon 5th Oct 2009,5/10/2009 3:25,4.027
Mon 2nd Nov 2009,1/11/2009 22:00,4.007
Wed 2nd Dec 2009,1/12/2009 21:40,3.068
Thu 17th Dec 2009,16/12/2009 22:40,3.181
Mon 11th Jan 2010,10/01/2010 20:10,1.426
Thu 21st Jan 2010,20/01/2010 21:30,2.212
Fri 5th Feb 2010,4/02/2010 20:00,3.242
Thu 11th Feb 2010,10/02/2010 21:00,3.181
Fri 12th Mar 2010,11/03/2010 19:45,2.314
Thu 18th Mar 2010,17/03/2010 20:40,2.62
Thu 1st Apr 2010,31/03/2010 21:00,2.191
Thu 8th Apr 2010,8/04/2010 0:20,2.599
Thu 6th May 2010,5/05/2010 23:30,2.354
Thu 20th May 2010,19/05/2010 23:05,2.885
Tue 8th Jun 2010,7/06/2010 23:10,3.752
Thu 8th Jul 2010,7/07/2010 22:20,4.201
Mon 2nd Aug 2010,1/08/2010 22:25,4.276
Fri 17th Sep 2010,16/09/2010 21:55,4.326
Mon 4th Oct 2010,3/10/2010 21:20,3.926
Fri 5th Nov 2010,4/11/2010 20:20,3.846
Thu 2nd Dec 2010,1/12/2010 20:00,2.636
Wed 12th Jan 2011,12/01/2011 0:45,1.406
Thu 10th Feb 2011,9/02/2011 19:30,2.846
Thu 10th Mar 2011,9/03/2011 19:25,3.296
Mon 4th Apr 2011,3/04/2011 22:10,3.576
Mon 2nd May 2011,1/05/2011 22:10,3.866
Fri 10th Jun 2011,9/06/2011 21:50,3.916
Thu 7th Jul 2011,6/07/2011 22:45,2.976
Fri 19th Aug 2011,19/08/2011 0:00,4.076
Tue 27th Sep 2011,26/09/2011 22:35,3.476
Tue 25th Oct 2011,24/10/2011 23:30,3.296
Fri 25th Nov 2011,24/11/2011 22:20,3.116
Thu 15th Dec 2011,14/12/2011 20:45,3.086
Wed 11th Jan 2012,11/01/2012 0:20,3.796
Wed 22nd Feb 2012,21/02/2012 23:30,3.426
Thu 15th Mar 2012,14/03/2012 23:10,3.506
Tue 10th Apr 2012,10/04/2012 3:45,3.856
Tue 8th May 2012,8/05/2012 1:00,3.826
Thu 21st Jun 2012,20/06/2012 22:00,3.726
Wed 18th Jul 2012,17/07/2012 23:35,3.826
Thu 16th Aug 2012,16/08/2012 2:25,4.476
Wed 19th Sep 2012,18/09/2012 22:35,3.786
Thu 25th Oct 2012,24/10/2012 23:45,3.286
Tue 13th Nov 2012,12/11/2012 23:25,2.746
Wed 5th Dec 2012,4/12/2012 23:15,1.846
Wed 9th Jan 2013,8/01/2013 23:45,0.916
Tue 23rd Apr 2013,23/04/2013 2:30,2.176
Wed 22nd May 2013,22/05/2013 0:52,3.006
Wed 12th Jun 2013,12/06/2013 2:05,3.346
Fri 19th Jul 2013,19/07/2013 0:01,4.296
Tue 20th Aug 2013,20/08/2013 2:28,4.256
Thu 5th Sep 2013,5/09/2013 1:38,4.206
Wed 16th Oct 2013,16/10/2013 0:26,4.036
Thu 5th Dec 2013,4/12/2013 21:34,3.606
Thu 9th Jan 2014,8/01/2014 21:36,1.686
Thu 20th Feb 2014,20/02/2014 0:52,2.176
Fri 21st Mar 2014,21/03/2014 0:05,2.086
Thu 10th Apr 2014,10/04/2014 2:13,2.926
Wed 21st May 2014,21/05/2014 0:02,3.536
Wed 11th Jun 2014,11/06/2014 2:55,3.656
Tue 22nd Jul 2014,22/07/2014 1:26,3.866
Fri 8th Aug 2014,8/08/2014 0:15,3.856
Fri 19th Sep 2014,18/09/2014 22:57,3.876
Wed 15th Oct 2014,14/10/2014 21:09,3.606
Wed 5th Nov 2014,4/11/2014 20:43,3.396
Wed 10th Dec 2014,9/12/2014 22:44,1.876
Fri 23rd Jan 2015,22/01/2015 22:02,0.766
Fri 13th Feb 2015,12/02/2015 21:57,0.956
Tue 10th Mar 2015,9/03/2015 21:29,0.926
