"DateTime","Awanui Stream at Flume (x)","Awanui Stream at Flume (y)"
"Fri 2nd Jan 2009","2009-01-01 23:00:00",64.72857
"Sat 3rd Jan 2009","2009-01-02 23:00:00",61.49524
"Sun 4th Jan 2009","2009-01-03 23:00:00",55.142857
"Mon 5th Jan 2009","2009-01-04 23:00:00",48.942857
"Tue 6th Jan 2009","2009-01-05 23:00:00",52.02381
"Wed 7th Jan 2009","2009-01-06 23:00:00",74.904
"Thu 8th Jan 2009","2009-01-07 23:00:00",71.42267
"Fri 9th Jan 2009","2009-01-08 23:00:00",68
"Sat 10th Jan 2009","2009-01-09 23:00:00",61.49524
"Sun 11th Jan 2009","2009-01-10 23:00:00",100.916
"Mon 12th Jan 2009","2009-01-11 23:00:00",80.236
"Tue 13th Jan 2009","2009-01-12 23:00:00",47.416667
"Wed 14th Jan 2009","2009-01-13 23:00:00",47.416667
"Thu 15th Jan 2009","2009-01-14 23:00:00",44.392857
"Fri 16th Jan 2009","2009-01-15 23:00:00",41.407143
"Sat 17th Jan 2009","2009-01-16 23:00:00",39.92857
"Sun 18th Jan 2009","2009-01-17 23:00:00",45.9
"Mon 19th Jan 2009","2009-01-18 23:00:00",39.92857
"Tue 20th Jan 2009","2009-01-19 23:00:00",35.568126
"Wed 21st Jan 2009","2009-01-20 23:00:00",29.934175
"Thu 22nd Jan 2009","2009-01-21 23:00:00",31.328996
"Fri 23rd Jan 2009","2009-01-22 23:00:00",28.548178
"Sat 24th Jan 2009","2009-01-23 23:00:00",28.548178
"Sun 25th Jan 2009","2009-01-24 23:00:00",31.328996
"Mon 26th Jan 2009","2009-01-25 23:00:00",28.548178
"Tue 27th Jan 2009","2009-01-26 23:00:00",31.328996
"Wed 28th Jan 2009","2009-01-27 23:00:00",27.170837
"Thu 29th Jan 2009","2009-01-28 23:00:00",28.548178
"Fri 30th Jan 2009","2009-01-29 23:00:00",28.548178
"Sat 31st Jan 2009","2009-01-30 23:00:00",27.170837
"Sun 1st Feb 2009","2009-01-31 23:00:00",25.801993
"Mon 2nd Feb 2009","2009-02-01 23:00:00",23.08918
"Tue 3rd Feb 2009","2009-02-02 23:00:00",27.170837
"Wed 4th Feb 2009","2009-02-03 23:00:00",25.801993
"Thu 5th Feb 2009","2009-02-04 23:00:00",27.170837
"Fri 6th Feb 2009","2009-02-05 23:00:00",27.170837
"Sat 7th Feb 2009","2009-02-06 23:00:00",28.548178
"Sun 8th Feb 2009","2009-02-07 23:00:00",24.44149
"Mon 9th Feb 2009","2009-02-08 23:00:00",24.44149
"Tue 10th Feb 2009","2009-02-09 23:00:00",25.801993
"Wed 11th Feb 2009","2009-02-10 23:00:00",29.934175
"Thu 12th Feb 2009","2009-02-11 23:00:00",32.73281
"Fri 13th Feb 2009","2009-02-12 23:00:00",35.568126
"Sat 14th Feb 2009","2009-02-13 23:00:00",32.73281
"Sun 15th Feb 2009","2009-02-14 23:00:00",29.934175
"Mon 16th Feb 2009","2009-02-15 23:00:00",31.328996
"Tue 17th Feb 2009","2009-02-16 23:00:00",35.568126
"Wed 18th Feb 2009","2009-02-17 23:00:00",34.14579
"Thu 19th Feb 2009","2009-02-18 23:00:00",32.73281
"Fri 20th Feb 2009","2009-02-19 23:00:00",38.459524
"Sat 21st Feb 2009","2009-02-20 23:00:00",39.92857
"Sun 22nd Feb 2009","2009-02-21 23:00:00",37
"Mon 23rd Feb 2009","2009-02-22 23:00:00",32.73281
"Tue 24th Feb 2009","2009-02-23 23:00:00",35.568126
"Wed 25th Feb 2009","2009-02-24 23:00:00",38.459524
"Thu 26th Feb 2009","2009-02-25 23:00:00",35.568126
"Fri 27th Feb 2009","2009-02-26 23:00:00",38.459524
"Sat 28th Feb 2009","2009-02-27 23:00:00",56.716667
"Sun 1st Mar 2009","2009-02-28 23:00:00",121.04679
"Mon 2nd Mar 2009","2009-03-01 23:00:00",82.042667
"Tue 3rd Mar 2009","2009-03-02 23:00:00",59.892857
"Wed 4th Mar 2009","2009-03-03 23:00:00",50.478571
"Thu 5th Mar 2009","2009-03-04 23:00:00",47.416667
"Fri 6th Mar 2009","2009-03-05 23:00:00",58.3
"Sat 7th Mar 2009","2009-03-06 23:00:00",59.892857
"Sun 8th Mar 2009","2009-03-07 23:00:00",61.49524
"Mon 9th Mar 2009","2009-03-08 23:00:00",56.716667
"Tue 10th Mar 2009","2009-03-09 23:00:00",53.57857
"Wed 11th Mar 2009","2009-03-10 23:00:00",48.942857
"Thu 12th Mar 2009","2009-03-11 23:00:00",52.02381
"Fri 13th Mar 2009","2009-03-12 23:00:00",52.02381
"Sat 14th Mar 2009","2009-03-13 23:00:00",53.57857
"Sun 15th Mar 2009","2009-03-14 23:00:00",50.478571
"Mon 16th Mar 2009","2009-03-15 23:00:00",52.02381
"Tue 17th Mar 2009","2009-03-16 23:00:00",59.892857
"Wed 18th Mar 2009","2009-03-17 23:00:00",64.72857
"Thu 19th Mar 2009","2009-03-18 23:00:00",63.107143
"Fri 20th Mar 2009","2009-03-19 23:00:00",56.716667
"Sat 21st Mar 2009","2009-03-20 23:00:00",56.716667
"Sun 22nd Mar 2009","2009-03-21 23:00:00",56.716667
"Mon 23rd Mar 2009","2009-03-22 23:00:00",56.716667
"Tue 24th Mar 2009","2009-03-23 23:00:00",59.892857
"Wed 25th Mar 2009","2009-03-24 23:00:00",56.716667
"Thu 26th Mar 2009","2009-03-25 23:00:00",58.3
"Fri 27th Mar 2009","2009-03-26 23:00:00",58.3
"Sat 28th Mar 2009","2009-03-27 23:00:00",58.3
"Sun 29th Mar 2009","2009-03-28 23:00:00",59.892857
"Mon 30th Mar 2009","2009-03-29 23:00:00",58.3
"Tue 31st Mar 2009","2009-03-30 23:00:00",59.892857
"Wed 1st Apr 2009","2009-03-31 23:00:00",61.49524
"Thu 2nd Apr 2009","2009-04-01 23:00:00",63.107143
"Fri 3rd Apr 2009","2009-04-02 23:00:00",63.107143
"Sat 4th Apr 2009","2009-04-03 23:00:00",63.107143
"Sun 5th Apr 2009","2009-04-05 00:00:00",63.107143
"Mon 6th Apr 2009","2009-04-06 00:00:00",63.107143
"Tue 7th Apr 2009","2009-04-07 00:00:00",64.72857
"Wed 8th Apr 2009","2009-04-08 00:00:00",64.72857
"Thu 9th Apr 2009","2009-04-09 00:00:00",59.892857
"Fri 10th Apr 2009","2009-04-10 00:00:00",58.3
"Sat 11th Apr 2009","2009-04-11 00:00:00",61.49524
"Sun 12th Apr 2009","2009-04-12 00:00:00",61.49524
"Mon 13th Apr 2009","2009-04-13 00:00:00",64.72857
"Tue 14th Apr 2009","2009-04-14 00:00:00",66.35952
"Wed 15th Apr 2009","2009-04-15 00:00:00",64.72857
"Thu 16th Apr 2009","2009-04-16 00:00:00",64.72857
"Fri 17th Apr 2009","2009-04-17 00:00:00",66.35952
"Sat 18th Apr 2009","2009-04-18 00:00:00",66.35952
"Sun 19th Apr 2009","2009-04-19 00:00:00",66.35952
"Mon 20th Apr 2009","2009-04-20 00:00:00",71.42267
"Tue 21st Apr 2009","2009-04-21 00:00:00",93.190667
"Wed 22nd Apr 2009","2009-04-22 00:00:00",91.296
"Thu 23rd Apr 2009","2009-04-23 00:00:00",83.864
"Fri 24th Apr 2009","2009-04-24 00:00:00",82.042667
"Sat 25th Apr 2009","2009-04-25 00:00:00",82.042667
"Sun 26th Apr 2009","2009-04-26 00:00:00",85.7
"Mon 27th Apr 2009","2009-04-27 00:00:00",91.296
"Tue 28th Apr 2009","2009-04-28 00:00:00",89.416
"Wed 29th Apr 2009","2009-04-29 00:00:00",91.296
"Thu 30th Apr 2009","2009-04-30 00:00:00",89.416
"Fri 1st May 2009","2009-05-01 00:00:00",87.550667
"Sat 2nd May 2009","2009-05-02 00:00:00",93.190667
"Sun 3rd May 2009","2009-05-03 00:00:00",102.884
"Mon 4th May 2009","2009-05-04 00:00:00",115
"Tue 5th May 2009","2009-05-05 00:00:00",108.876
"Wed 6th May 2009","2009-05-06 00:00:00",112.944
"Thu 7th May 2009","2009-05-07 00:00:00",115
"Fri 8th May 2009","2009-05-08 00:00:00",112.944
"Sat 9th May 2009","2009-05-09 00:00:00",115
"Sun 10th May 2009","2009-05-10 00:00:00",112.944
"Mon 11th May 2009","2009-05-11 00:00:00",112.944
"Tue 12th May 2009","2009-05-12 00:00:00",119.021505
"Wed 13th May 2009","2009-05-13 00:00:00",123.081751
"Thu 14th May 2009","2009-05-14 00:00:00",123.081751
"Fri 15th May 2009","2009-05-15 00:00:00",119.021505
"Sat 16th May 2009","2009-05-16 00:00:00",115
"Sun 17th May 2009","2009-05-17 00:00:00",121.04679
"Mon 18th May 2009","2009-05-18 00:00:00",117.00591
"Tue 19th May 2009","2009-05-19 00:00:00",119.021505
"Wed 20th May 2009","2009-05-20 00:00:00",117.00591
"Thu 21st May 2009","2009-05-21 00:00:00",115
"Fri 22nd May 2009","2009-05-22 00:00:00",115
"Sat 23rd May 2009","2009-05-23 00:00:00",123.081751
"Sun 24th May 2009","2009-05-24 00:00:00",177.10364
"Mon 25th May 2009","2009-05-25 00:00:00",221.77825
"Tue 26th May 2009","2009-05-26 00:00:00",200.40733
"Wed 27th May 2009","2009-05-27 00:00:00",186.3089
"Thu 28th May 2009","2009-05-28 00:00:00",179.39042
"Fri 29th May 2009","2009-05-29 00:00:00",161.36733
"Sat 30th May 2009","2009-05-30 00:00:00",170.301395
"Sun 31st May 2009","2009-05-31 00:00:00",183.99305
"Mon 1st Jun 2009","2009-06-01 00:00:00",190.96963
"Tue 2nd Jun 2009","2009-06-02 00:00:00",190.96963
"Wed 3rd Jun 2009","2009-06-03 00:00:00",183.99305
"Thu 4th Jun 2009","2009-06-04 00:00:00",181.686895
"Fri 5th Jun 2009","2009-06-05 00:00:00",186.3089
"Sat 6th Jun 2009","2009-06-06 00:00:00",188.63442
"Sun 7th Jun 2009","2009-06-07 00:00:00",186.3089
"Mon 8th Jun 2009","2009-06-08 00:00:00",181.686895
"Tue 9th Jun 2009","2009-06-09 00:00:00",181.686895
"Wed 10th Jun 2009","2009-06-10 00:00:00",217.04866
"Thu 11th Jun 2009","2009-06-11 00:00:00",214.693006
"Fri 12th Jun 2009","2009-06-12 00:00:00",210
"Sat 13th Jun 2009","2009-06-13 00:00:00",379.811344
"Sun 14th Jun 2009","2009-06-14 00:00:00",329.3641
"Mon 15th Jun 2009","2009-06-15 00:00:00",303.338
"Tue 16th Jun 2009","2009-06-16 00:00:00",285.48255
"Wed 17th Jun 2009","2009-06-17 00:00:00",272.9116
"Thu 18th Jun 2009","2009-06-18 00:00:00",260.49307
"Fri 19th Jun 2009","2009-06-19 00:00:00",248.227
"Sat 20th Jun 2009","2009-06-20 00:00:00",245.79208
"Sun 21st Jun 2009","2009-06-21 00:00:00",245.79208
"Mon 22nd Jun 2009","2009-06-22 00:00:00",238.523903
"Tue 23rd Jun 2009","2009-06-23 00:00:00",231.310607
"Wed 24th Jun 2009","2009-06-24 00:00:00",228.91837
"Thu 25th Jun 2009","2009-06-25 00:00:00",226.53223
"Fri 26th Jun 2009","2009-06-26 00:00:00",228.91837
