"DateTime","Poukawa Stream at Douglas Road (x)","Poukawa Stream at Douglas Road (y)"
"Fri 2nd Jan 2009","2009-01-01 23:00:00",7.427879
"Sat 3rd Jan 2009","2009-01-02 23:00:00",7.1495455
"Sun 4th Jan 2009","2009-01-03 23:00:00",7.427879
"Mon 5th Jan 2009","2009-01-04 23:00:00",7.427879
"Tue 6th Jan 2009","2009-01-05 23:00:00",8.338542
"Wed 7th Jan 2009","2009-01-06 23:00:00",10.588542
"Thu 8th Jan 2009","2009-01-07 23:00:00",10.588542
"Fri 9th Jan 2009","2009-01-08 23:00:00",10.588542
"Sat 10th Jan 2009","2009-01-09 23:00:00",11
"Sun 11th Jan 2009","2009-01-10 23:00:00",9.4166667
"Mon 12th Jan 2009","2009-01-11 23:00:00",9.796875
"Tue 13th Jan 2009","2009-01-12 23:00:00",9.796875
"Wed 14th Jan 2009","2009-01-13 23:00:00",5.3454545
"Thu 15th Jan 2009","2009-01-14 23:00:00",6.3454545
"Fri 16th Jan 2009","2009-01-15 23:00:00",6.608333
"Sat 17th Jan 2009","2009-01-16 23:00:00",6.608333
"Sun 18th Jan 2009","2009-01-17 23:00:00",5.587727
"Mon 19th Jan 2009","2009-01-18 23:00:00",5.8351515
"Tue 20th Jan 2009","2009-01-19 23:00:00",5.587727
"Wed 21st Jan 2009","2009-01-20 23:00:00",4.211364
"Thu 22nd Jan 2009","2009-01-21 23:00:00",5.587727
"Fri 23rd Jan 2009","2009-01-22 23:00:00",4.8763636
"Sat 24th Jan 2009","2009-01-23 23:00:00",5.8351515
"Sun 25th Jan 2009","2009-01-24 23:00:00",4.6495455
"Mon 26th Jan 2009","2009-01-25 23:00:00",4.6495455
"Tue 27th Jan 2009","2009-01-26 23:00:00",4.427879
"Wed 28th Jan 2009","2009-01-27 23:00:00",4.8763636
"Thu 29th Jan 2009","2009-01-28 23:00:00",5.108333
"Fri 30th Jan 2009","2009-01-29 23:00:00",4.8763636
"Sat 31st Jan 2009","2009-01-30 23:00:00",4.427879
"Sun 1st Feb 2009","2009-01-31 23:00:00",4.427879
"Mon 2nd Feb 2009","2009-02-01 23:00:00",4.427879
"Tue 3rd Feb 2009","2009-02-02 23:00:00",5.108333
"Wed 4th Feb 2009","2009-02-03 23:00:00",6.087727
"Thu 5th Feb 2009","2009-02-04 23:00:00",5.587727
"Fri 6th Feb 2009","2009-02-05 23:00:00",5.587727
"Sat 7th Feb 2009","2009-02-06 23:00:00",5.587727
"Sun 8th Feb 2009","2009-02-07 23:00:00",5.108333
"Mon 9th Feb 2009","2009-02-08 23:00:00",5.108333
"Tue 10th Feb 2009","2009-02-09 23:00:00",4.6495455
"Wed 11th Feb 2009","2009-02-10 23:00:00",6.87636364
"Thu 12th Feb 2009","2009-02-11 23:00:00",7.427879
"Fri 13th Feb 2009","2009-02-12 23:00:00",7.711364
"Sat 14th Feb 2009","2009-02-13 23:00:00",7.1495455
"Sun 15th Feb 2009","2009-02-14 23:00:00",6.3454545
"Mon 16th Feb 2009","2009-02-15 23:00:00",5.3454545
"Tue 17th Feb 2009","2009-02-16 23:00:00",4.6495455
"Wed 18th Feb 2009","2009-02-17 23:00:00",5.587727
"Thu 19th Feb 2009","2009-02-18 23:00:00",4.6495455
"Fri 20th Feb 2009","2009-02-19 23:00:00",4.8763636
"Sat 21st Feb 2009","2009-02-20 23:00:00",6.087727
"Sun 22nd Feb 2009","2009-02-21 23:00:00",6.3454545
"Mon 23rd Feb 2009","2009-02-22 23:00:00",5.587727
"Tue 24th Feb 2009","2009-02-23 23:00:00",5.108333
"Wed 25th Feb 2009","2009-02-24 23:00:00",4.211364
"Thu 26th Feb 2009","2009-02-25 23:00:00",4.211364
"Fri 27th Feb 2009","2009-02-26 23:00:00",4.427879
"Sat 28th Feb 2009","2009-02-27 23:00:00",38.79259
"Sun 1st Mar 2009","2009-02-28 23:00:00",37.22778
"Mon 2nd Mar 2009","2009-03-01 23:00:00",24.892857
"Tue 3rd Mar 2009","2009-03-02 23:00:00",18.087912
"Wed 4th Mar 2009","2009-03-03 23:00:00",15.4505495
"Thu 5th Mar 2009","2009-03-04 23:00:00",13.107143
"Fri 6th Mar 2009","2009-03-05 23:00:00",14
"Sat 7th Mar 2009","2009-03-06 23:00:00",15.4505495
"Sun 8th Mar 2009","2009-03-07 23:00:00",17.538462
"Mon 9th Mar 2009","2009-03-08 23:00:00",17
"Tue 10th Mar 2009","2009-03-09 23:00:00",17
"Wed 11th Mar 2009","2009-03-10 23:00:00",17
"Thu 12th Mar 2009","2009-03-11 23:00:00",18.087912
"Fri 13th Mar 2009","2009-03-12 23:00:00",17
"Sat 14th Mar 2009","2009-03-13 23:00:00",17.538462
"Sun 15th Mar 2009","2009-03-14 23:00:00",17
"Mon 16th Mar 2009","2009-03-15 23:00:00",18.087912
"Tue 17th Mar 2009","2009-03-16 23:00:00",21.619048
"Wed 18th Mar 2009","2009-03-17 23:00:00",21
"Thu 19th Mar 2009","2009-03-18 23:00:00",22.892857
"Fri 20th Mar 2009","2009-03-19 23:00:00",61.68889
