"DateTime","Awanui Stream at Flume (x)","Awanui Stream at Flume (y)"
"Fri 2nd Jan 2009","2009-01-01 23:00:00",16464
"Sat 3rd Jan 2009","2009-01-02 23:00:00",16462
"Sun 4th Jan 2009","2009-01-03 23:00:00",16458
"Mon 5th Jan 2009","2009-01-04 23:00:00",16454
"Tue 6th Jan 2009","2009-01-05 23:00:00",16456
"Wed 7th Jan 2009","2009-01-06 23:00:00",16470
"Thu 8th Jan 2009","2009-01-07 23:00:00",16468
"Fri 9th Jan 2009","2009-01-08 23:00:00",16466
"Sat 10th Jan 2009","2009-01-09 23:00:00",16462
"Sun 11th Jan 2009","2009-01-10 23:00:00",16484
"Mon 12th Jan 2009","2009-01-11 23:00:00",16473
"Tue 13th Jan 2009","2009-01-12 23:00:00",16453
"Wed 14th Jan 2009","2009-01-13 23:00:00",16453
"Thu 15th Jan 2009","2009-01-14 23:00:00",16451
"Fri 16th Jan 2009","2009-01-15 23:00:00",16449
"Sat 17th Jan 2009","2009-01-16 23:00:00",16448
"Sun 18th Jan 2009","2009-01-17 23:00:00",16452
"Mon 19th Jan 2009","2009-01-18 23:00:00",16448
"Tue 20th Jan 2009","2009-01-19 23:00:00",16445
"Wed 21st Jan 2009","2009-01-20 23:00:00",16441
"Thu 22nd Jan 2009","2009-01-21 23:00:00",16442
"Fri 23rd Jan 2009","2009-01-22 23:00:00",16440
"Sat 24th Jan 2009","2009-01-23 23:00:00",16440
"Sun 25th Jan 2009","2009-01-24 23:00:00",16442
"Mon 26th Jan 2009","2009-01-25 23:00:00",16440
"Tue 27th Jan 2009","2009-01-26 23:00:00",16442
"Wed 28th Jan 2009","2009-01-27 23:00:00",16439
"Thu 29th Jan 2009","2009-01-28 23:00:00",16440
"Fri 30th Jan 2009","2009-01-29 23:00:00",16440
"Sat 31st Jan 2009","2009-01-30 23:00:00",16439
"Sun 1st Feb 2009","2009-01-31 23:00:00",16438
"Mon 2nd Feb 2009","2009-02-01 23:00:00",16436
"Tue 3rd Feb 2009","2009-02-02 23:00:00",16439
"Wed 4th Feb 2009","2009-02-03 23:00:00",16438
"Thu 5th Feb 2009","2009-02-04 23:00:00",16439
"Fri 6th Feb 2009","2009-02-05 23:00:00",16439
"Sat 7th Feb 2009","2009-02-06 23:00:00",16440
"Sun 8th Feb 2009","2009-02-07 23:00:00",16437
"Mon 9th Feb 2009","2009-02-08 23:00:00",16437
"Tue 10th Feb 2009","2009-02-09 23:00:00",16438
"Wed 11th Feb 2009","2009-02-10 23:00:00",16441
"Thu 12th Feb 2009","2009-02-11 23:00:00",16443
"Fri 13th Feb 2009","2009-02-12 23:00:00",16445
"Sat 14th Feb 2009","2009-02-13 23:00:00",16443
"Sun 15th Feb 2009","2009-02-14 23:00:00",16441
"Mon 16th Feb 2009","2009-02-15 23:00:00",16442
"Tue 17th Feb 2009","2009-02-16 23:00:00",16445
"Wed 18th Feb 2009","2009-02-17 23:00:00",16444
"Thu 19th Feb 2009","2009-02-18 23:00:00",16443
"Fri 20th Feb 2009","2009-02-19 23:00:00",16447
"Sat 21st Feb 2009","2009-02-20 23:00:00",16448
"Sun 22nd Feb 2009","2009-02-21 23:00:00",16446
"Mon 23rd Feb 2009","2009-02-22 23:00:00",16443
"Tue 24th Feb 2009","2009-02-23 23:00:00",16445
"Wed 25th Feb 2009","2009-02-24 23:00:00",16447
"Thu 26th Feb 2009","2009-02-25 23:00:00",16445
"Fri 27th Feb 2009","2009-02-26 23:00:00",16447
"Sat 28th Feb 2009","2009-02-27 23:00:00",16459
"Sun 1st Mar 2009","2009-02-28 23:00:00",16494
"Mon 2nd Mar 2009","2009-03-01 23:00:00",16474
"Tue 3rd Mar 2009","2009-03-02 23:00:00",16461
"Wed 4th Mar 2009","2009-03-03 23:00:00",16455
"Thu 5th Mar 2009","2009-03-04 23:00:00",16453
"Fri 6th Mar 2009","2009-03-05 23:00:00",16460
"Sat 7th Mar 2009","2009-03-06 23:00:00",16461
"Sun 8th Mar 2009","2009-03-07 23:00:00",16462
"Mon 9th Mar 2009","2009-03-08 23:00:00",16459
"Tue 10th Mar 2009","2009-03-09 23:00:00",16457
"Wed 11th Mar 2009","2009-03-10 23:00:00",16454
"Thu 12th Mar 2009","2009-03-11 23:00:00",16456
"Fri 13th Mar 2009","2009-03-12 23:00:00",16456
"Sat 14th Mar 2009","2009-03-13 23:00:00",16457
"Sun 15th Mar 2009","2009-03-14 23:00:00",16455
"Mon 16th Mar 2009","2009-03-15 23:00:00",16456
"Tue 17th Mar 2009","2009-03-16 23:00:00",16461
"Wed 18th Mar 2009","2009-03-17 23:00:00",16464
"Thu 19th Mar 2009","2009-03-18 23:00:00",16463
"Fri 20th Mar 2009","2009-03-19 23:00:00",16459
"Sat 21st Mar 2009","2009-03-20 23:00:00",16459
"Sun 22nd Mar 2009","2009-03-21 23:00:00",16459
"Mon 23rd Mar 2009","2009-03-22 23:00:00",16459
"Tue 24th Mar 2009","2009-03-23 23:00:00",16461
"Wed 25th Mar 2009","2009-03-24 23:00:00",16459
"Thu 26th Mar 2009","2009-03-25 23:00:00",16460
"Fri 27th Mar 2009","2009-03-26 23:00:00",16460
"Sat 28th Mar 2009","2009-03-27 23:00:00",16460
"Sun 29th Mar 2009","2009-03-28 23:00:00",16461
"Mon 30th Mar 2009","2009-03-29 23:00:00",16460
"Tue 31st Mar 2009","2009-03-30 23:00:00",16461
"Wed 1st Apr 2009","2009-03-31 23:00:00",16462
"Thu 2nd Apr 2009","2009-04-01 23:00:00",16463
"Fri 3rd Apr 2009","2009-04-02 23:00:00",16463
"Sat 4th Apr 2009","2009-04-03 23:00:00",16463
"Sun 5th Apr 2009","2009-04-05 00:00:00",16463
"Mon 6th Apr 2009","2009-04-06 00:00:00",16463
"Tue 7th Apr 2009","2009-04-07 00:00:00",16464
"Wed 8th Apr 2009","2009-04-08 00:00:00",16464
"Thu 9th Apr 2009","2009-04-09 00:00:00",16461
"Fri 10th Apr 2009","2009-04-10 00:00:00",16460
"Sat 11th Apr 2009","2009-04-11 00:00:00",16462
"Sun 12th Apr 2009","2009-04-12 00:00:00",16462
"Mon 13th Apr 2009","2009-04-13 00:00:00",16464
"Tue 14th Apr 2009","2009-04-14 00:00:00",16465
"Wed 15th Apr 2009","2009-04-15 00:00:00",16464
"Thu 16th Apr 2009","2009-04-16 00:00:00",16464
"Fri 17th Apr 2009","2009-04-17 00:00:00",16465
"Sat 18th Apr 2009","2009-04-18 00:00:00",16465
"Sun 19th Apr 2009","2009-04-19 00:00:00",16465
"Mon 20th Apr 2009","2009-04-20 00:00:00",16468
"Tue 21st Apr 2009","2009-04-21 00:00:00",16480
"Wed 22nd Apr 2009","2009-04-22 00:00:00",16479
"Thu 23rd Apr 2009","2009-04-23 00:00:00",16475
"Fri 24th Apr 2009","2009-04-24 00:00:00",16474
"Sat 25th Apr 2009","2009-04-25 00:00:00",16474
"Sun 26th Apr 2009","2009-04-26 00:00:00",16476
"Mon 27th Apr 2009","2009-04-27 00:00:00",16479
"Tue 28th Apr 2009","2009-04-28 00:00:00",16478
"Wed 29th Apr 2009","2009-04-29 00:00:00",16479
"Thu 30th Apr 2009","2009-04-30 00:00:00",16478
"Fri 1st May 2009","2009-05-01 00:00:00",16477
"Sat 2nd May 2009","2009-05-02 00:00:00",16480
"Sun 3rd May 2009","2009-05-03 00:00:00",16485
"Mon 4th May 2009","2009-05-04 00:00:00",16491
"Tue 5th May 2009","2009-05-05 00:00:00",16488
"Wed 6th May 2009","2009-05-06 00:00:00",16490
"Thu 7th May 2009","2009-05-07 00:00:00",16491
"Fri 8th May 2009","2009-05-08 00:00:00",16490
"Sat 9th May 2009","2009-05-09 00:00:00",16491
"Sun 10th May 2009","2009-05-10 00:00:00",16490
"Mon 11th May 2009","2009-05-11 00:00:00",16490
"Tue 12th May 2009","2009-05-12 00:00:00",16493
"Wed 13th May 2009","2009-05-13 00:00:00",16495
"Thu 14th May 2009","2009-05-14 00:00:00",16495
"Fri 15th May 2009","2009-05-15 00:00:00",16493
"Sat 16th May 2009","2009-05-16 00:00:00",16491
"Sun 17th May 2009","2009-05-17 00:00:00",16494
"Mon 18th May 2009","2009-05-18 00:00:00",16492
"Tue 19th May 2009","2009-05-19 00:00:00",16493
"Wed 20th May 2009","2009-05-20 00:00:00",16492
"Thu 21st May 2009","2009-05-21 00:00:00",16491
"Fri 22nd May 2009","2009-05-22 00:00:00",16491
"Sat 23rd May 2009","2009-05-23 00:00:00",16495
"Sun 24th May 2009","2009-05-24 00:00:00",16520
"Mon 25th May 2009","2009-05-25 00:00:00",16539
"Tue 26th May 2009","2009-05-26 00:00:00",16530
"Wed 27th May 2009","2009-05-27 00:00:00",16524
"Thu 28th May 2009","2009-05-28 00:00:00",16521
"Fri 29th May 2009","2009-05-29 00:00:00",16513
"Sat 30th May 2009","2009-05-30 00:00:00",16517
"Sun 31st May 2009","2009-05-31 00:00:00",16523
"Mon 1st Jun 2009","2009-06-01 00:00:00",16526
"Tue 2nd Jun 2009","2009-06-02 00:00:00",16526
"Wed 3rd Jun 2009","2009-06-03 00:00:00",16523
"Thu 4th Jun 2009","2009-06-04 00:00:00",16522
"Fri 5th Jun 2009","2009-06-05 00:00:00",16524
"Sat 6th Jun 2009","2009-06-06 00:00:00",16525
"Sun 7th Jun 2009","2009-06-07 00:00:00",16524
"Mon 8th Jun 2009","2009-06-08 00:00:00",16522
"Tue 9th Jun 2009","2009-06-09 00:00:00",16522
"Wed 10th Jun 2009","2009-06-10 00:00:00",16537
"Thu 11th Jun 2009","2009-06-11 00:00:00",16536
"Fri 12th Jun 2009","2009-06-12 00:00:00",16534
"Sat 13th Jun 2009","2009-06-13 00:00:00",16601
"Sun 14th Jun 2009","2009-06-14 00:00:00",16582
"Mon 15th Jun 2009","2009-06-15 00:00:00",16572
"Tue 16th Jun 2009","2009-06-16 00:00:00",16565
"Wed 17th Jun 2009","2009-06-17 00:00:00",16560
"Thu 18th Jun 2009","2009-06-18 00:00:00",16555
"Fri 19th Jun 2009","2009-06-19 00:00:00",16550
"Sat 20th Jun 2009","2009-06-20 00:00:00",16549
"Sun 21st Jun 2009","2009-06-21 00:00:00",16549
"Mon 22nd Jun 2009","2009-06-22 00:00:00",16546
"Tue 23rd Jun 2009","2009-06-23 00:00:00",16543
"Wed 24th Jun 2009","2009-06-24 00:00:00",16542
"Thu 25th Jun 2009","2009-06-25 00:00:00",16541
"Fri 26th Jun 2009","2009-06-26 00:00:00",16542
"Sat 27th Jun 2009","2009-06-27 00:00:00",16541
"Sun 28th Jun 2009","2009-06-28 00:00:00",16542
"Mon 29th Jun 2009","2009-06-29 00:00:00",16738
"Tue 30th Jun 2009","2009-06-30 00:00:00",16716
"Wed 1st Jul 2009","2009-07-01 00:00:00",16829
"Thu 2nd Jul 2009","2009-07-02 00:00:00",16848
"Fri 3rd Jul 2009","2009-07-03 00:00:00",16818
"Sat 4th Jul 2009","2009-07-04 00:00:00",16776
"Sun 5th Jul 2009","2009-07-05 00:00:00",16769
"Mon 6th Jul 2009","2009-07-06 00:00:00",16797
"Tue 7th Jul 2009","2009-07-07 00:00:00",16781
"Wed 8th Jul 2009","2009-07-08 00:00:00",16787
"Thu 9th Jul 2009","2009-07-09 00:00:00",16778
"Fri 10th Jul 2009","2009-07-10 00:00:00",16761
"Sat 11th Jul 2009","2009-07-11 00:00:00",16747
"Sun 12th Jul 2009","2009-07-12 00:00:00",16744
"Mon 13th Jul 2009","2009-07-13 00:00:00",16798
"Tue 14th Jul 2009","2009-07-14 00:00:00",16785
"Wed 15th Jul 2009","2009-07-15 00:00:00",16779
"Thu 16th Jul 2009","2009-07-16 00:00:00",16765
"Fri 17th Jul 2009","2009-07-17 00:00:00",16756
"Sat 18th Jul 2009","2009-07-18 00:00:00",16879
"Sun 19th Jul 2009","2009-07-19 00:00:00",16972
"Mon 20th Jul 2009","2009-07-20 00:00:00",16881
"Tue 21st Jul 2009","2009-07-21 00:00:00",16841
"Wed 22nd Jul 2009","2009-07-22 00:00:00",16815
"Thu 23rd Jul 2009","2009-07-23 00:00:00",16790
"Fri 24th Jul 2009","2009-07-24 00:00:00",16786
"Sat 25th Jul 2009","2009-07-25 00:00:00",16773
"Sun 26th Jul 2009","2009-07-26 00:00:00",16765
"Mon 27th Jul 2009","2009-07-27 00:00:00",16759
"Tue 28th Jul 2009","2009-07-28 00:00:00",16752
"Wed 29th Jul 2009","2009-07-29 00:00:00",16751
"Thu 30th Jul 2009","2009-07-30 00:00:00",16751
"Fri 31st Jul 2009","2009-07-31 00:00:00",16743
"Sat 1st Aug 2009","2009-08-01 00:00:00",16739
"Sun 2nd Aug 2009","2009-08-02 00:00:00",16732
"Mon 3rd Aug 2009","2009-08-03 00:00:00",16728
"Tue 4th Aug 2009","2009-08-04 00:00:00",16724
"Wed 5th Aug 2009","2009-08-05 00:00:00",16720
"Thu 6th Aug 2009","2009-08-06 00:00:00",16713
"Fri 7th Aug 2009","2009-08-07 00:00:00",16709
"Sat 8th Aug 2009","2009-08-08 00:00:00",16706
"Sun 9th Aug 2009","2009-08-09 00:00:00",16702
"Mon 10th Aug 2009","2009-08-10 00:00:00",16697
"Tue 11th Aug 2009","2009-08-11 00:00:00",16694
"Wed 12th Aug 2009","2009-08-12 00:00:00",16695
"Thu 13th Aug 2009","2009-08-13 00:00:00",16692
"Fri 14th Aug 2009","2009-08-14 00:00:00",16690
"Sat 15th Aug 2009","2009-08-15 00:00:00",16692
"Sun 16th Aug 2009","2009-08-16 00:00:00",16710
"Mon 17th Aug 2009","2009-08-17 00:00:00",16774
"Tue 18th Aug 2009","2009-08-18 00:00:00",16773
"Wed 19th Aug 2009","2009-08-19 00:00:00",16835
"Thu 20th Aug 2009","2009-08-20 00:00:00",17126
"Fri 21st Aug 2009","2009-08-21 00:00:00",16974
"Sat 22nd Aug 2009","2009-08-22 00:00:00",16906
"Sun 23rd Aug 2009","2009-08-23 00:00:00",16865
"Mon 24th Aug 2009","2009-08-24 00:00:00",16835
"Tue 25th Aug 2009","2009-08-25 00:00:00",16813
"Wed 26th Aug 2009","2009-08-26 00:00:00",16811
"Thu 27th Aug 2009","2009-08-27 00:00:00",16813
"Fri 28th Aug 2009","2009-08-28 00:00:00",16790
"Sat 29th Aug 2009","2009-08-29 00:00:00",16775
"Sun 30th Aug 2009","2009-08-30 00:00:00",16766
"Mon 31st Aug 2009","2009-08-31 00:00:00",16766
"Tue 1st Sep 2009","2009-09-01 00:00:00",16747
"Wed 2nd Sep 2009","2009-09-02 00:00:00",16723
"Thu 3rd Sep 2009","2009-09-03 00:00:00",16712
"Fri 4th Sep 2009","2009-09-04 00:00:00",16852
"Sat 5th Sep 2009","2009-09-05 00:00:00",16729
"Sun 6th Sep 2009","2009-09-06 00:00:00",16713
"Mon 7th Sep 2009","2009-09-07 00:00:00",16704
"Tue 8th Sep 2009","2009-09-08 00:00:00",16776
"Wed 9th Sep 2009","2009-09-09 00:00:00",16676
"Thu 10th Sep 2009","2009-09-10 00:00:00",16666
"Fri 11th Sep 2009","2009-09-11 00:00:00",16659
"Sat 12th Sep 2009","2009-09-12 00:00:00",16654
"Sun 13th Sep 2009","2009-09-13 00:00:00",16652
"Mon 14th Sep 2009","2009-09-14 00:00:00",16645
"Tue 15th Sep 2009","2009-09-15 00:00:00",16638
"Wed 16th Sep 2009","2009-09-16 00:00:00",16634
"Thu 17th Sep 2009","2009-09-17 00:00:00",16642
"Fri 18th Sep 2009","2009-09-18 00:00:00",16648
"Sat 19th Sep 2009","2009-09-19 00:00:00",16662
"Sun 20th Sep 2009","2009-09-20 00:00:00",16666
"Mon 21st Sep 2009","2009-09-21 00:00:00",16715
"Tue 22nd Sep 2009","2009-09-22 00:00:00",16634
"Wed 23rd Sep 2009","2009-09-23 00:00:00",16621
"Thu 24th Sep 2009","2009-09-24 00:00:00",16615
"Fri 25th Sep 2009","2009-09-25 00:00:00",16726
"Sat 26th Sep 2009","2009-09-26 00:00:00",16774
"Sun 27th Sep 2009","2009-09-26 23:00:00",16741
"Mon 28th Sep 2009","2009-09-27 23:00:00",16693
"Tue 29th Sep 2009","2009-09-28 23:00:00",16710
"Wed 30th Sep 2009","2009-09-29 23:00:00",16698
"Thu 1st Oct 2009","2009-09-30 23:00:00",16703
"Fri 2nd Oct 2009","2009-10-01 23:00:00",16722
"Sat 3rd Oct 2009","2009-10-02 23:00:00",16695
"Sun 4th Oct 2009","2009-10-03 23:00:00",16696
"Mon 5th Oct 2009","2009-10-04 23:00:00",17383
"Tue 6th Oct 2009","2009-10-05 23:00:00",17775
"Wed 7th Oct 2009","2009-10-06 23:00:00",17493
"Thu 8th Oct 2009","2009-10-07 23:00:00",17262
"Fri 9th Oct 2009","2009-10-08 23:00:00",17130
"Sat 10th Oct 2009","2009-10-09 23:00:00",17297
"Sun 11th Oct 2009","2009-10-10 23:00:00",17290
"Mon 12th Oct 2009","2009-10-11 23:00:00",17108
"Tue 13th Oct 2009","2009-10-12 23:00:00",17017
"Wed 14th Oct 2009","2009-10-13 23:00:00",16953
"Thu 15th Oct 2009","2009-10-14 23:00:00",16908
"Fri 16th Oct 2009","2009-10-15 23:00:00",16923
"Sat 17th Oct 2009","2009-10-16 23:00:00",16917
"Sun 18th Oct 2009","2009-10-17 23:00:00",16883
"Mon 19th Oct 2009","2009-10-18 23:00:00",16939
"Tue 20th Oct 2009","2009-10-19 23:00:00",16819
"Wed 21st Oct 2009","2009-10-20 23:00:00",16889
"Thu 22nd Oct 2009","2009-10-21 23:00:00",16761
"Fri 23rd Oct 2009","2009-10-22 23:00:00",16791
"Sat 24th Oct 2009","2009-10-23 23:00:00",16967
"Sun 25th Oct 2009","2009-10-24 23:00:00",16778
"Mon 26th Oct 2009","2009-10-25 23:00:00",16752
"Tue 27th Oct 2009","2009-10-26 23:00:00",16805
"Wed 28th Oct 2009","2009-10-27 23:00:00",16865
"Thu 29th Oct 2009","2009-10-28 23:00:00",16899
"Fri 30th Oct 2009","2009-10-29 23:00:00",17008
"Sat 31st Oct 2009","2009-10-30 23:00:00",17010
"Sun 1st Nov 2009","2009-10-31 23:00:00",17005
"Mon 2nd Nov 2009","2009-11-01 23:00:00",17000
"Tue 3rd Nov 2009","2009-11-02 23:00:00",16945
"Wed 4th Nov 2009","2009-11-03 23:00:00",16934
"Thu 5th Nov 2009","2009-11-04 23:00:00",16927
