"DateTime","Poukawa Stream at Douglas Road (x)","Poukawa Stream at Douglas Road (y)"
"Fri 2nd Jan 2009","2009-01-01 23:00:00",29014
"Sat 3rd Jan 2009","2009-01-02 23:00:00",29013
"Sun 4th Jan 2009","2009-01-03 23:00:00",29014
"Mon 5th Jan 2009","2009-01-04 23:00:00",29014
"Tue 6th Jan 2009","2009-01-05 23:00:00",29017
"Wed 7th Jan 2009","2009-01-06 23:00:00",29023
"Thu 8th Jan 2009","2009-01-07 23:00:00",29023
"Fri 9th Jan 2009","2009-01-08 23:00:00",29023
"Sat 10th Jan 2009","2009-01-09 23:00:00",29024
"Sun 11th Jan 2009","2009-01-10 23:00:00",29020
"Mon 12th Jan 2009","2009-01-11 23:00:00",29021
"Tue 13th Jan 2009","2009-01-12 23:00:00",29021
"Wed 14th Jan 2009","2009-01-13 23:00:00",29006
"Thu 15th Jan 2009","2009-01-14 23:00:00",29010
"Fri 16th Jan 2009","2009-01-15 23:00:00",29011
"Sat 17th Jan 2009","2009-01-16 23:00:00",29011
"Sun 18th Jan 2009","2009-01-17 23:00:00",29007
"Mon 19th Jan 2009","2009-01-18 23:00:00",29008
"Tue 20th Jan 2009","2009-01-19 23:00:00",29007
"Wed 21st Jan 2009","2009-01-20 23:00:00",29001
"Thu 22nd Jan 2009","2009-01-21 23:00:00",29007
"Fri 23rd Jan 2009","2009-01-22 23:00:00",29004
"Sat 24th Jan 2009","2009-01-23 23:00:00",29008
"Sun 25th Jan 2009","2009-01-24 23:00:00",29003
"Mon 26th Jan 2009","2009-01-25 23:00:00",29003
"Tue 27th Jan 2009","2009-01-26 23:00:00",29002
"Wed 28th Jan 2009","2009-01-27 23:00:00",29004
"Thu 29th Jan 2009","2009-01-28 23:00:00",29005
"Fri 30th Jan 2009","2009-01-29 23:00:00",29004
"Sat 31st Jan 2009","2009-01-30 23:00:00",29002
"Sun 1st Feb 2009","2009-01-31 23:00:00",29002
"Mon 2nd Feb 2009","2009-02-01 23:00:00",29002
"Tue 3rd Feb 2009","2009-02-02 23:00:00",29005
"Wed 4th Feb 2009","2009-02-03 23:00:00",29009
"Thu 5th Feb 2009","2009-02-04 23:00:00",29007
"Fri 6th Feb 2009","2009-02-05 23:00:00",29007
"Sat 7th Feb 2009","2009-02-06 23:00:00",29007
"Sun 8th Feb 2009","2009-02-07 23:00:00",29005
"Mon 9th Feb 2009","2009-02-08 23:00:00",29005
"Tue 10th Feb 2009","2009-02-09 23:00:00",29003
"Wed 11th Feb 2009","2009-02-10 23:00:00",29012
"Thu 12th Feb 2009","2009-02-11 23:00:00",29014
"Fri 13th Feb 2009","2009-02-12 23:00:00",29015
"Sat 14th Feb 2009","2009-02-13 23:00:00",29013
"Sun 15th Feb 2009","2009-02-14 23:00:00",29010
"Mon 16th Feb 2009","2009-02-15 23:00:00",29006
"Tue 17th Feb 2009","2009-02-16 23:00:00",29003
"Wed 18th Feb 2009","2009-02-17 23:00:00",29007
"Thu 19th Feb 2009","2009-02-18 23:00:00",29003
"Fri 20th Feb 2009","2009-02-19 23:00:00",29004
"Sat 21st Feb 2009","2009-02-20 23:00:00",29009
"Sun 22nd Feb 2009","2009-02-21 23:00:00",29010
"Mon 23rd Feb 2009","2009-02-22 23:00:00",29007
"Tue 24th Feb 2009","2009-02-23 23:00:00",29005
"Wed 25th Feb 2009","2009-02-24 23:00:00",29001
"Thu 26th Feb 2009","2009-02-25 23:00:00",29001
"Fri 27th Feb 2009","2009-02-26 23:00:00",29002
"Sat 28th Feb 2009","2009-02-27 23:00:00",29069
"Sun 1st Mar 2009","2009-02-28 23:00:00",29067
"Mon 2nd Mar 2009","2009-03-01 23:00:00",29050
"Tue 3rd Mar 2009","2009-03-02 23:00:00",29039
"Wed 4th Mar 2009","2009-03-03 23:00:00",29034
"Thu 5th Mar 2009","2009-03-04 23:00:00",29029
"Fri 6th Mar 2009","2009-03-05 23:00:00",29031
"Sat 7th Mar 2009","2009-03-06 23:00:00",29034
"Sun 8th Mar 2009","2009-03-07 23:00:00",29038
"Mon 9th Mar 2009","2009-03-08 23:00:00",29037
"Tue 10th Mar 2009","2009-03-09 23:00:00",29037
"Wed 11th Mar 2009","2009-03-10 23:00:00",29037
"Thu 12th Mar 2009","2009-03-11 23:00:00",29039
"Fri 13th Mar 2009","2009-03-12 23:00:00",29037
