obsnme,obsval,weight,obgnme,kper,oname,otype,totim,usecol
oname:cum_otype:lst_usecol:chd2_totim:1,330.3082,0.0,oname:cum_otype:lst_usecol:chd2,,cum,lst,1,chd2
oname:cum_otype:lst_usecol:chd_totim:1,-79.13699,0.0,cum,,cum,lst,1,chd
oname:cum_otype:lst_usecol:drn_totim:1,-127000.0,2.62e-05,oname:cum_otype:lst_usecol:drn,,cum,lst,1,drn
oname:cum_otype:lst_usecol:in-out_totim:1,-31.3786,0.0,oname:cum_otype:lst_usecol:in-out,,cum,lst,1,in-out
oname:cum_otype:lst_usecol:percent-discrepancy_totim:1,-1.73,0.0,oname:cum_otype:lst_usecol:percent-discrepancy,,cum,lst,1,percent-discrepancy
oname:cum_otype:lst_usecol:rcha_totim:1,233.0,0.0143,oname:cum_otype:lst_usecol:rcha,,cum,lst,1,rcha
oname:cum_otype:lst_usecol:total_totim:1,-31.378662,0.0,oname:cum_otype:lst_usecol:total,,cum,lst,1,total
oname:cum_otype:lst_usecol:wel2_totim:1,2760.0,0.00121,oname:cum_otype:lst_usecol:wel2,,cum,lst,1,wel2
oname:cum_otype:lst_usecol:wel3_totim:1,-282.0,0.0,oname:cum_otype:lst_usecol:wel3,,cum,lst,1,wel3
oname:cum_otype:lst_usecol:wel_totim:1,137.0,0.0243,oname:cum_otype:lst_usecol:wel,,cum,lst,1,wel
oname:springobs_otype:lst_usecol:pk2_head_kper:0,7.6,10.0,oname:springobs_otype:lst_usecol:pk2_head,0,springobs,lst,,pk2
oname:springobs_otype:lst_usecol:pk4_head_kper:0,7.8,10.0,oname:springobs_otype:lst_usecol:pk4_head,0,springobs,lst,,pk4
oname:springobs_otype:lst_usecol:pk4_pk2_diff_kper:0,-0.2,10.0,oname:springobs_otype:lst_usecol:pk4_pk2_diff,0,springobs,lst,,pk4
oname:springobs_otype:lst_usecol:spring_flux_kper:0,-3.0,3.333333333,oname:springobs_otype:lst_usecol:spring_flux,0,springobs,lst,,spring
oname:springobs_otype:lst_usecol:spring_head_kper:0,7.65,10.0,springobs,0,springobs,lst,,spring
oname:springobs_otype:lst_usecol:spring_pk2_diff_kper:0,0.05,10.0,oname:springobs_otype:lst_usecol:spring_pk2_diff,0,springobs,lst,,spring
oname:springobs_otype:lst_usecol:spring_pk4_diff_kper:0,-0.15,10.0,oname:springobs_otype:lst_usecol:spring_pk4_diff,0,springobs,lst,,spring
