Type,Group,Obs_Name,Weight,Initial_Phi,Final_Phi,Reduction_%,Final_Contribution_%
ARR-H,less_16obg22,arr-h,0.3,671697729537884.4,67786005023.755356,990809.1549243688,0.02075900433767108
Recession,22obg8,recession:pk4-conf-diff,0.001,2233460917772.9116,1658405964.5941842,134575.16189978516,0.0005078755799307761
Recession,3obg10,recession:pk4,0.001,2204258094597.8716,1636723454.742656,134575.04777369063,0.0005012354583319044
Recession,23obg9,recession:pk4-spr-diff,0.001,2243614525341.6147,1931972019.4,116030.79810743842,0.0005916533289862534
Head,13obg2,ts-heads:pk4,0.3,671702148317285.1,1352061699220.0,49579.844396508524,0.41405972617903614
Head,1obg0,ts-heads:pk4-conf-diff,0.3,671689539368879.5,1352103787672.0,49577.36541329927,0.41407261548203206
Head,2obg1,ts-heads:pk4-spr-diff,0.3,671705676891542.2,1352819160640.0,49552.28882282888,0.4142916936020741
Flux,less_6obg13,budget:inflow,0.2,447799642690339.1,1983341268508.428,22478.042911753,0.6073848131575224
ARR-H,18obg4,arr-awq:awq,0.05,111949465010412.88,2202280624207.5566,4983.342412400122,0.6744335060706443
ARR-H,19obg5,arr-spq:spq,0.05,111949787082958.25,10985539501285.203,919.0649905711158,3.36424697220197
ARR-H,greater_20obg6,arr-confq:confq,0.1,223875463200977.12,28128476465465.023,695.9032671955842,8.61415516011063
Budget,greater_5obg12,budget:confined,0.2,447724556791179.5,279108207537065.7,60.41253703788754,85.47499574449118
ARR-H,16obg22,arr-h,0.0,0.0,0.0,,0.0
Recession,21obg7,recession:fliptime,0.0,0.0,0.0,,0.0
Flux,17obg3,ts-sprflux:flux,0.0,0.0,0.0,,0.0
Flux,6obg13,budget:inflow,0.0,0.0,0.0,,0.0
Budget,4obg11,budget:awanui,0.0,0.0,0.0,,0.0
Budget,7obg14,budget:inout,0.0,0.0,0.0,,0.0
Budget,8obg15,budget:percentdiscrepancy,0.0,0.0,0.0,,0.0
Budget,9obg16,budget:poukawa,0.0,0.0,0.0,,0.0
Budget,10obg17,budget:recharge,0.0,0.0,0.0,,0.0
Budget,11obg18,budget:spring,0.0,0.0,0.0,,0.0
Budget,12obg19,budget:stoss,0.0,0.0,0.0,,0.0
Budget,14obg20,budget:sw,0.0,0.0,0.0,,0.0
Budget,15obg21,budget:total,0.0,0.0,0.0,,0.0
