oname,kper,n_obs,simulated_median,observed_median,rmse
ts-heads,1,4,-0.04210535716808735,-0.12020559968429365,0.07810024251620652
ts-heads,2,128,-0.0624384145774894,-0.0431500332554577,0.0822163070304757
arr-awq,1,31,-0.3228655821487592,-6.9,6.534894487869731
arr-awq,2,124,-0.7269671048866562,-6.9,6.126810390007622
arr-spq,1,21,-0.0268583234797709,-3.0693985429253026,3.025405637540117
arr-spq,2,1092,-0.11820095788720136,-0.2394255987342585,1.3114561385059362
recession,2,1,-0.0024592449788247,-0.0067956189782041,0.0043363739993794
budget,1,1,67.1652,150.38,83.2148
budget,2,1,69.9778,129.73,59.75219999999999
budget,3,1,71.1104,150.38,79.2696
budget,4,1,80.8557,129.73,48.87429999999999
