oname,usecol,obs_name,truth,simulated,residual,nrmse_pct
arr-awq,awq,ob530,-6.9,-0.5812984704971313,6.318701529502869,0.0
arr-awq,awq,ob531,-6.9,-0.2215043069445528,6.6784956930554475,0.0
arr-awq,awq,ob532,-6.9,-0.2852638280620407,6.61473617193796,0.0
arr-awq,awq,ob533,-6.9,-0.2348744504989639,6.665125549501036,0.0
arr-awq,awq,ob534,-6.9,-0.3467864614343758,6.5532135385656245,0.0
arr-awq,awq,ob535,-6.9,-0.265670808723371,6.634329191276629,0.0
arr-awq,awq,ob536,-6.9,-0.4186469034556523,6.481353096544348,0.0
arr-awq,awq,ob537,-6.9,-0.3207850009202957,6.579214999079705,0.0
arr-awq,awq,ob538,-6.9,-0.5603027176019104,6.33969728239809,0.0
arr-awq,awq,ob539,-6.9,-0.438312814105302,6.461687185894698,0.0
arr-awq,awq,ob540,-6.9,-0.6363834127213746,6.263616587278626,0.0
arr-awq,awq,ob541,-6.9,-0.2894287109375,6.6105712890625,0.0
arr-awq,awq,ob542,-6.9,-0.271136999130249,6.628863000869751,0.0
arr-awq,awq,ob543,-6.9,-0.4975075166676958,6.4024924833323045,0.0
arr-awq,awq,ob544,-6.9,-0.1868732172835256,6.713126782716475,0.0
arr-awq,awq,ob545,-6.9,-0.2334755171705769,6.6665244828294234,0.0
arr-awq,awq,ob546,-6.9,-0.3907238539977697,6.509276146002231,0.0
arr-awq,awq,ob547,-6.9,-0.1603404458312535,6.739659554168747,0.0
arr-awq,awq,ob548,-6.9,-0.3228655821487592,6.577134417851241,0.0
arr-awq,awq,ob549,-6.9,-0.154752916328988,6.745247083671012,0.0
arr-awq,awq,ob550,-6.9,-0.2427375437691807,6.65726245623082,0.0
arr-awq,awq,ob551,-6.9,-0.7266144752502441,6.173385524749756,0.0
arr-awq,awq,ob552,-6.9,-0.3287789379246532,6.571221062075347,0.0
arr-awq,awq,ob553,-6.9,-0.6417788979980797,6.2582211020019205,0.0
arr-awq,awq,ob554,-6.9,-0.295156926028909,6.604843073971091,0.0
arr-awq,awq,ob555,-6.9,-0.5226693464210256,6.377330653578975,0.0
arr-awq,awq,ob556,-6.9,-0.3094905676177859,6.590509432382214,0.0
arr-awq,awq,ob557,-6.9,-0.3624513203030801,6.53754867969692,0.0
arr-awq,awq,ob558,-6.9,-0.5015501396893401,6.39844986031066,0.0
arr-awq,awq,ob559,-6.9,-0.2422390256500207,6.65776097434998,0.0
arr-awq,awq,ob560,-6.9,-0.3801191676175221,6.519880832382478,0.0
arr-awq,awq,ob871,-6.9,-1.13163780386094,5.76836219613906,0.0
arr-awq,awq,ob872,-6.9,-0.4547396746318099,6.44526032536819,0.0
arr-awq,awq,ob873,-6.9,-0.4959136459510773,6.404086354048923,0.0
arr-awq,awq,ob874,-6.9,-0.4180904369602815,6.481909563039719,0.0
arr-awq,awq,ob875,-6.9,-0.5663957988672905,6.33360420113271,0.0
arr-awq,awq,ob876,-6.9,-0.5309952314710245,6.369004768528976,0.0
arr-awq,awq,ob877,-6.9,-0.730574169839262,6.169425830160739,0.0
arr-awq,awq,ob878,-6.9,-0.6364874846717611,6.263512515328239,0.0
arr-awq,awq,ob879,-6.9,-0.9812671262780464,5.918732873721954,0.0
arr-awq,awq,ob880,-6.9,-0.7668710248399293,6.133128975160071,0.0
arr-awq,awq,ob881,-6.9,-1.1319950698671164,5.768004930132884,0.0
arr-awq,awq,ob882,-6.9,-0.6692564199779553,6.230743580022045,0.0
arr-awq,awq,ob883,-6.9,-0.560471323258298,6.339528676741702,0.0
arr-awq,awq,ob884,-6.9,-0.97442626953125,5.92557373046875,0.0
arr-awq,awq,ob885,-6.9,-0.4591590478958096,6.440840952104191,0.0
arr-awq,awq,ob886,-6.9,-0.5436298131353396,6.356370186864661,0.0
arr-awq,awq,ob887,-6.9,-0.7915296629071235,6.108470337092877,0.0
arr-awq,awq,ob888,-6.9,-0.3669715595897287,6.533028440410272,0.0
arr-awq,awq,ob889,-6.9,-0.6770539620983271,6.222946037901673,0.0
arr-awq,awq,ob890,-6.9,-0.3260825884644873,6.573917411535513,0.0
arr-awq,awq,ob891,-6.9,-0.4908644456698119,6.409135554330188,0.0
arr-awq,awq,ob892,-6.9,-1.2460282797069056,5.653971720293095,0.0
arr-awq,awq,ob893,-6.9,-0.757225178182125,6.142774821817875,0.0
arr-awq,awq,ob894,-6.9,-1.202731160556624,5.697268839443376,0.0
