iteration,budget_type,kper,n,min,p05,p25,median,mean,p75,p95,max,std
prior,Awanui,1,1000,-467931.22,-9783.807200000001,-695.82335,-131.10925,-2818.671174444213,-23.970125000000003,-1.1184200000000004,-5.836100000000001e-07,18773.080223354165
prior,Awanui,3,1000,-114007.1,-5998.8084499999995,-454.9545,-94.13265,-1632.2321220797812,-15.949225000000002,-0.34004500000000054,0.022600003,7619.307391182593
prior,Awanui,2,1000,-526838.56,-9623.97465,-913.29115,-211.79275,-3216.8009747878714,-61.1173,-2.3868850000000044,-6.7158e-07,22137.278901868107
prior,Awanui,4,1000,-197021.28,-5446.401859999998,-801.6957749999999,-200.34019999999998,-1459.0958624407974,-53.216,-1.830920000000003,-1.9696e-06,7567.361861774627
prior,Poukawa,1,1000,-900346.9399999998,-5582.761665,-459.6544,-78.0729525,-1417.7175376234736,-1.788449975,675.2210699999988,133460.27,30150.999650405334
prior,Poukawa,3,1000,-354794.2,-3724.3600799999995,-352.713575,-52.749,-1326.4433679179845,-6.8004750000000005,-0.11640000000000053,-1.5580999999999998e-09,13073.857414445658
prior,Poukawa,2,1000,-80465.17,-4498.496789999999,-517.075325,-102.26285,476.62043080393323,-9.513563,2080.6090449999933,208232.17,14680.770842055212
prior,Poukawa,4,1000,-150329.39,-3510.5455749999996,-444.32485,-100.9899,-1049.5502696108088,-20.6768,-0.24404000000000015,-2.6122999999999998e-09,6716.35926195116
prior,Spring,1,1000,-51242.32,-3430.88853,-386.48065,-59.5648475,172.46030632015527,-1.8836499999999998,303.72373499999975,456974.6,16885.44413930097
prior,Spring,3,1000,-88802.016,-4471.848749999999,-525.53315,-95.59985,-1297.600407354,-17.79855,-0.8478450000000024,-0.0056809,5752.506694254566
prior,Spring,2,1000,-178190.36,-4510.93697,-680.582525,-167.46384999999998,-223.0076804539796,-23.7676235,11.19083104999965,508670.66,19809.219880934463
prior,Spring,4,1000,-71188.99,-5023.388225,-686.05305,-165.1087,-1230.9279001000002,-47.952975,-5.19095,-0.1350999999999999,4841.088174118175
prior,Recharge,1,1000,0.2533,9.235955,89.576075,414.11805,4063.9128259,1784.411325,14394.699699999925,925070.44,30937.61583405303
prior,Recharge,3,1000,0.4072999999999999,7.5709349999999995,79.82732499999999,350.8934,4256.2884152999995,1765.0450250000001,15005.86354999997,479484.38,21504.31002484477
prior,Recharge,2,1000,0.7248999999999999,9.447205,69.73887500000001,288.815,2291.2607648,1319.634475,8426.359149999984,200635.97,10281.696574130532
prior,Recharge,4,1000,0.6068999999999999,6.767180000000001,71.222425,350.13255000000004,3866.4468817999996,1657.305325,15433.327299999968,440982.75,19244.02433199684
prior,Storage,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prior,Storage,3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prior,Storage,2,1000,-116935.3,-4429.416574999999,-203.174925,147.573245,671.8696700680381,890.990425,6766.460269999998,100185.02,8725.521602465371
prior,Storage,4,1000,-405433.38,-10701.9489,-452.7076,41.469595,-126.93297607447742,663.2890925,9188.452099999997,238466.22,20340.678893026667
posterior,Awanui,1,981,-914.3681,-148.0916,-80.7312,-41.3249,-55.239712063241186,-14.8499,-1.5413,-8.8396e-06,58.39068242920658
posterior,Awanui,3,981,-150.5663,-96.4604,-47.3352,-20.2351,-30.857232270713354,-6.6703,-0.44,0.47269112,31.00771723608949
posterior,Awanui,2,981,-1327.9188,-228.2625,-126.301,-71.1363,-89.97328347803466,-32.6544,-6.3614,-1.0252e-05,85.37362384451995
posterior,Awanui,4,981,-265.6566,-122.9923,-65.3851,-37.9534,-47.276105727767586,-18.1459,-3.1841,-0.00013924,38.8795141242721
posterior,Poukawa,1,981,-230.8566,-112.2745,-43.3838,-9.563300000000002,-19.980024880655424,0.024399996,48.4101,648.2966,56.23133139961794
posterior,Poukawa,3,981,-142.119,-84.6007,-30.7534,-10.0411,-20.9378931229623,-2.3454,-0.0640249999999999,0.080818996,26.5534868919553
posterior,Poukawa,2,981,-211.4334,-106.409,-42.37055,-14.1735,-15.03172506654429,-0.8273,70.121,1029.9213,76.02845851987786
posterior,Poukawa,4,981,-352.7252,-105.654,-42.2673,-18.5494,-32.2413844686485,-6.3549,-0.157,-2.8674e-08,42.08526482029428
posterior,Spring,1,981,-233.7356,-71.0497,-22.9081,-3.7082,-12.085696860527872,-0.0002102406099999,32.918,159.9437,34.170189743385976
posterior,Spring,3,981,-150.5673,-88.8138,-41.2732,-17.7118,-27.6327212301738,-6.3272,-0.6695999999999999,0.073231,27.671173263668642
posterior,Spring,2,981,-482.7728,-115.1155,-51.1653,-16.6285,-32.30942236854233,-1.3204,2.7645001,147.5281,47.90827859577042
posterior,Spring,4,981,-167.5926,-96.0463,-53.2378,-33.0059,-38.9625868501529,-17.8434,-5.4206,-0.1550999999999999,27.6469546728
posterior,Recharge,1,981,0.1242,2.9544,20.0965,67.1652,87.28402477064222,148.8127,220.774,290.713,74.24676444460381
posterior,Recharge,3,981,0.0844369999999999,2.8493,24.3883,71.1104,79.46783245361875,137.523,165.7754,199.2056,58.10060041850253
posterior,Recharge,2,981,0.0826,4.7062,23.9161,69.9778,69.18403037716617,113.9978,129.8597,152.2229,45.104593737816224
posterior,Recharge,4,981,0.0844499999999999,3.2094,27.4317,80.8557,74.22587120285424,118.6538,136.6692,177.3411,47.50296517577934
posterior,Storage,1,981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
posterior,Storage,3,981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
posterior,Storage,2,981,-111.0527,-38.9584,6.038,51.8921,68.02125921622324,121.0506,216.96799,351.06693,81.40391586176985
posterior,Storage,4,981,-100.0951,-54.698296,-2.0643005,28.998102,44.120975974128434,82.304596,183.95364,510.4466,74.53006224130056
