Type,Group,Obs_Name,Weight,Initial_Phi,Final_Phi,Reduction_%,Final_Contribution_%
Budget,greater_6obg13,budget:sw,1.0,4.117671573942929e+19,5.378508389419951e+17,7555.7872105262295,0.36869865068700675
Budget,3obg10,budget:recharge,1.0,4.1172372273246495e+19,7.345876213109999e+17,5504.827944114713,0.5035624102056159
ARR-H,less_7obg14,arr-h,3.0,1.2351601483840648e+20,1.256450673730332e+19,883.0550249274356,8.6130137673563
Head,8obg2,ts-heads:pk4-spr-diff,2.0,8.234399873611044e+19,1.6495524094849804e+19,399.1899515446114,11.307740056908298
Head,9obg3,ts-heads:pk4,2.0,8.234398700065666e+19,1.649552314352082e+19,399.18990919060406,11.307739404768917
Head,2obg1,ts-heads:pk4-pw-diff,2.0,8.234398740836267e+19,1.649552352972475e+19,399.1898999748612,11.307739669513076
Head,1obg0,ts-heads:pk4-aw-diff,2.0,8.234400126927669e+19,1.6495527103517434e+19,399.1898758525759,11.30774211936059
ARR-H,12obg6,arr-spq:spq,2.0,8.234405508556354e+19,2.5927855628857e+19,217.58914529714076,17.773636654303047
Recession,13obg7,recession:pk4,1.0,4.116125649762535e+19,1.7022600373494204e+19,141.80357638964088,11.669052708437464
ARR-H,11obg5,arr-awq:awq,1.0,4.117179660090691e+19,2.3108669438129e+19,78.16601994822767,15.841074558459677
ARR-H,7obg14,arr-h,0.0,0.0,0.0,,0.0
Flux,10obg4,ts-sprflux:flux,0.0,0.0,0.0,,0.0
Budget,14obg8,budget:awanui,0.0,0.0,0.0,,0.0
Budget,15obg9,budget:poukawa,0.0,0.0,0.0,,0.0
Budget,4obg11,budget:spring,0.0,0.0,0.0,,0.0
Budget,5obg12,budget:stoss,0.0,0.0,0.0,,0.0
