time,elapsed_seconds,message
17:23:32,0.0001309,PEST++ performance logger started
17:23:32,0.002735,starting to process control file
17:23:32,0.0609083,finished processing control file
17:23:32,0.0646168,loading parcov
17:23:32,0.0562976,commencing to build jacobian parameter sets
17:23:33,1.07154,jacobian parameter sets built, commencing model runs
17:39:39,966.348,jacobian runs complete, processing runs
17:39:41,1.78341,processing jacobian runs complete
17:39:41,6.59e-05,saving jacobian and sen files
17:39:41,0.136708,FOSM-based posterior unc calcs
17:39:41,0.0020395,starting FOSM uncertainty analyses for iteration -999
17:39:41,0.0027351,loading obscov
17:39:41,5.21e-05,loading parcov
17:39:41,0.0030588,setting predictions
17:39:41,5.4e-05,set_predictions
17:39:41,4.65e-05,extracting prediction ONAME:CUM_OTYPE:LST_USECOL:CHD2_TOTIM:1 from jacobian
17:39:41,0.0097066,extracting prediction ONAME:CUM_OTYPE:LST_USECOL:CHD_TOTIM:1 from jacobian
17:39:41,0.0100981,extracting prediction ONAME:CUM_OTYPE:LST_USECOL:IN-OUT_TOTIM:1 from jacobian
17:39:41,0.0082456,extracting prediction ONAME:CUM_OTYPE:LST_USECOL:PERCENT-DISCREPANCY_TOTIM:1 from jacobian
17:39:41,0.0093163,extracting prediction ONAME:CUM_OTYPE:LST_USECOL:TOTAL_TOTIM:1 from jacobian
17:39:41,0.0079609,extracting prediction ONAME:CUM_OTYPE:LST_USECOL:WEL3_TOTIM:1 from jacobian
17:39:41,0.0076824,Prediction ONAME:CUM_OTYPE:LST_USECOL:WEL3_TOTIM:1 has no non-zero entries in jacobian row/
17:39:41,0.0004798,parameter fosm calcs
17:39:41,5.29e-05,LinearAnalysis::calc_posterior
17:39:41,2.58e-05,LinearAnalysis::align
17:39:41,0.0077195,LinearAnalysis::prior_prediction_variance()::invert obscov
17:39:41,4.24e-05,inverting diagonal matrix in place
17:39:41,2.37e-05,LinearAnalysis::calc_posterior() form JtQJ
17:39:41,0.141596,LinearAnalysis::calc_posterior() invert prior parcov
17:39:41,0.0019892,LinearAnalysis::calc_posterior() form posterior parcov
17:39:41,0.0464579,LinearAnalysis::calc_posterior() invert posterior parcov
17:39:41,7.36e-05,inverting non-diagonal matrix in place
17:39:49,7.76609,forecast FOSM calcs
17:39:49,0.0008279,LinearAnalysis::prior_prediction_variance
17:39:49,0.0024979,LinearAnalysis::prior_prediction_variance
