name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:5_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:5_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:5_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:5_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:25_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:25_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:35_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:35_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer1cn_inst:0_ptype:cn_pstyle:m,0,1,-2,2,0,1,-2,2
pname:npfklayer2pp_inst:0_ptype:pp_pstyle:m_i:5_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer2pp_inst:0_ptype:pp_pstyle:m_i:5_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer2pp_inst:0_ptype:pp_pstyle:m_i:5_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer2pp_inst:0_ptype:pp_pstyle:m_i:5_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer2pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,0,1,-2,2,0,1,-2,2
