run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,oname:cum_otype:lst_usecol:chd2,cum,oname:cum_otype:lst_usecol:drn,oname:cum_otype:lst_usecol:in-out,oname:cum_otype:lst_usecol:percent-discrepancy,oname:cum_otype:lst_usecol:rcha,oname:cum_otype:lst_usecol:total,oname:cum_otype:lst_usecol:wel2,oname:cum_otype:lst_usecol:wel3,oname:cum_otype:lst_usecol:wel,oname:springobs_otype:lst_usecol:pk2_head,oname:springobs_otype:lst_usecol:pk4_head,oname:springobs_otype:lst_usecol:pk4_pk2_diff,oname:springobs_otype:lst_usecol:spring_flux,springobs,oname:springobs_otype:lst_usecol:spring_pk2_diff,oname:springobs_otype:lst_usecol:spring_pk4_diff,oname:cum_otype:lst_usecol:chd2_totim:1,oname:cum_otype:lst_usecol:chd_totim:1,oname:cum_otype:lst_usecol:drn_totim:1,oname:cum_otype:lst_usecol:in-out_totim:1,oname:cum_otype:lst_usecol:percent-discrepancy_totim:1,oname:cum_otype:lst_usecol:rcha_totim:1,oname:cum_otype:lst_usecol:total_totim:1,oname:cum_otype:lst_usecol:wel2_totim:1,oname:cum_otype:lst_usecol:wel3_totim:1,oname:cum_otype:lst_usecol:wel_totim:1,oname:springobs_otype:lst_usecol:pk2_head_kper:0,oname:springobs_otype:lst_usecol:pk4_head_kper:0,oname:springobs_otype:lst_usecol:pk4_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:spring_flux_kper:0,oname:springobs_otype:lst_usecol:spring_head_kper:0,oname:springobs_otype:lst_usecol:spring_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:spring_pk4_diff_kper:0
0,0,0,81979.5418340321,81979.5418340321,0,0,0,10.188174133017,0,0,4.28508679883582,0,0.620584838998717,0,5902.00881228144,1080.93433140152,683.854349290685,7.4362934476509,69861.1913097707,257.096824400236,2392.36465899423,1779.56140867479,6.0763016,-446.6487,-5172.0635,-114.1224,-1.94,88.2416,-114.12207,2108.9487,2.82,3298.5034,10.8877565776704,10.4150608965963,-0.472695681074176,-82.2938031572257,6.04657608724257,-4.84118049042787,-4.3684848093537
1,1,0,282391.679045759,282391.679045759,0,0,0,10.6788023827957,0,0,0.381517884257396,0,6.90639209949838,0,714.737667254383,183.458648977105,19.6346321272724,26.1488283170038,279272.21446357,409.089780797215,1140.4573948238,607.970917526165,212.01843,-63.602386,-2273.1416,-20.4255,-0.78,276.1938,-20.425537,588.0979,2.82,1237.1884,8.95446908040422,8.24310982980828,-0.711359250595937,-161.538636637093,5.62740320182886,-3.32706587857536,-2.61570662797942
2,2,0,1394.1590447567,1394.1590447567,0,0,0,10.6527871858695,0,0,3.97547375175818,0,4.72479136156859,0,178.986306758209,61.4763534591078,78.6573025839921,8.83153906291125,99.99999998,523.87683632664,226.432376463056,196.545277823587,327.4418,333.5479,-2425.1611,-16.6353,-0.63,93.5693,-16.635498,963.588,2.82,687.5587,6.8159314222652,6.91311047709429,0.0971790548290921,0,5.36116440886061,-1.45476701340459,-1.55194606823368
3,3,0,40660.0837763325,40660.0837763325,0,0,0,10.4120576851887,0,0,10.5044650620106,0,9.59068552966717,0,8261.65152919812,2145.45885147184,1897.99935519698,1.55485011735401,24703.8032455101,6.05963595843146,1923.47726656252,1689.57183404029,65.24609,-836.9054,-3840.7625,-71.8833,-1.51,459.6475,-71.8833,200.5924,2.82,3877.4785,12.2319098128869,12.1566034421289,-0.0753063707580051,-50.1523307222515,7.89616327830185,-4.3357465345851,-4.26044016382709
4,4,0,4880.54059394142,4880.54059394142,0,0,0,10.3767030355434,0,0,4.70803416640424,0,0.00531632715126992,0,1401.82103324617,1071.87625518951,905.294863938647,1.8187139081495,99.99999998,29.3309190057682,746.585597721597,608.723157422481,-115.06331,-510.346,-4050.0369,-93.3238,-1.95,81.2657,-93.32373,2820.2588,2.82,1677.7778,10.873952130361,10.8088118318344,-0.0651402985265985,0,8.19158027111194,-2.68237185924902,-2.61723156072243
5,5,0,6781.31668375473,6781.31668375473,0,0,0,10.3013033829079,0,0,248.238386216539,0,1.19113290698703,0,2089.10207751909,1575.22498324049,1452.01597591172,5.83813507540876,99.99999998,259.475238122865,556.057382063166,483.872069335552,-94.0609,-715.84753,-4497.5435,-93.8842,-1.74,1334.789,-93.88428,1858.0245,2.82,2017.934,11.5689104087148,11.6105327395414,0.0416223308266179,0,9.26082351026692,-2.30808689844791,-2.34970922927452
6,6,0,132901.773962576,132901.773962576,0,0,0,10.3519697649112,0,0,1.74962973205449,0,1.2022004139868,0,1882.39982155197,171.931807979567,34.5240530980768,10.4753190367048,127682.990640042,645.059282607836,1483.04276639872,978.046471949974,133.3134,32.53781,-4196.6523,-111.1783,-2.45,140.501,-111.17822,1853.8438,2.82,1922.4581,8.91122769944646,8.3875717241161,-0.523655975330362,-110.19827032141,5.11019827032141,-3.80102942912505,-3.27737345379469
7,7,0,860.136138031006,860.136138031006,0,0,0,10.7761886064229,0,0,0.0406039264973055,0,7.2461585570326,0,236.896430814518,108.509998668925,113.831487018088,18.0826567560732,99.99999998,0.88827095345987,129.033572520744,134.830770229245,232.79422,-153.2835,-1705.7039,-70.5744,-3.47,247.0912,-70.57446,535.3149,2.82,770.3926,8.64168132684101,8.86691839902632,0.225237072185307,0,7.5557518725141,-1.08592945432691,-1.31116652651222
8,8,0,8104.36724968519,8104.36724968519,0,0,0,10.6090838976448,0,0,3.27443714685755,0,5.73989474621037,0,3280.16179072655,1534.81809490213,1479.92299502821,10.8439330608353,228.92438787903,153.856514202769,716.786216300503,679.429901794451,-3.4371986,-770.6276,-2680.9592,-71.8505,-2.03,106.4587,-71.850586,779.9936,2.82,2493.9011,11.517675452232,11.646976728586,0.129301276353969,-7.53907423526354,8.89038910912169,-2.62728634311032,-2.75658761946429
9,9,0,6666.14203042469,6666.14203042469,0,0,0,10.6283343139919,0,0,176.63678420372,0,7.99237002373815,0,1611.28348585167,1783.92068028177,1710.9378882525,9.77812764629452,86.151763002589,483.559582186473,409.920638864346,375.332375797603,-29.3359,-825.5812,-2568.2205,-45.4569,-1.3,1162.404,-45.456787,423.5719,2.82,1788.8846,11.823648517907,11.9363484962615,0.112699978354565,-0.215460779269982,9.84899882261558,-1.97464969529138,-2.08734967364594
