,Awanui Stream at Flume (x),Awanui Stream at Flume (y),m3d,sm_m3d
2,2023-12-07 23:00:00,850.27731,71933.460426,67454.018736
3,2023-12-08 23:00:00,767.93337,64967.16310199999,73125.577215
4,2023-12-09 23:00:00,773.7758,65461.43268,75590.4807
5,2023-12-10 23:00:00,1065.48762,90140.25265200001,76902.17033376
6,2023-12-11 23:00:00,1010.0484,85450.09464,78445.89648216
7,2023-12-12 23:00:00,927.800338,78491.9085948,79290.28231416
8,2023-12-13 23:00:00,859.17014,72685.79384399999,75598.81945128
9,2023-12-14 23:00:00,823.6804,69683.36184,70470.44359128
10,2023-12-15 23:00:00,847.316056,71682.93833759999,66294.96037272
11,2023-12-16 23:00:00,706.9529,59808.215339999995,62892.44413992
12,2023-12-17 23:00:00,681.02237,57614.492502,59607.395007119994
13,2023-12-18 23:00:00,658.0758,55673.21267999999,53029.33510319999
14,2023-12-19 23:00:00,629.52856,53258.116175999996,47890.032307199996
15,2023-12-20 23:00:00,458.54183,38792.638818,43016.3249508
16,2023-12-21 23:00:00,403.2116,34111.70136,38102.257810799994
17,2023-12-22 23:00:00,392.9782,33245.95572,34535.802006
18,2023-12-23 23:00:00,367.6463,31102.876979999997,35232.43745735999
19,2023-12-24 23:00:00,418.74512,35425.83715199999,34886.36963484
20,2023-12-25 23:00:00,499.714138,42275.816074799994,35016.076662839994
21,2023-12-26 23:00:00,382.758419,32381.362247399997,36013.47875172
22,2023-12-27 23:00:00,400.6441,33894.49086,36459.79924932
23,2023-12-28 23:00:00,426.594414,36089.887424399996,35045.74040076
24,2023-12-29 23:00:00,445.1234,37657.43964,35218.65909528
25,2023-12-30 23:00:00,416.14092,35205.521832,34916.033372759994
26,2023-12-31 23:00:00,392.9782,33245.95572,33960.940589879996
27,2024-01-01 23:00:00,382.758419,32381.362247399997,31280.518351079994
28,2024-01-02 23:00:00,370.14685,31314.423509999997,29129.86300428
29,2024-01-03 23:00:00,286.70601,24255.328445999996,27644.269069079997
30,2024-01-04 23:00:00,289.03363,24452.245098,26647.983446399994
31,2024-01-05 23:00:00,305.17714,25817.986043999997,25666.421759999997
32,2024-01-06 23:00:00,323.87629,27399.934133999996,26255.36466
33,2024-01-07 23:00:00,312.13493,26406.615078,26925.2269524
34,2024-01-08 23:00:00,321.51351,27200.042945999998,25561.324871999997
35,2024-01-09 23:00:00,328.6236,27801.556559999997,23257.3404852
36,2024-01-10 23:00:00,224.56827,18998.475642,21384.4973256
37,2024-01-11 23:00:00,187.707,15880.0122,18778.11101712
38,2024-01-12 23:00:00,201.4468,17042.399279999998,15967.01494152
39,2024-01-13 23:00:00,167.471766,14168.1114036,15199.739809919998
40,2024-01-14 23:00:00,162.48317,13746.076181999999,15490.86450084
41,2024-01-15 23:00:00,179.22104,15162.099983999999,15432.428235239999
42,2024-01-16 23:00:00,204.912951,17335.6356546,15236.21772252
43,2024-01-17 23:00:00,197.99312,16750.217952,15264.30052332
44,2024-01-18 23:00:00,155.8754,13187.05884,14869.29229452
45,2024-01-19 23:00:00,164.14291,13886.490185999999,14067.4485708
46,2024-01-20 23:00:00,155.8754,13187.05884,13893.4074204
47,2024-01-21 23:00:00,157.52266,13326.417035999999,14518.781110799999
48,2024-01-22 23:00:00,187.707,15880.0122,14859.894063599999
49,2024-01-23 23:00:00,192.83602,16313.927291999998,15630.962151599999
50,2024-01-24 23:00:00,184.30325,15592.054949999998,16228.4642028
51,2024-01-25 23:00:00,201.4468,17042.399279999998,16344.280418399998
52,2024-01-26 23:00:00,192.83602,16313.927291999998,16351.868699999999
53,2024-01-27 23:00:00,194.55193,16459.093278,16605.139949999997
