#time,s_1_3_47,s_1_4_47,s_1_5_47,s_1_6_46,s_1_7_46,s_1_8_45,s_1_9_44,s_1_9_55,s_1_10_44,s_1_10_53,s_1_10_54,s_1_11_43,s_1_11_51,s_1_11_52,s_1_12_43,s_1_12_49,s_1_12_50,s_1_13_10,s_1_13_43,s_1_13_47,s_1_13_48,s_1_14_11,s_1_14_43,s_1_14_45,s_1_14_46,s_1_14_53,s_1_14_54,s_1_14_55,s_1_14_56,s_1_15_11,s_1_15_12,s_1_15_42,s_1_15_43,s_1_15_44,s_1_15_51,s_1_15_52,s_1_16_13,s_1_16_14,s_1_16_42,s_1_16_49,s_1_16_50,s_1_17_15,s_1_17_16,s_1_17_17,s_1_17_18,s_1_17_42,s_1_17_47,s_1_17_48,s_1_18_19,s_1_18_42,s_1_18_43,s_1_18_44,s_1_18_45,s_1_18_46,s_1_19_20,s_1_19_21,s_1_19_41,s_1_19_43,s_1_20_22,s_1_20_41,s_1_20_42,s_1_21_23,s_1_21_40,s_1_21_42,s_1_22_24,s_1_22_37,s_1_22_38,s_1_22_39,s_1_22_40,s_1_22_41,s_1_22_42,s_1_23_25,s_1_23_36,s_1_24_26,s_1_24_27,s_1_24_35,s_1_25_28,s_1_25_29,s_1_25_34,s_1_26_30,s_1_26_34,s_1_27_30,s_1_27_33,s_1_28_31,s_1_28_32,s_1_28_33,s_1_28_34,s_1_29_33,s_1_29_34,s_1_30_32,s_1_31_32,s_1_32_32,s_1_33_31,s_1_34_28,s_1_34_29,s_1_34_30,s_1_35_26,s_1_35_27,s_1_36_23,s_1_36_24,s_1_36_25,s_1_37_15,s_1_37_16,s_1_37_17,s_1_37_18,s_1_37_19,s_1_37_20,s_1_37_21,s_1_37_22,s_1_38_15,s_1_39_13,s_1_39_14,s_1_40_12,s_1_41_10,s_1_41_11,s_1_42_8,s_1_42_9,s_1_43_7,s_1_44_6,s_1_45_4,s_1_45_5
2,9.897091076937588,10.16609113034335,10.20209138211337,9.04209153470126,8.950091527071866,8.89209096249667,8.91709153470126,9.016091511813077,8.879091427889737,9.05209080990878,9.011091397372159,8.877091572848233,9.129091427889737,9.07709138211337,8.878091023531827,9.193091557589444,8.956091092196377,7.364091084566983,8.82609097775546,9.845091031161221,8.945091412630948,7.324091122713956,8.820091412630948,9.411091015902432,9.206091092196377,6.262091324892911,6.2060910921963774,6.18909089383212,6.173091099825772,7.256091282931241,7.2010909777554595,8.736090825167569,8.833090947237881,9.533090756503018,6.417091057864102,6.373090909090909,7.174091027346524,7.113091157046231,8.761091397372159,6.5190912943753325,6.449091122713956,9.699091122713956,7.181090996828946,7.0700909357937896,7.129090951052579,8.58709065732089,6.572091267672452,6.567091153231534,7.134091065493497,8.222090886202725,6.716091321078213,6.65409104642001,6.617090867129239,6.609090970126065,7.2610909205350005,7.132091210451993,10.572091267672452,6.720091031161221,7.103090928164395,10.192091153231534,6.747090981570157,7.107091115084561,8.85109154996005,6.850091145602139,7.044090912905606,6.832091019717129,6.801090882388028,6.8210908633145415,6.850091145602139,6.780090973940762,6.79109113034335,7.01709096249667,6.837091134158047,7.0250913363370024,7.0200912218960845,6.849091218081387,6.992090867129239,6.989091084566983,6.848091290560635,6.975091145602139,6.851091073122891,6.920091317263516,6.822091267672452,8.733091519442471,6.877091096011075,6.858091042605313,6.883091137972745,6.823091195193204,6.909091160860928,6.868091271487149,6.846090958681973,6.907091305819424,6.852091000643643,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.221090909090909,7.865091012087735,7.834090874758633
3,9.89175016784668,10.160750221252442,10.196750473022462,9.036750625610352,8.944750617980958,8.886750053405763,8.911750625610352,9.010750602722169,8.873750518798829,9.046749900817872,9.005750488281251,8.871750663757325,9.123750518798829,9.071750473022462,8.872750114440919,9.187750648498536,8.95075018310547,7.358750175476074,8.820750068664552,9.839750122070313,8.93975050354004,7.318750213623047,8.81475050354004,9.405750106811524,9.20075018310547,6.256750415802002,6.200750183105469,6.183749984741211,6.167750190734863,7.250750373840332,7.195750068664551,8.730749916076661,8.827750038146974,9.52774984741211,6.411750148773193,6.36775,7.168750118255615,7.107750247955322,8.755750488281251,6.513750385284424,6.443750213623047,9.693750213623048,7.175750087738037,7.064750026702881,7.12375004196167,8.581749748229981,6.566750358581543,6.561750244140625,7.128750156402588,8.216749977111817,6.710750411987305,6.648750137329102,6.61174995803833,6.603750061035156,7.255750011444092,7.126750301361084,10.566750358581544,6.7147501220703125,7.097750019073486,10.186750244140626,6.741750072479248,7.101750205993652,8.845750640869142,6.8447502365112305,7.038750003814697,6.826750110626221,6.795749973297119,6.815749954223633,6.8447502365112305,6.7747500648498535,6.785750221252441,7.011750053405762,6.831750225067139,7.019750427246094,7.014750312805176,6.8437503089904785,6.98674995803833,6.983750175476074,6.842750381469727,6.9697502365112305,6.845750164031982,6.914750408172607,6.816750358581543,8.727750610351563,6.871750186920166,6.852750133514404,6.877750228881836,6.817750286102295,6.9037502517700196,6.86275036239624,6.8407500495910645,6.901750396728516,6.846750091552734,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.21575,7.859750102996826,7.828749965667725
4,9.886461706308218,10.15546175971398,10.191462011483999,9.03146216407189,8.939462156442495,8.8814615918673,8.90646216407189,9.005462141183706,8.868462057260366,9.04146143927941,9.000462026742788,8.866462202218862,9.118462057260366,9.066462011483999,8.867461652902456,9.182462186960073,8.945461721567007,7.353461713937612,8.815461607126089,9.83446166053185,8.934462042001577,7.313461752084585,8.809462042001577,9.400461645273062,9.195461721567007,6.25146195426354,6.195461721567007,6.178461523202749,6.1624617291964014,7.24546191230187,7.190461607126089,8.725461454538198,8.82246157660851,9.522461385873648,6.4064616872347315,6.362461538461538,7.163461656717153,7.10246178641686,8.750462026742788,6.508461923745962,6.438461752084585,9.688461752084585,7.170461626199575,7.059461565164419,7.118461580423208,8.576461286691519,6.561461897043081,6.556461782602163,7.123461694864126,8.211461515573355,6.705461950448843,6.64346167579064,6.606461496499868,6.598461599496694,7.25046154990563,7.121461839822622,10.561461897043081,6.709461660531851,7.0924615575350245,10.181461782602163,6.736461610940786,7.0964617444551905,8.840462179330679,6.839461774972769,7.033461542276235,6.821461649087759,6.790461511758657,6.810461492685171,6.839461774972769,6.769461603311392,6.78046175971398,7.0064615918673,6.826461763528677,7.014461965707632,7.009461851266714,6.838461847452017,6.981461496499868,6.978461713937612,6.837461919931265,6.964461774972769,6.840461702493521,6.909461946634146,6.811461897043081,8.7224621488131,6.866461725381704,6.8474616719759425,6.872461767343374,6.812461824563833,6.898461790231558,6.857461900857778,6.835461588052603,6.896461935190054,6.8414616300142725,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.210461538461538,7.854461641458364,7.823461504129263
5,9.877643024989537,10.146643078395298,10.182643330165318,9.022643482753208,8.930643475123814,8.872642910548619,8.897643482753208,8.996643459865025,8.859643375941685,9.032642757960728,8.991643345424107,8.857643520900181,9.109643375941685,9.057643330165318,8.858642971583775,9.173643505641392,8.936643040248326,7.344643032618931,8.806642925807408,9.82564297921317,8.925643360682896,7.304643070765904,8.800643360682896,9.39164296395438,9.186643040248326,6.242643272944859,6.186643040248326,6.169642841884068,6.15364304787772,7.236643230983189,7.181642925807408,8.716642773219517,8.81364289528983,9.513642704554966,6.39764300591605,6.353642857142857,7.154642975398472,7.093643105098179,8.741643345424107,6.499643242427281,6.429643070765904,9.679643070765904,7.161642944880894,7.050642883845738,7.109642899104527,8.567642605372837,6.5526432157244,6.547643101283482,7.114643013545445,8.202642834254673,6.696643269130162,6.6346429944719585,6.597642815181187,6.589642918178013,7.241642868586949,7.112643158503941,10.5526432157244,6.700642979213169,7.083642876216343,10.172643101283482,6.727642929622105,7.087643063136509,8.831643498011998,6.830643093654087,7.024642860957554,6.812642967769078,6.781642830439976,6.80164281136649,6.830643093654087,6.76064292199271,6.771643078395298,6.997642910548619,6.817643082209996,7.005643284388951,7.000643169948033,6.829643166133335,6.972642815181187,6.969643032618931,6.8286432386125835,6.955643093654087,6.831643021174839,6.900643265315464,6.8026432157244,8.71364346749442,6.857643044063023,6.838642990657261,6.863643086024693,6.803643143245152,6.8896431089128765,6.848643219539097,6.826642906733921,6.8876432538713726,6.832642948695591,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.201642857142857,7.845642960139683,7.8146428228105815
6,9.86860016784668,10.137600221252441,10.17360047302246,9.013600625610351,8.921600617980957,8.863600053405762,8.888600625610351,8.987600602722168,8.850600518798828,9.023599900817871,8.98260048828125,8.848600663757324,9.100600518798828,9.04860047302246,8.849600114440918,9.164600648498535,8.927600183105469,7.335600175476074,8.79760006866455,9.816600122070312,8.916600503540039,7.295600213623047,8.791600503540039,9.382600106811523,9.177600183105469,6.233600415802002,6.1776001831054685,6.160599984741211,6.144600190734863,7.227600373840332,7.172600068664551,8.70759991607666,8.804600038146972,9.50459984741211,6.388600148773193,6.3446,7.145600118255615,7.084600247955322,8.73260048828125,6.490600385284424,6.420600213623047,9.670600213623047,7.152600087738037,7.041600026702881,7.10060004196167,8.55859974822998,6.543600358581543,6.538600244140625,7.105600156402588,8.193599977111816,6.6876004119873045,6.625600137329101,6.58859995803833,6.580600061035156,7.232600011444092,7.103600301361084,10.543600358581543,6.691600122070312,7.074600019073486,10.163600244140625,6.718600072479248,7.078600205993652,8.82260064086914,6.82160023651123,7.015600003814697,6.8036001106262205,6.772599973297119,6.792599954223633,6.82160023651123,6.751600064849853,6.762600221252441,6.9886000534057615,6.8086002250671385,6.9966004272460935,6.991600312805176,6.820600308990478,6.96359995803833,6.960600175476074,6.819600381469726,6.94660023651123,6.822600164031982,6.891600408172607,6.793600358581543,8.704600610351562,6.848600186920166,6.829600133514404,6.854600228881836,6.794600286102295,6.880600251770019,6.83960036239624,6.817600049591064,6.878600396728515,6.823600091552734,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.1926,7.836600102996826,7.805599965667724
7,9.86043766784668,10.129437721252442,10.165437973022462,9.005438125610352,8.913438117980958,8.855437553405762,8.880438125610352,8.979438102722169,8.842438018798829,9.015437400817872,8.97443798828125,8.840438163757325,9.092438018798829,9.040437973022462,8.841437614440919,9.156438148498536,8.91943768310547,7.327437675476074,8.789437568664551,9.808437622070313,8.90843800354004,7.287437713623047,8.78343800354004,9.374437606811524,9.16943768310547,6.225437915802002,6.1694376831054685,6.152437484741211,6.136437690734863,7.219437873840332,7.1644375686645505,8.69943741607666,8.796437538146973,9.49643734741211,6.380437648773193,6.3364375,7.137437618255615,7.076437747955322,8.72443798828125,6.4824378852844236,6.412437713623047,9.662437713623047,7.144437587738037,7.033437526702881,7.09243754196167,8.550437248229981,6.535437858581543,6.530437744140625,7.097437656402588,8.185437477111817,6.679437911987304,6.617437637329101,6.58043745803833,6.572437561035156,7.2244375114440915,7.095437801361084,10.535437858581544,6.683437622070312,7.066437519073486,10.155437744140626,6.710437572479248,7.070437705993652,8.814438140869141,6.81343773651123,7.007437503814697,6.79543761062622,6.764437473297119,6.7844374542236325,6.81343773651123,6.743437564849853,6.754437721252441,6.980437553405761,6.800437725067138,6.9884379272460935,6.9834378128051755,6.812437808990478,6.95543745803833,6.952437675476074,6.811437881469726,6.93843773651123,6.814437664031982,6.883437908172607,6.785437858581543,8.696438110351563,6.840437686920166,6.821437633514404,6.846437728881836,6.786437786102295,6.872437751770019,6.83143786239624,6.809437549591064,6.870437896728515,6.815437591552734,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.1844375,7.828437602996826,7.797437465667724
8,9.852647226670209,10.12164728007597,10.15764753184599,8.99764768443388,8.905647676804486,8.847647112229291,8.87264768443388,8.971647661545697,8.834647577622357,9.0076469596414,8.96664754710478,8.832647722580854,9.084647577622357,9.03264753184599,8.833647173264447,9.148647707322064,8.911647241928998,7.3196472342996035,8.78164712748808,9.800647180893842,8.900647562363568,7.279647272446576,8.775647562363568,9.366647165635053,9.161647241928998,6.217647474625531,6.161647241928998,6.14464704356474,6.128647249558393,7.211647432663861,7.15664712748808,8.69164697490019,8.788647096970502,9.488646906235639,6.372647207596723,6.328647058823529,7.1296471770791445,7.068647306778852,8.71664754710478,6.474647444107953,6.404647272446576,9.654647272446576,7.136647146561566,7.02564708552641,7.084647100785199,8.54264680705351,6.527647417405072,6.522647302964154,7.089647215226117,8.177647035935346,6.671647470810834,6.609647196152631,6.572647016861859,6.5646471198586855,7.216647070267621,7.087647360184613,10.527647417405072,6.675647180893842,7.058647077897016,10.147647302964154,6.702647131302777,7.062647264817182,8.80664769969267,6.80564729533476,6.999647062638227,6.78764716944975,6.756647032120648,6.776647013047162,6.80564729533476,6.735647123673383,6.746647280075971,6.972647112229291,6.792647283890668,6.980647486069623,6.975647371628705,6.804647367814008,6.947647016861859,6.9446472342996035,6.803647440293256,6.93064729533476,6.806647222855512,6.875647466996137,6.777647417405072,8.688647669175092,6.832647245743695,6.813647192337934,6.838647287705365,6.778647344925824,6.864647310593549,6.8236474212197695,6.801647108414594,6.862647455552045,6.807647150376264,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.176647058823529,7.8206471618203555,7.789647024491254
9,9.846833501180013,10.115833554585775,10.151833806355794,8.991833958943685,8.89983395131429,8.841833386739095,8.866833958943685,8.965833936055501,8.828833852132162,9.001833234151205,8.960833821614584,8.826833997090658,9.078833852132162,9.026833806355794,8.827833447774251,9.142833981831869,8.905833516438802,7.313833508809408,8.775833401997884,9.794833455403646,8.894833836873373,7.27383354695638,8.769833836873373,9.360833440144857,9.155833516438802,6.2118337491353355,6.155833516438802,6.1388333180745445,6.122833524068197,7.205833707173666,7.150833401997884,8.685833249409994,8.782833371480306,9.482833180745443,6.366833482106527,6.3228333333333335,7.123833451588949,7.062833581288656,8.710833821614584,6.468833718617757,6.39883354695638,9.64883354695638,7.130833421071371,7.019833360036214,7.0788333752950034,8.536833081563314,6.5218336919148765,6.5168335774739585,7.083833489735921,8.17183331044515,6.665833745320638,6.603833470662435,6.566833291371664,6.55883339436849,7.210833344777425,7.0818336346944175,10.521833691914876,6.669833455403646,7.05283335240682,10.141833577473959,6.696833405812582,7.056833539326986,8.800833974202474,6.799833569844564,6.993833337148031,6.781833443959554,6.750833306630453,6.770833287556966,6.799833569844564,6.729833398183187,6.740833554585775,6.966833386739095,6.786833558400472,6.974833760579427,6.969833646138509,6.798833642323812,6.941833291371664,6.938833508809408,6.79783371480306,6.924833569844564,6.800833497365316,6.869833741505941,6.7718336919148765,8.682833943684896,6.8268335202534995,6.807833466847738,6.8328335622151695,6.7728336194356284,6.858833585103353,6.817833695729574,6.795833382924398,6.856833730061849,6.801833424886068,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.170833333333333,7.81483343633016,7.783833299001058
10,9.843210694162469,10.11221074756823,10.14821099933825,8.98821115192614,8.896211144296746,8.83821057972155,8.86321115192614,8.962211129037957,8.825211045114617,8.99821042713366,8.95721101459704,8.823211190073113,9.075211045114617,9.02321099933825,8.824210640756707,9.139211174814324,8.902210709421258,7.310210701791863,8.77221059498034,9.791210648386102,8.891211029855828,7.270210739938836,8.766211029855828,9.357210633127313,9.152210709421258,6.208210942117791,6.152210709421258,6.135210511057,6.1192107170506524,7.202210900156121,7.14721059498034,8.68221044239245,8.779210564462762,9.479210373727899,6.3632106750889825,6.319210526315789,7.120210644571404,7.059210774271111,8.70721101459704,6.465210911600213,6.395210739938836,9.645210739938836,7.127210614053826,7.01621055301867,7.075210568277459,8.53321027454577,6.518210884897332,6.513210770456414,7.080210682718377,8.168210503427606,6.662210938303094,6.600210663644891,6.563210484354119,6.555210587350945,7.207210537759881,7.078210827676873,10.518210884897332,6.666210648386102,7.0492105453892755,10.138210770456414,6.693210598795037,7.0532107323094415,8.79721116718493,6.79621076282702,6.990210530130486,6.77821063694201,6.747210499612908,6.767210480539422,6.79621076282702,6.726210591165643,6.737210747568231,6.963210579721551,6.783210751382928,6.971210953561883,6.966210839120965,6.795210835306268,6.938210484354119,6.935210701791863,6.794210907785516,6.92121076282702,6.797210690347772,6.866210934488397,6.768210884897332,8.679211136667352,6.823210713235955,6.8042106598301935,6.829210755197625,6.769210812418084,6.855210778085809,6.814210888712029,6.792210575906854,6.853210923044305,6.7982106178685235,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.167210526315789,7.811210629312615,7.780210491983514
11,9.83775016784668,10.106750221252442,10.142750473022462,8.982750625610352,8.890750617980958,8.832750053405762,8.857750625610352,8.956750602722169,8.819750518798829,8.992749900817872,8.95175048828125,8.817750663757325,9.069750518798829,9.017750473022462,8.818750114440919,9.133750648498536,8.89675018310547,7.304750175476074,8.766750068664551,9.785750122070313,8.88575050354004,7.264750213623047,8.76075050354004,9.351750106811524,9.14675018310547,6.202750415802002,6.1467501831054685,6.129749984741211,6.113750190734863,7.196750373840332,7.1417500686645505,8.67674991607666,8.773750038146973,9.47374984741211,6.357750148773193,6.31375,7.114750118255615,7.053750247955322,8.70175048828125,6.459750385284424,6.389750213623047,9.639750213623048,7.121750087738037,7.010750026702881,7.06975004196167,8.527749748229981,6.512750358581543,6.507750244140625,7.074750156402588,8.162749977111817,6.656750411987304,6.594750137329101,6.55774995803833,6.549750061035156,7.2017500114440915,7.072750301361084,10.512750358581544,6.660750122070312,7.043750019073486,10.132750244140626,6.687750072479248,7.047750205993652,8.791750640869141,6.79075023651123,6.984750003814697,6.7727501106262205,6.741749973297119,6.761749954223633,6.79075023651123,6.720750064849853,6.731750221252441,6.9577500534057615,6.777750225067138,6.9657504272460935,6.9607503128051755,6.789750308990478,6.93274995803833,6.929750175476074,6.788750381469726,6.91575023651123,6.791750164031982,6.860750408172607,6.762750358581543,8.673750610351563,6.817750186920166,6.798750133514404,6.823750228881836,6.763750286102295,6.849750251770019,6.80875036239624,6.786750049591064,6.847750396728515,6.792750091552734,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.16175,7.805750102996826,7.774749965667724
