#time,h_1_18_44,h_1_19_44,h_1_20_43,h_1_21_43,h_1_22_42,h_1_23_42,h_1_24_42,h_1_25_41,h_1_26_41,h_1_27_41,h_1_28_40,h_1_29_40,h_1_30_41,h_1_31_41,h_1_32_41,h_1_33_41,h_1_34_41,h_1_35_42,h_1_36_42,h_1_37_42,h_1_38_42,h_1_39_42,h_1_40_42,h_1_41_42,h_1_42_42,h_1_43_42,h_1_44_42,h_1_45_42,h_1_46_42,h_1_47_42,h_1_48_42,h_1_49_41,h_1_50_41
2,6.5146668650309225,6.625666449228921,6.708666632334389,7.01866657511393,6.697666475931801,6.678666899363198,8.934666941324869,6.936666796366372,7.28066665903727,7.585666487375893,7.583666632334389,7.674666712443032,7.605666468302407,7.675666639963784,7.596666643778481,7.787666628519692,7.9506667353312155,7.956666777292885,8.048666308085123,8.098666498819986,8.080666849772134,8.082666704813638,8.070666620890298,8.109667132059732,8.108666727701822,8.123667071024576,8.098666498819986,8.13766700998942,8.186666796366373,9.231666872660318,10.144666979471841,8.175667116800943,8.159666369120279
3,6.513500198364256,6.624499782562254,6.707499965667723,7.017499908447264,6.696499809265135,6.677500232696532,8.9335002746582,6.935500129699705,7.279499992370604,7.584499820709227,7.582499965667723,7.673500045776366,7.604499801635741,7.6744999732971175,7.595499977111815,7.786499961853026,7.949500068664549,7.955500110626219,8.047499641418455,8.097499832153318,8.079500183105466,8.08150003814697,8.06949995422363,8.108500465393064,8.107500061035154,8.122500404357908,8.097499832153318,8.136500343322751,8.185500129699705,9.23050020599365,10.143500312805173,8.174500450134275,8.15849970245361
4,6.512800198364256,6.623799782562254,6.706799965667723,7.016799908447264,6.695799809265135,6.6768002326965314,8.932800274658202,6.934800129699705,7.278799992370604,7.583799820709227,7.581799965667723,7.672800045776365,7.60379980163574,7.673799973297117,7.594799977111815,7.785799961853026,7.948800068664549,7.954800110626219,8.046799641418456,8.09679983215332,8.078800183105468,8.080800038146972,8.068799954223632,8.107800465393066,8.106800061035155,8.12180040435791,8.09679983215332,8.135800343322753,8.184800129699706,9.229800205993651,10.142800312805175,8.173800450134276,8.157799702453612
5,6.511400198364256,6.622399782562254,6.705399965667723,7.015399908447264,6.694399809265135,6.675400232696531,8.931400274658202,6.933400129699705,7.277399992370603,7.5823998207092265,7.580399965667723,7.671400045776365,7.60239980163574,7.672399973297117,7.593399977111814,7.784399961853025,7.947400068664549,7.953400110626219,8.045399641418456,8.09539983215332,8.077400183105468,8.079400038146971,8.067399954223632,8.106400465393065,8.105400061035155,8.120400404357909,8.09539983215332,8.134400343322753,8.183400129699706,9.228400205993651,10.141400312805175,8.172400450134276,8.156399702453612
6,6.510000198364256,6.620999782562254,6.703999965667723,7.013999908447264,6.692999809265135,6.674000232696532,8.930000274658202,6.932000129699706,7.275999992370604,7.580999820709227,7.578999965667723,7.670000045776366,7.600999801635741,7.670999973297118,7.591999977111815,7.782999961853026,7.946000068664549,7.952000110626219,8.043999641418456,8.093999832153319,8.076000183105467,8.078000038146971,8.065999954223631,8.105000465393065,8.104000061035155,8.119000404357909,8.093999832153319,8.133000343322752,8.182000129699706,9.227000205993651,10.140000312805174,8.171000450134276,8.154999702453612
7,6.509000198364257,6.619999782562255,6.702999965667724,7.012999908447265,6.691999809265136,6.673000232696532,8.929000274658202,6.931000129699706,7.274999992370605,7.579999820709228,7.577999965667724,7.669000045776366,7.599999801635741,7.669999973297118,7.5909999771118155,7.7819999618530264,7.94500006866455,7.95100011062622,8.042999641418456,8.09299983215332,8.075000183105468,8.077000038146972,8.064999954223632,8.104000465393066,8.103000061035155,8.11800040435791,8.09299983215332,8.132000343322753,8.181000129699706,9.226000205993651,10.139000312805175,8.170000450134276,8.153999702453612
8,6.5084001983642565,6.619399782562255,6.702399965667723,7.012399908447264,6.6913998092651354,6.672400232696532,8.928400274658202,6.930400129699706,7.274399992370604,7.579399820709227,7.577399965667723,7.668400045776366,7.599399801635741,7.669399973297118,7.590399977111815,7.781399961853026,7.9444000686645495,7.950400110626219,8.042399641418456,8.092399832153319,8.074400183105467,8.076400038146971,8.064399954223632,8.103400465393065,8.102400061035155,8.117400404357909,8.092399832153319,8.131400343322753,8.180400129699706,9.225400205993651,10.138400312805175,8.169400450134276,8.153399702453612
9,6.504800198364256,6.615799782562254,6.698799965667723,7.008799908447264,6.687799809265135,6.668800232696531,8.924800274658201,6.926800129699705,7.270799992370604,7.575799820709227,7.573799965667723,7.664800045776365,7.59579980163574,7.665799973297117,7.586799977111815,7.777799961853026,7.940800068664549,7.946800110626219,8.038799641418455,8.088799832153319,8.070800183105467,8.072800038146971,8.060799954223631,8.099800465393065,8.098800061035154,8.113800404357908,8.088799832153319,8.127800343322752,8.176800129699705,9.22180020599365,10.134800312805174,8.165800450134276,8.149799702453612
10,6.500200198364256,6.611199782562254,6.694199965667723,7.004199908447264,6.683199809265135,6.6642002326965315,8.920200274658201,6.922200129699705,7.266199992370604,7.571199820709227,7.569199965667723,7.6602000457763655,7.5911998016357405,7.661199973297117,7.582199977111815,7.773199961853026,7.936200068664549,7.942200110626219,8.034199641418455,8.084199832153319,8.066200183105467,8.068200038146971,8.056199954223631,8.095200465393065,8.094200061035155,8.109200404357908,8.084199832153319,8.123200343322752,8.172200129699705,9.21720020599365,10.130200312805174,8.161200450134276,8.145199702453612
11,6.495600198364256,6.606599782562254,6.689599965667723,6.999599908447264,6.678599809265135,6.659600232696532,8.915600274658201,6.917600129699705,7.261599992370604,7.566599820709227,7.564599965667723,7.6556000457763655,7.5865998016357405,7.6565999732971175,7.577599977111815,7.768599961853026,7.931600068664549,7.937600110626219,8.029599641418455,8.079599832153319,8.061600183105467,8.063600038146971,8.051599954223631,8.090600465393065,8.089600061035155,8.104600404357909,8.079599832153319,8.118600343322752,8.167600129699705,9.21260020599365,10.125600312805174,8.156600450134276,8.140599702453612
