#time,s_1_14_18,s_1_15_18,s_1_15_19,s_1_16_19,s_1_17_19
2,6.857456758219401,6.929456784922282,7.453456952768962,7.59596196,7.5934566666666665
3,6.856814031552734,6.928814058255615,7.452814226102294,7.60156604,7.592813939999999
4,6.855650635552734,6.927650662255615,7.451650830102294,7.600727880000001,7.591650543999999
5,6.854178243552734,6.9261782702556145,7.450178438102294,7.596847719999999,7.590178151999999
6,6.852941395552734,6.924941422255615,7.448941590102295,7.592958920000001,7.5889413039999996
7,6.850588515552734,6.922588542255615,7.4465887101022945,7.5886,7.586588423999999
8,6.849417827552734,6.921417854255615,7.445418022102294,7.5953818,7.585417735999999
9,6.848295611552734,6.920295638255615,7.444295806102295,7.5889634799999985,7.5842955199999995
10,6.8472761475527335,6.919276174255614,7.443276342102294,7.5909942799999985,7.583276055999999
11,6.844796099552734,6.916796126255615,7.440796294102294,7.587347840000001,7.580796007999999
12,6.843236587552734,6.9152366142556145,7.439236782102294,7.58350268,7.579236495999999
13,6.840343027552734,6.912343054255615,7.436343222102295,7.58298156,7.576342936
14,6.837682419552734,6.909682446255615,7.4336826141022945,7.58116592,7.573682327999999
15,6.835568579552734,6.907568606255615,7.431568774102295,7.57652648,7.571568488
16,6.832693339552733,6.904693366255614,7.428693534102294,7.574044799999999,7.568693247999999
17,6.830058427552734,6.902058454255615,7.426058622102294,7.57293348,7.566058335999999
18,6.8283691635527335,6.900369190255614,7.424369358102294,7.568605359999999,7.564369071999999
19,6.827020739552734,6.899020766255615,7.423020934102294,7.567991360000001,7.563020647999999
20,6.8257596435527335,6.897759670255614,7.421759838102294,7.568080159999999,7.561759551999999
21,6.825156539552734,6.897156566255615,7.421156734102294,7.567302679999999,7.561156447999999
22,6.822700763552734,6.894700790255615,7.418700958102295,7.566628,7.558700672
23,6.820009515552734,6.8920095422556145,7.416009710102294,7.565589840000001,7.556009423999999
24,6.815595723552734,6.887595750255615,7.411595918102295,7.55571248,7.551595632
25,6.809792083552734,6.881792110255615,7.405792278102295,7.554623919999999,7.545791992
26,6.802130123552734,6.874130150255615,7.398130318102295,7.545233720000001,7.538130032
27,6.793994627552735,6.865994654255616,7.389994822102295,7.5376098,7.529994536
28,6.783388955552734,6.855388982255615,7.379389150102295,7.527280040000001,7.519388864
29,6.772438243552735,6.8444382702556155,7.368438438102295,7.515035000000001,7.508438152
30,6.763706971552734,6.835706998255615,7.359707166102295,7.50159556,7.49970688
31,6.7551534595527345,6.827153486255615,7.351153654102295,7.490480159999999,7.491153368
32,6.744813435552734,6.816813462255615,7.340813630102295,7.49395344,7.4808133439999995
33,6.735392571552734,6.807392598255615,7.331392766102295,7.484512480000001,7.47139248
34,6.728183515552734,6.800183542255615,7.324183710102295,7.46333488,7.464183424
35,6.718120643552734,6.7901206702556145,7.314120838102294,7.454491240000001,7.454120551999999
36,6.707303163552734,6.7793031902556145,7.303303358102294,7.454434879999999,7.443303071999999
37,6.699171051552734,6.771171078255615,7.295171246102295,7.443639079999999,7.43517096
38,6.691887971552734,6.763887998255615,7.287888166102294,7.430425080000001,7.427887879999999
39,6.682306035552734,6.754306062255615,7.278306230102294,7.42267432,7.418305943999999
40,6.676440995552734,6.748441022255615,7.2724411901022945,7.41807584,7.412440903999999
41,6.670643515552734,6.742643542255615,7.2666437101022945,7.406525199999999,7.406643423999999
42,6.665816771552733,6.737816798255614,7.261816966102294,7.41431388,7.401816679999999
43,6.660749163552734,6.732749190255615,7.256749358102295,7.401437679999999,7.3967490719999995
44,6.657881275552733,6.729881302255614,7.253881470102294,7.3985406,7.393881183999999
45,6.6523077635527335,6.724307790255614,7.248307958102294,7.392737800000001,7.388307671999999
46,6.648459643552734,6.7204596702556145,7.244459838102294,7.3921857599999985,7.384459551999999
47,6.647627323552734,6.719627350255615,7.243627518102294,7.386446319999999,7.383627231999999
48,6.647245691552734,6.719245718255615,7.243245886102295,7.382197080000001,7.3832455999999995
49,6.644680627552734,6.716680654255615,7.240680822102295,7.394379000000001,7.380680536
50,6.642620067552735,6.714620094255616,7.2386202621022955,7.39082964,7.378619976
51,6.640101771552734,6.712101798255615,7.236101966102295,7.379360440000001,7.37610168
52,6.636471899552735,6.708471926255616,7.232472094102295,7.376143520000001,7.372471808
53,6.633372931552735,6.705372958255616,7.2293731261022955,7.3696056,7.3693728400000005
54,6.632031051552734,6.704031078255615,7.228031246102295,7.37622964,7.36803096
