i,j,head,kper,kstp
0,0,1e+30,1,1
0,1,1e+30,1,1
0,2,1e+30,1,1
0,3,1e+30,1,1
0,4,1e+30,1,1
0,5,1e+30,1,1
0,6,1e+30,1,1
0,7,1e+30,1,1
0,8,1e+30,1,1
0,9,1e+30,1,1
0,10,1e+30,1,1
0,11,1e+30,1,1
0,12,1e+30,1,1
0,13,1e+30,1,1
0,14,1e+30,1,1
0,15,1e+30,1,1
0,16,1e+30,1,1
0,17,1e+30,1,1
0,18,1e+30,1,1
0,19,1e+30,1,1
0,20,1e+30,1,1
0,21,1e+30,1,1
0,22,1e+30,1,1
0,23,1e+30,1,1
0,24,1e+30,1,1
0,25,1e+30,1,1
0,26,1e+30,1,1
0,27,1e+30,1,1
0,28,1e+30,1,1
0,29,1e+30,1,1
0,30,1e+30,1,1
0,31,1e+30,1,1
0,32,1e+30,1,1
0,33,1e+30,1,1
0,34,1e+30,1,1
0,35,1e+30,1,1
0,36,1e+30,1,1
0,37,1e+30,1,1
0,38,1e+30,1,1
0,39,1e+30,1,1
0,40,1e+30,1,1
0,41,1e+30,1,1
0,42,1e+30,1,1
0,43,1e+30,1,1
0,44,1e+30,1,1
0,45,1e+30,1,1
0,46,1e+30,1,1
0,47,1e+30,1,1
0,48,1e+30,1,1
0,49,1e+30,1,1
0,50,1e+30,1,1
0,51,1e+30,1,1
0,52,1e+30,1,1
0,53,1e+30,1,1
0,54,1e+30,1,1
0,55,1e+30,1,1
0,56,1e+30,1,1
1,0,1e+30,1,1
1,1,1e+30,1,1
1,2,1e+30,1,1
1,3,1e+30,1,1
1,4,1e+30,1,1
1,5,1e+30,1,1
1,6,1e+30,1,1
1,7,1e+30,1,1
1,8,1e+30,1,1
1,9,1e+30,1,1
1,10,1e+30,1,1
1,11,1e+30,1,1
1,12,1e+30,1,1
1,13,1e+30,1,1
1,14,1e+30,1,1
1,15,1e+30,1,1
1,16,1e+30,1,1
1,17,1e+30,1,1
1,18,1e+30,1,1
1,19,1e+30,1,1
1,20,1e+30,1,1
1,21,1e+30,1,1
1,22,1e+30,1,1
1,23,1e+30,1,1
1,24,1e+30,1,1
1,25,1e+30,1,1
1,26,1e+30,1,1
1,27,13.881559231177045,1,1
1,28,13.881464352096605,1,1
1,29,13.881323136746326,1,1
1,30,13.88115281647552,1,1
1,31,13.880962140362465,1,1
1,32,13.88075445562009,1,1
1,33,13.880530575616854,1,1
1,34,13.880292727642495,1,1
1,35,13.880041533805306,1,1
1,36,13.879779362060619,1,1
1,37,13.879508845455529,1,1
1,38,13.87923257247054,1,1
1,39,13.878955788473608,1,1
1,40,13.878686293146174,1,1
1,41,13.878439642268987,1,1
1,42,13.878256247539092,1,1
1,43,1e+30,1,1
1,44,1e+30,1,1
1,45,1e+30,1,1
1,46,1e+30,1,1
1,47,1e+30,1,1
1,48,1e+30,1,1
1,49,1e+30,1,1
1,50,1e+30,1,1
1,51,1e+30,1,1
1,52,1e+30,1,1
1,53,1e+30,1,1
1,54,1e+30,1,1
1,55,1e+30,1,1
1,56,1e+30,1,1
2,0,1e+30,1,1
2,1,1e+30,1,1
2,2,1e+30,1,1
2,3,1e+30,1,1
2,4,1e+30,1,1
2,5,1e+30,1,1
2,6,1e+30,1,1
2,7,1e+30,1,1
2,8,1e+30,1,1
2,9,1e+30,1,1
2,10,1e+30,1,1
2,11,1e+30,1,1
2,12,1e+30,1,1
2,13,1e+30,1,1
2,14,1e+30,1,1
2,15,1e+30,1,1
2,16,1e+30,1,1
2,17,1e+30,1,1
2,18,1e+30,1,1
2,19,1e+30,1,1
2,20,1e+30,1,1
2,21,1e+30,1,1
2,22,1e+30,1,1
2,23,1e+30,1,1
2,24,13.881987623632721,1,1
2,25,13.881906018642686,1,1
2,26,13.881780269028086,1,1
2,27,13.881619220979493,1,1
2,28,13.881475567366031,1,1
2,29,13.881316865064909,1,1
2,30,13.881139344334631,1,1
2,31,13.880944683073855,1,1
2,32,13.880733515903955,1,1
2,33,13.880507287986495,1,1
2,34,13.880267351076952,1,1
2,35,13.880014415384657,1,1
2,36,13.87975005548348,1,1
2,37,13.87947632331265,1,1
2,38,13.879195575090117,1,1
2,39,13.878910972292747,1,1
2,40,13.878625669555667,1,1
2,41,13.878339322739528,1,1
2,42,13.878035184028207,1,1
2,43,13.877616876168918,1,1
2,44,13.877249313888534,1,1
2,45,13.876912769949332,1,1
2,46,13.87660042104266,1,1
2,47,13.876562586936869,1,1
2,48,1e+30,1,1
2,49,1e+30,1,1
2,50,1e+30,1,1
2,51,1e+30,1,1
2,52,1e+30,1,1
2,53,1e+30,1,1
2,54,1e+30,1,1
2,55,1e+30,1,1
2,56,1e+30,1,1
3,0,1e+30,1,1
3,1,1e+30,1,1
3,2,1e+30,1,1
3,3,1e+30,1,1
3,4,1e+30,1,1
3,5,1e+30,1,1
3,6,1e+30,1,1
3,7,1e+30,1,1
3,8,1e+30,1,1
3,9,1e+30,1,1
3,10,1e+30,1,1
3,11,1e+30,1,1
3,12,1e+30,1,1
3,13,1e+30,1,1
3,14,1e+30,1,1
3,15,1e+30,1,1
3,16,1e+30,1,1
