,time,kper,kstp,time,pk4head,confhead,awswhead,pwswhead,springhead,awgwhead,pwgwhead,pk4confdiff,pk4springdiff,pk4awswdiff,pk4pwswdiff,pk4awgwdiff,pk4pwgwdiff,awswgwdiff,pwswgwdiff,firstnegday,springcum,springq,pwtot,pwcum,pwq,awcum,awq,awtot
0,1.0,1,1,1.0,7.786921038568068,13.5,8.952001,6.517,7.59,10.403749076836878,7.74964675924376,-5.713078961431932,0.19692103856806842,-1.165079961431931,1.269921038568068,-2.6168280382688094,0.0372742793243086,-1.4517480768368785,-1.2326467592437593,-1,-29.451304817654414,-0.19692103856806842,-5746.6625250388315,-56.788963838832046,-0.15064675924375948,-379.32313869919454,-3.180749076836878,-6155.43696855568
1,2.0,2,1,2.0,7.701879551404541,13.952078947368422,7.834090874758633,8.159666369120279,7.593456666666666,10.16270986483749,7.664805612412722,-6.2501993959638815,0.10842288473787498,-0.1322113233540927,-0.45778681771573826,-2.4608303134329494,0.03707393899181888,-2.3286189900788568,0.49486075670755714,3,-116.13331971990075,-7.701879551404541,-5998.480128238256,-308.60656703825674,-7.664805612412722,-1296.713589505848,-10.16270986483749,-7411.327037464005
2,3.0,2,2,3.0,7.617772050027957,13.903105263157896,7.828749965667725,8.15849970245361,7.592813939999999,9.92730875742177,7.5809256989029254,-6.285333213129938,0.024958110027958114,-0.2109779156397673,-0.5407276524256535,-2.3095367073938124,0.03684635112503187,-2.098558791754045,0.5775740035506853,3,-113.63193303920951,-7.617772050027957,-5866.078418395875,-302.9165305458752,-7.5809256989029254,-1263.5883747934654,-9.92730875742177,-7243.298726228551
3,4.0,2,3,4.0,7.534588276165289,13.854131578947367,7.823461504129263,8.157799702453612,7.591650543999999,9.697413231603397,7.497996120490328,-6.319543302782078,-0.057062267834710134,-0.28887322796397363,-0.6232114262883233,-2.162824955438108,0.036592155674961546,-1.8739517274741342,0.6598035819632848,3,-111.19058089779347,-7.534588276165289,-5784.584871069581,-297.4499872295819,-7.497996120490328,-1231.5148680484308,-9.697413231603397,-7127.290320015805
4,5.0,2,4,5.0,7.45231808433994,13.805157894736842,7.814642822810581,8.156399702453612,7.590178151999999,9.472893887274118,7.416006102573655,-6.352839810396902,-0.13786006766005876,-0.3623247384706403,-0.7040816181136718,-2.020575802934178,0.036311981766285584,-1.6582510644635375,0.7403935998799573,3,-108.80774081739096,-7.45231808433994,-5626.790634856371,-292.19153065637136,-7.416006102573655,-1200.4427118311637,-9.472893887274118,-6936.0410875049265
5,6.0,2,5,6.0,7.370951440627054,13.756184210526316,7.805599965667724,8.154999702453612,7.588941303999999,9.253624373509638,7.334944992771427,-6.385232769899262,-0.2179898633729449,-0.43464852504067064,-0.7840482618265581,-1.882672932882584,0.03600644785562679,-1.4480244078419133,0.8200547096821849,3,-106.48193058248867,-7.370951440627054,-5470.145911046345,-287.1270802463452,-7.334944992771427,-1170.3253874034747,-9.253624373509638,-6746.953229032308
6,7.0,2,6,7.0,7.290478421422679,13.707210526315787,7.797437465667724,8.153999702453612,7.586588423999999,9.03948131661604,7.254802259534924,-6.416732104893108,-0.29611000257732023,-0.5069590442450451,-0.8635212810309332,-1.7490028951933612,0.03567616188775524,-1.242043850948316,0.8991974429186884,3,-104.21170713586312,-7.290478421422679,-5357.527400215216,-282.24375917521695,-7.254802259534924,-1141.1198245405242,-9.03948131661604,-6602.858931891604
7,8.0,2,7,8.0,7.210889212226632,13.658236842105264,7.789647024491254,8.153399702453612,7.585417735999999,8.830344249875628,7.175567490776884,-6.4473476298786325,-0.37452852377336754,-0.5787578122646222,-0.9425104902269803,-1.6194550376489962,0.035321721449747656,-1.040697225384374,0.977832211676728,3,-101.99566550549096,-7.210889212226632,-5288.178094244781,-277.529783804781,-7.175567490776884,-1112.7860562943365,-8.830344249875628,-6502.9598160446085
8,9.0,2,8,9.0,7.132174106438892,13.609263157894738,7.783833299001058,8.149799702453612,7.584295519999999,8.626095544952008,7.097230392515778,-6.477089051455845,-0.45212141356110624,-0.6516591925621658,-1.0176255960147191,-1.4939214385131159,0.03494371392311457,-0.8422622459509501,1.0525693099378337,3,-99.83243776190643,-7.132174106438892,-4913.188325618668,-272.97436353866874,-7.097230392515778,-1085.286913251877,-8.626095544952008,-6098.307676632452
9,10.0,2,9,10.0,7.054323504169403,13.560289473684213,7.780210491983514,8.145199702453612,7.583276055999999,8.426620344915227,7.019780787535478,-6.5059659695148095,-0.5289525518305958,-0.7258869878141105,-1.0908761982842083,-1.3722968407458236,0.03454271663392561,-0.646409852931713,1.125418914918134,3,-97.72069200511268,-7.054323504169403,-4446.790464307116,-268.5676101071169,-7.019780787535478,-1058.5877525091144,-8.426620344915227,-5603.098908821344
10,11.0,2,10,11.0,6.977327911061095,13.511315789473684,7.774749965667724,8.140599702453612,7.580796007999999,8.231806498848652,6.943208614060142,-6.5339878784125895,-0.6034680969389044,-0.7974220546066295,-1.1632717913925168,-1.254478587787557,0.034119297000953175,-0.45705653318092754,1.19739108839347,3,-95.65913138018038,-6.977327911061095,-3989.151689620541,-264.30045538054134,-6.943208614060142,-1032.6562171755909,-8.231806498848652,-5117.467038176312
11,12.0,2,11,12.0,6.901177937126003,13.462342105263158,7.770142822810582,8.136199702453613,7.579236495999999,8.041544498000235,6.867503924444147,-6.561164168137155,-0.678058558873996,-0.8689648856845791,-1.2350217653276099,-1.1403665608742317,0.03367401268185599,-0.27140167518965264,1.2686957780094659,3,-93.64649312069375,-6.901177937126003,-3553.1716256184504,-260.1645768984502,-6.867503924444147,-1007.4620227426113,-8.041544498000235,-4654.280141481756
12,13.0,2,12,13.0,6.8258642955943305,13.413368421052631,7.763095203762963,8.131599702453613,7.576342936,7.855727413441642,6.7926568838768935,-6.587504125458301,-0.7504786404056691,-0.9372309081686323,-1.3057354068592826,-1.0298631178473112,0.03320741171743702,-0.09263220967867891,1.3389428185767196,3,-91.68154761922894,-6.8258642955943305,-3100.528320138553,-256.15233037855353,-6.7926568838768935,-982.9767671016409,-7.855727413441642,-4175.186634859423
13,14.0,2,13,14.0,6.751377801776285,13.364394736842106,7.75771425138201,8.129799702453612,7.573682327999999,7.674250835199653,6.718657769102314,-6.613016935065821,-0.8223045262237143,-1.0063364496057252,-1.3784219006773268,-0.9228730334233681,0.03272003267397139,0.08346341618235709,1.4111419333512982,3,-89.76309752407482,-6.751377801776285,-2937.3186959016584,-252.25668854165863,-6.718657769102314,-959.1737613960996,-7.674250835199653,-3986.255554821833
14,15.0,2,14,15.0,6.677709371936581,13.31542105263158,7.75171425138201,8.128999702453612,7.571568488,7.4970128128250035,6.64549696715292,-6.6377116806949985,-0.8938591160634184,-1.0740048794454289,-1.4512903305170308,-0.8193034408884223,0.032212404783661164,0.25470143855700655,1.483502735300692,3,-87.88997686142972,-6.677709371936581,-2865.775970131813,-248.47118565181333,-6.64549696715292,-936.0278792366399,-7.4970128128250035,-3889.6938262298827
15,16.0,2,15,16.0,6.604850022181448,13.266447368421051,7.740761870429629,8.128599702453611,7.568693247999999,7.323913797364721,6.57316497409823,-6.661597346239604,-0.9638432258185512,-1.1359118482481811,-1.5237496802721635,-0.7190637751832734,0.031685048083217815,0.4168480730649078,1.5554347283553813,3,-86.06105018233106,-6.604850022181448,-2828.8258370688486,-244.7898672288488,-6.57316497409823,-913.5154221134729,-7.323913797364721,-3828.402309364653
16,17.0,2,16,17.0,6.53279086735798,13.217473684210526,7.730428537096296,8.12819970245361,7.566058335999999,7.154856584704786,6.50165239380739,-6.684682816852546,-1.033267468642019,-1.1976376697383158,-1.59540883509563,-0.6220657173468052,0.031138473550590184,0.5755719523915106,1.62654730864622,3,-84.27521173359705,-6.53279086735798,-2791.974399642578,-241.2072444425781,-6.50165239380739,-891.6139991048329,-7.154856584704786,-3767.8636104810084
17,18.0,2,17,18.0,6.461523119965743,13.168500000000002,7.721095203762962,8.12799970245361,7.564369071999999,6.989746260250734,6.430949936725863,-6.706976880034259,-1.1028459520342562,-1.2595720837972193,-1.666476582487868,-0.5282231402849913,0.030573183239879675,0.731348943512228,1.6970497657277477,3,-82.53138465208113,-6.461523119965743,-2772.0034667449713,-237.71825274497127,-6.430949936725863,-870.3024192130438,-6.989746260250734,-3724.8372706100963
18,19.0,2,18,19.0,6.391038089080439,13.119526315789477,7.711190441858201,8.127799702453611,7.563020647999999,6.828490144914594,6.3610484186659955,-6.728488226709038,-1.1719825589195603,-1.3201523527777619,-1.7367616133731723,-0.4374520558341546,0.02998967041444356,0.8827002969436073,1.7667512837876158,3,-80.82852018156154,-6.391038089080439,-2752.426385539143,-234.31821433914305,-6.3610484186659955,-849.5605948630356,-6.828490144914594,-3682.8155005837402
19,20.0,2,19,20.0,6.321327179289535,13.070552631578948,7.701904727572487,8.127599702453612,7.561759551999999,6.670997742377285,6.291938759611314,-6.749225452289413,-1.2404323727104636,-1.3805775482829512,-1.8062725231640764,-0.34967056308774946,0.029388419678221034,1.0309069851952017,1.8356609428422974,3,-79.16559691160765,-6.321327179289535,-2732.9339325223964,-231.0028041223962,-6.291938759611314,-829.3694552762214,-6.670997742377285,-3641.4689847102254
