obsnme,obsval,weight,obgnme,kper,oname,otype,totim,usecol
oname:cum_otype:lst_usecol:chd2_totim:1,184.77571,0.0,oname:cum_otype:lst_usecol:chd2,,cum,lst,1,chd2
oname:cum_otype:lst_usecol:chd_totim:1,-392.82166,0.0,cum,,cum,lst,1,chd
oname:cum_otype:lst_usecol:drn_totim:1,-127000.0,2.62e-05,oname:cum_otype:lst_usecol:drn,,cum,lst,1,drn
oname:cum_otype:lst_usecol:in-out_totim:1,-258.4432,0.0,oname:cum_otype:lst_usecol:in-out,,cum,lst,1,in-out
oname:cum_otype:lst_usecol:percent-discrepancy_totim:1,-5.97,0.0,oname:cum_otype:lst_usecol:percent-discrepancy,,cum,lst,1,percent-discrepancy
oname:cum_otype:lst_usecol:rcha_totim:1,233.0,0.0143,oname:cum_otype:lst_usecol:rcha,,cum,lst,1,rcha
oname:cum_otype:lst_usecol:total_totim:1,-258.44336,0.0,oname:cum_otype:lst_usecol:total,,cum,lst,1,total
oname:cum_otype:lst_usecol:wel2_totim:1,2760.0,0.00121,oname:cum_otype:lst_usecol:wel2,,cum,lst,1,wel2
oname:cum_otype:lst_usecol:wel3_totim:1,-684.0,0.0,oname:cum_otype:lst_usecol:wel3,,cum,lst,1,wel3
oname:cum_otype:lst_usecol:wel_totim:1,137.0,0.0122,oname:cum_otype:lst_usecol:wel,,cum,lst,1,wel
oname:springobs_otype:lst_usecol:pk2_head_kper:0,7.6,0.4385964912280702,oname:springobs_otype:lst_usecol:pk2_head,0,springobs,lst,,pk2
oname:springobs_otype:lst_usecol:pk4_head_kper:0,7.8,0.4273504273504274,oname:springobs_otype:lst_usecol:pk4_head,0,springobs,lst,,pk4
oname:springobs_otype:lst_usecol:pk4_pk2_diff_kper:0,-0.2,-16.666666666666668,oname:springobs_otype:lst_usecol:pk4_pk2_diff,0,springobs,lst,,pk4
oname:springobs_otype:lst_usecol:spring_flux_kper:0,-3.0,-1.1111111111111112,oname:springobs_otype:lst_usecol:spring_flux,0,springobs,lst,,spring
oname:springobs_otype:lst_usecol:spring_head_kper:0,7.65,0.4357298474945534,springobs,0,springobs,lst,,spring
oname:springobs_otype:lst_usecol:spring_pk2_diff_kper:0,0.05,66.66666666666667,oname:springobs_otype:lst_usecol:spring_pk2_diff,0,springobs,lst,,spring
oname:springobs_otype:lst_usecol:spring_pk4_diff_kper:0,-0.15,-22.22222222222222,oname:springobs_otype:lst_usecol:spring_pk4_diff,0,springobs,lst,,spring
