,0,1,2,sidx,idx_strs,pargp3,parval1_3,3
0,0,39,120,"(0, 39, 120)",idx0:0_idx1:39_idx2:120,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
1,0,39,121,"(0, 39, 121)",idx0:0_idx1:39_idx2:121,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
2,0,40,113,"(0, 40, 113)",idx0:0_idx1:40_idx2:113,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
3,0,40,114,"(0, 40, 114)",idx0:0_idx1:40_idx2:114,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
4,0,40,115,"(0, 40, 115)",idx0:0_idx1:40_idx2:115,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
5,0,40,116,"(0, 40, 116)",idx0:0_idx1:40_idx2:116,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
6,0,40,117,"(0, 40, 117)",idx0:0_idx1:40_idx2:117,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
7,0,40,118,"(0, 40, 118)",idx0:0_idx1:40_idx2:118,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
8,0,40,119,"(0, 40, 119)",idx0:0_idx1:40_idx2:119,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
9,0,40,122,"(0, 40, 122)",idx0:0_idx1:40_idx2:122,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
10,0,40,123,"(0, 40, 123)",idx0:0_idx1:40_idx2:123,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
11,0,40,124,"(0, 40, 124)",idx0:0_idx1:40_idx2:124,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
12,0,41,125,"(0, 41, 125)",idx0:0_idx1:41_idx2:125,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
13,0,41,126,"(0, 41, 126)",idx0:0_idx1:41_idx2:126,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
14,0,41,127,"(0, 41, 127)",idx0:0_idx1:41_idx2:127,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
15,0,42,128,"(0, 42, 128)",idx0:0_idx1:42_idx2:128,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
16,0,42,129,"(0, 42, 129)",idx0:0_idx1:42_idx2:129,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
17,0,42,130,"(0, 42, 130)",idx0:0_idx1:42_idx2:130,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
18,0,43,131,"(0, 43, 131)",idx0:0_idx1:43_idx2:131,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
19,0,43,132,"(0, 43, 132)",idx0:0_idx1:43_idx2:132,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
20,0,43,133,"(0, 43, 133)",idx0:0_idx1:43_idx2:133,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
21,0,44,134,"(0, 44, 134)",idx0:0_idx1:44_idx2:134,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
22,0,44,135,"(0, 44, 135)",idx0:0_idx1:44_idx2:135,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
23,0,44,136,"(0, 44, 136)",idx0:0_idx1:44_idx2:136,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
24,0,45,137,"(0, 45, 137)",idx0:0_idx1:45_idx2:137,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
25,0,45,138,"(0, 45, 138)",idx0:0_idx1:45_idx2:138,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
26,0,45,139,"(0, 45, 139)",idx0:0_idx1:45_idx2:139,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
27,0,46,140,"(0, 46, 140)",idx0:0_idx1:46_idx2:140,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
28,0,46,141,"(0, 46, 141)",idx0:0_idx1:46_idx2:141,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
29,0,47,142,"(0, 47, 142)",idx0:0_idx1:47_idx2:142,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
30,0,47,143,"(0, 47, 143)",idx0:0_idx1:47_idx2:143,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
31,0,47,144,"(0, 47, 144)",idx0:0_idx1:47_idx2:144,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
32,0,48,145,"(0, 48, 145)",idx0:0_idx1:48_idx2:145,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
33,0,48,146,"(0, 48, 146)",idx0:0_idx1:48_idx2:146,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
34,0,48,147,"(0, 48, 147)",idx0:0_idx1:48_idx2:147,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
35,0,49,148,"(0, 49, 148)",idx0:0_idx1:49_idx2:148,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
36,0,49,149,"(0, 49, 149)",idx0:0_idx1:49_idx2:149,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
37,0,83,57,"(0, 83, 57)",idx0:0_idx1:83_idx2:57,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
38,0,83,58,"(0, 83, 58)",idx0:0_idx1:83_idx2:58,mbr_cond_condcn,1.0,1.00000000000000000000000000000000000000000000000000000000000
