,0,1,2,sidx,idx_strs,x,y,pargp3,parval1_3,3
0,0,39,120,"(0, 39, 120)",idx0:0_idx1:39_idx2:120,1205.0,815.0,mbr_cond_condgr,1.0,1.0
1,0,39,121,"(0, 39, 121)",idx0:0_idx1:39_idx2:121,1215.0,815.0,mbr_cond_condgr,1.0,1.0
2,0,40,113,"(0, 40, 113)",idx0:0_idx1:40_idx2:113,1135.0,805.0,mbr_cond_condgr,1.0,1.0
3,0,40,114,"(0, 40, 114)",idx0:0_idx1:40_idx2:114,1145.0,805.0,mbr_cond_condgr,1.0,1.0
4,0,40,115,"(0, 40, 115)",idx0:0_idx1:40_idx2:115,1155.0,805.0,mbr_cond_condgr,1.0,1.0
5,0,40,116,"(0, 40, 116)",idx0:0_idx1:40_idx2:116,1165.0,805.0,mbr_cond_condgr,1.0,1.0
6,0,40,117,"(0, 40, 117)",idx0:0_idx1:40_idx2:117,1175.0,805.0,mbr_cond_condgr,1.0,1.0
7,0,40,118,"(0, 40, 118)",idx0:0_idx1:40_idx2:118,1185.0,805.0,mbr_cond_condgr,1.0,1.0
8,0,40,119,"(0, 40, 119)",idx0:0_idx1:40_idx2:119,1195.0,805.0,mbr_cond_condgr,1.0,1.0
9,0,40,122,"(0, 40, 122)",idx0:0_idx1:40_idx2:122,1225.0,805.0,mbr_cond_condgr,1.0,1.0
10,0,40,123,"(0, 40, 123)",idx0:0_idx1:40_idx2:123,1235.0,805.0,mbr_cond_condgr,1.0,1.0
11,0,40,124,"(0, 40, 124)",idx0:0_idx1:40_idx2:124,1245.0,805.0,mbr_cond_condgr,1.0,1.0
12,0,41,125,"(0, 41, 125)",idx0:0_idx1:41_idx2:125,1255.0,795.0,mbr_cond_condgr,1.0,1.0
13,0,41,126,"(0, 41, 126)",idx0:0_idx1:41_idx2:126,1265.0,795.0,mbr_cond_condgr,1.0,1.0
14,0,41,127,"(0, 41, 127)",idx0:0_idx1:41_idx2:127,1275.0,795.0,mbr_cond_condgr,1.0,1.0
15,0,42,128,"(0, 42, 128)",idx0:0_idx1:42_idx2:128,1285.0,785.0,mbr_cond_condgr,1.0,1.0
16,0,42,129,"(0, 42, 129)",idx0:0_idx1:42_idx2:129,1295.0,785.0,mbr_cond_condgr,1.0,1.0
17,0,42,130,"(0, 42, 130)",idx0:0_idx1:42_idx2:130,1305.0,785.0,mbr_cond_condgr,1.0,1.0
18,0,43,131,"(0, 43, 131)",idx0:0_idx1:43_idx2:131,1315.0,775.0,mbr_cond_condgr,1.0,1.0
19,0,43,132,"(0, 43, 132)",idx0:0_idx1:43_idx2:132,1325.0,775.0,mbr_cond_condgr,1.0,1.0
20,0,43,133,"(0, 43, 133)",idx0:0_idx1:43_idx2:133,1335.0,775.0,mbr_cond_condgr,1.0,1.0
21,0,44,134,"(0, 44, 134)",idx0:0_idx1:44_idx2:134,1345.0,765.0,mbr_cond_condgr,1.0,1.0
22,0,44,135,"(0, 44, 135)",idx0:0_idx1:44_idx2:135,1355.0,765.0,mbr_cond_condgr,1.0,1.0
23,0,44,136,"(0, 44, 136)",idx0:0_idx1:44_idx2:136,1365.0,765.0,mbr_cond_condgr,1.0,1.0
24,0,45,137,"(0, 45, 137)",idx0:0_idx1:45_idx2:137,1375.0,755.0,mbr_cond_condgr,1.0,1.0
25,0,45,138,"(0, 45, 138)",idx0:0_idx1:45_idx2:138,1385.0,755.0,mbr_cond_condgr,1.0,1.0
26,0,45,139,"(0, 45, 139)",idx0:0_idx1:45_idx2:139,1395.0,755.0,mbr_cond_condgr,1.0,1.0
27,0,46,140,"(0, 46, 140)",idx0:0_idx1:46_idx2:140,1405.0,745.0,mbr_cond_condgr,1.0,1.0
