kper,kstp,k,i,j,PWq
1,1,0,22,40,-8.24007660012781
1,1,0,23,40,-8.12214894992515
1,1,0,24,39,-8.072943287695859
1,1,0,25,39,-7.762135208472482
1,1,0,26,38,-8.116875928984484
1,1,0,27,38,-8.129045576323946
1,1,0,28,38,-5.777509678593685
1,1,0,29,37,-7.916706411693562
1,1,0,30,37,-7.600503367969183
1,1,0,31,37,-7.313391906413435
1,1,0,32,36,-7.396794828550554
1,1,0,33,36,-7.336407075753108
1,1,0,34,37,-7.431413746395498
1,1,0,35,37,-7.382490145079903
1,1,0,36,37,-7.4912128922557795
1,1,0,37,37,-7.3350210161044265
1,1,0,38,37,-7.209513825606403
1,1,0,39,38,-7.219981671703062
1,1,0,40,38,-7.140910410443812
1,1,0,41,38,-7.104818437205587
1,1,0,42,38,-7.133772349589368
1,1,0,43,38,-7.138559326751986
1,1,0,44,38,-7.152804846207475
1,1,0,45,37,-4.760812461529559
1,1,0,45,38,-7.112330056751977
2,1,0,22,40,-13.284549164260401
2,1,0,23,40,-13.295793216134255
2,1,0,24,39,-13.427122611586478
2,1,0,25,39,-13.489577392601337
2,1,0,26,38,-13.62382422164692
2,1,0,27,38,-13.661524881546832
2,1,0,28,38,-13.402157793765834
2,1,0,29,37,-13.932277292533861
2,1,0,30,37,-14.081775936193946
2,1,0,31,37,-14.157603038954408
2,1,0,32,36,-14.367882239446871
2,1,0,33,36,-14.467817936763462
2,1,0,34,37,-14.575283880273266
2,1,0,35,37,-14.621561730331836
2,1,0,36,37,-14.682182803466183
2,1,0,37,37,-14.747776488473708
2,1,0,38,37,-14.815910780121671
2,1,0,39,38,-14.842376012774631
2,1,0,40,38,-14.86274250208447
2,1,0,41,38,-14.883075866204148
2,1,0,42,38,-14.89702310257896
2,1,0,43,38,-14.902326438451396
2,1,0,44,38,-14.898400699828674
2,1,0,45,37,-14.944769034934414
2,1,0,45,38,-14.887687650643171
2,2,0,22,40,-12.06231371992208
2,2,0,23,40,-12.08684259103638
2,2,0,24,39,-12.258785511274924
2,2,0,25,39,-12.338211875182804
2,2,0,26,38,-12.526306098975784
2,2,0,27,38,-12.591963206777264
2,2,0,28,38,-12.395841968632366
2,2,0,29,37,-13.033617410459037
2,2,0,30,37,-13.258371259295684
2,2,0,31,37,-13.370027474538023
2,2,0,32,36,-13.668000367328931
2,2,0,33,36,-13.832155136223934
