kper,kstp,k,i,j,AWq
1,1,0,2,46,-24.13447102191583
1,1,0,3,46,2.1904479543325124
1,1,0,4,46,13.044203108924194
1,1,0,5,45,-76.44959183280878
1,1,0,6,45,-71.9884111383285
1,1,0,7,44,-74.55452952160044
1,1,0,8,43,-69.70081692208657
1,1,0,8,54,-0.5148930699779157
1,1,0,9,43,-62.01043202497749
1,1,0,9,52,-0.28149935379008184
1,1,0,9,53,5.297747828364777
1,1,0,10,42,-62.84665225782055
1,1,0,10,50,5.918333283559832
1,1,0,10,51,11.90133633104756
1,1,0,11,42,-50.344155233582
1,1,0,11,48,10.216584544921602
1,1,0,11,49,0.9903062017264119
1,1,0,12,9,-109.49032783864436
1,1,0,12,42,-43.9785959591203
1,1,0,12,46,62.19701702109239
1,1,0,12,47,-5.0849262771963595
1,1,0,13,10,-123.92615856877421
1,1,0,13,42,-32.3399615141966
1,1,0,13,44,27.609005267931707
1,1,0,13,45,17.015752495312086
1,1,0,13,52,-137.83129121932677
1,1,0,13,53,-132.4950271893881
1,1,0,13,54,-129.2810751157599
1,1,0,13,55,-128.51386395005977
1,1,0,14,10,-134.10545679370352
1,1,0,14,11,-137.5088838343994
1,1,0,14,41,-36.83112287255494
1,1,0,14,42,-15.494676042995138
1,1,0,14,43,52.31506230387265
1,1,0,14,50,-131.2026812346778
1,1,0,14,51,-129.2599232093263
1,1,0,15,12,-147.95345922715046
1,1,0,15,13,-157.8084284210314
1,1,0,15,41,-15.694912926249458
1,1,0,15,48,-127.02802456939605
1,1,0,15,49,-128.92480971387045
1,1,0,16,14,57.63744437739297
1,1,0,16,15,-152.30112756967594
1,1,0,16,16,-150.94607112188055
1,1,0,16,17,-149.3873315018585
1,1,0,16,41,-10.05577840654189
1,1,0,16,46,-123.2179814687828
1,1,0,16,47,-121.27262188086377
1,1,0,17,18,-147.77129348484323
1,1,0,17,41,-20.73651815780636
1,1,0,17,42,-121.51712576301202
1,1,0,17,43,-113.12697956613465
1,1,0,17,44,-112.13107831323634
1,1,0,17,45,-115.00478086339865
1,1,0,18,19,-129.91800524359417
1,1,0,18,20,-142.13859900830118
1,1,0,18,40,160.5150629528756
1,1,0,18,42,-112.96438189611717
1,1,0,19,21,-143.09725909074564
1,1,0,19,40,153.24059725283246
1,1,0,19,41,-122.20128885871145
1,1,0,20,22,-137.63210157456285
1,1,0,20,39,63.61447404728119
