kper,kstp,k,i,j,PWq
1,1,0,22,40,-81.0090396079255
1,1,0,23,40,-59.15915992532814
1,1,0,24,39,-59.81111661099601
1,1,0,25,39,-26.82259172211252
1,1,0,26,38,-57.58438335592632
1,1,0,27,38,-56.52474581849572
1,1,0,28,38,35.65680573717134
1,1,0,29,37,-33.88633690364429
1,1,0,30,37,-14.9848108385645
1,1,0,31,37,4.08281836335982
1,1,0,32,36,-4.1815413418515845
1,1,0,33,36,0.3361637462859335
1,1,0,34,37,-8.761631912224402
1,1,0,35,37,-5.14718307197063
1,1,0,36,37,-16.572635513560954
1,1,0,37,37,-6.918005854094076
1,1,0,38,37,-1.1431740401062598
1,1,0,39,38,-9.82299372686873
1,1,0,40,38,-6.097066371930964
1,1,0,41,38,-7.246717895697657
1,1,0,42,38,-14.931182666740483
1,1,0,43,38,-22.55610524361589
1,1,0,44,38,-34.60830924568279
1,1,0,45,37,151.34626623279644
1,1,0,45,38,-44.626416345740154
2,1,0,22,40,-81.13997552908552
2,1,0,23,40,-59.30886136916797
2,1,0,24,39,-59.9644761845841
2,1,0,25,39,-26.97492732432977
2,1,0,26,38,-57.73270897608779
2,1,0,27,38,-56.62051527420692
2,1,0,28,38,36.39493104863709
2,1,0,29,37,-33.70689138216483
2,1,0,30,37,-15.00198860747173
2,1,0,31,37,3.979183141883027
2,1,0,32,36,-4.3313249473303586
2,1,0,33,36,0.1830918821810883
2,1,0,34,37,-8.913911825501941
2,1,0,35,37,-5.299563717481647
2,1,0,36,37,-16.72505097127498
2,1,0,37,37,-7.070534496060418
2,1,0,38,37,-1.2967522942039977
2,1,0,39,38,-9.97525482316314
2,1,0,40,38,-6.2494787947242685
2,1,0,41,38,-7.399130537999326
2,1,0,42,38,-15.083550615342915
2,1,0,43,38,-22.708423239733975
2,1,0,44,38,-34.760357316679574
2,1,0,45,37,151.19413083120457
2,1,0,45,38,-44.77730348370267
2,2,0,22,40,-81.06449659218208
2,2,0,23,40,-59.26292964389859
2,2,0,24,39,-59.92613473341646
2,2,0,25,39,-26.939216028341775
2,2,0,26,38,-57.69077348576377
2,2,0,27,38,-56.541427069288375
2,2,0,28,38,36.69152129435156
2,2,0,29,37,-33.483763335330195
2,2,0,30,37,-14.866096135062207
2,2,0,31,37,4.059727035283004
2,2,0,32,36,-4.2919538394749
2,2,0,33,36,0.2173325108564086
2,2,0,34,37,-8.87917152657758
2,2,0,35,37,-5.26504379305436
2,2,0,36,37,-16.690616111668533
2,2,0,37,37,-7.03629617628269
2,2,0,38,37,-1.2636596609056596
2,2,0,39,38,-9.940531649903733
2,2,0,40,38,-6.214935405134497
2,2,0,41,38,-7.364623826008369
2,2,0,42,38,-15.048997279520563
2,2,0,43,38,-22.67367757883335
2,2,0,44,38,-34.72504011234105
2,2,0,45,37,151.23076851148687
2,2,0,45,38,-44.740681781394414
2,3,0,22,40,-80.96231267352937
2,3,0,23,40,-59.19655964460287
2,3,0,24,39,-59.87092469608592
2,3,0,25,39,-26.89011993699023
2,3,0,26,38,-57.634487584187355
2,3,0,27,38,-56.46105624145923
2,3,0,28,38,36.80498902380714
2,3,0,29,37,-33.32685768367628
2,3,0,30,37,-14.745066630644033
2,3,0,31,37,4.147274602801417
2,3,0,32,36,-4.239149754294544
2,3,0,33,36,0.26401692313322656
2,3,0,34,37,-8.832899349209583
2,3,0,35,37,-5.219041837161058
2,3,0,36,37,-16.644743372494645
2,3,0,37,37,-6.990632057251901
2,3,0,38,37,-1.2187372538708132
2,3,0,39,38,-9.894275360722418
2,3,0,40,38,-6.168863626694815
2,3,0,41,38,-7.3185835481306185
2,3,0,42,38,-15.00283906574316
2,3,0,43,38,-22.627154760096914
2,3,0,44,38,-34.67772412875661
2,3,0,45,37,151.2815235775049
2,3,0,45,38,-44.69233196592768
2,4,0,22,40,-80.93965131294533
2,4,0,23,40,-59.21257431169283
2,4,0,24,39,-59.901843590098
2,4,0,25,39,-26.929650752494695
2,4,0,26,38,-57.66710873631246
2,4,0,27,38,-56.47608803086848
2,4,0,28,38,36.81342119613964
2,4,0,29,37,-33.28850934499383
2,4,0,30,37,-14.72777173102611
2,4,0,31,37,4.141242943668999
2,4,0,32,36,-4.276465595873788
2,4,0,33,36,0.22000914883767564
2,4,0,34,37,-8.877609243267443
2,4,0,35,37,-5.2640859831191165
2,4,0,36,37,-16.68995746746691
2,4,0,37,37,-7.036069208087952
2,4,0,38,37,-1.2649762791920693
2,4,0,39,38,-9.938987979575813
2,4,0,40,38,-6.213762686910854
2,4,0,41,38,-7.363484556693038
2,4,0,42,38,-15.047511702233805
2,4,0,43,38,-22.67124361732226
2,4,0,44,38,-34.72075579630018
2,4,0,45,37,151.2434025048883
2,4,0,45,38,-44.73413193560111
2,5,0,22,40,-80.82773540245148
2,5,0,23,40,-59.14365057838961
2,5,0,24,39,-59.8510390013231
2,5,0,25,39,-26.890035780135463
2,5,0,26,38,-57.621127880877225
2,5,0,27,38,-56.41971588969386
2,5,0,28,38,36.85337386646859
2,5,0,29,37,-33.20374075405789
2,5,0,30,37,-14.649010825945538
2,5,0,31,37,4.206876707041943
2,5,0,32,36,-4.236543752274201
2,5,0,33,36,0.25300303768142385
2,5,0,34,37,-8.845926387275995
2,5,0,35,37,-5.23277370478047
2,5,0,36,37,-16.658844544927433
2,5,0,37,37,-7.005156069363352
2,5,0,38,37,-1.2345694363009443
2,5,0,39,38,-9.907277523916036
2,5,0,40,38,-6.182197687491907
2,5,0,41,38,-7.331859066431434
2,5,0,42,38,-15.015510078668399
2,5,0,43,38,-22.638415896231322
2,5,0,44,38,-34.68666444785811
2,5,0,45,37,151.28402078490979
2,5,0,45,38,-44.69897756331568
2,6,0,22,40,-80.7052824390347
2,6,0,23,40,-59.06908458854798
2,6,0,24,39,-59.797589078868896
2,6,0,25,39,-26.85030634847567
2,6,0,26,38,-57.57576636083331
2,6,0,27,38,-56.36933436492484
2,6,0,28,38,36.87725109433245
