kper,kstp,k,i,j,SPq
1,1,0,32,30,-54.96416663820207
1,1,0,33,30,-48.69367030178455
1,1,0,33,31,-1.6784875194593951
1,1,0,33,32,-10.438683794303188
1,1,0,33,33,-2.1086073922249398
1,1,0,34,30,-9.05349289766059
1,1,0,34,31,-13.19136435245332
1,1,0,34,33,-5.160263769093376
1,1,0,35,33,-9.079748355649713
1,1,0,36,32,-12.265976058041815
1,1,0,36,33,-14.298141490864737
1,1,0,37,32,-19.69802171731476
2,1,0,32,30,-54.32513250930401
2,1,0,33,30,-48.183547506321474
2,1,0,33,31,-1.1939504072688578
2,1,0,33,32,-9.95449325381935
2,1,0,33,33,-1.622381177289185
2,1,0,34,30,-8.567832205423883
2,1,0,34,31,-12.71274916022935
2,1,0,34,33,-4.685194575340574
2,1,0,35,33,-8.60695369290329
2,1,0,36,32,-11.792714549438415
2,1,0,36,33,-13.825379628856922
2,1,0,37,32,-19.220367609991058
2,2,0,32,30,-54.1244664998427
2,2,0,33,30,-48.069328821187355
2,2,0,33,31,-1.1142294301179163
2,2,0,33,32,-9.879466041598903
2,2,0,33,33,-1.5461349444043435
2,2,0,34,30,-8.485032642550209
2,2,0,34,31,-12.641870901675134
2,2,0,34,33,-4.618184547589749
2,2,0,35,33,-8.54215590294325
2,2,0,36,32,-11.726576552001802
2,2,0,36,33,-13.760374318927802
2,2,0,37,32,-19.14693461021841
2,3,0,32,30,-53.98567527362343
2,3,0,33,30,-47.996695814579425
2,3,0,33,31,-1.077733852804272
2,3,0,33,32,-9.851480820611982
2,3,0,33,33,-1.5180088167943495
2,3,0,34,30,-8.444705599111444
2,3,0,34,31,-12.617267476697748
2,3,0,34,33,-4.598612702331252
2,3,0,35,33,-8.5246865446436
2,3,0,36,32,-11.706739795180852
2,3,0,36,33,-13.742303629897378
2,3,0,37,32,-19.11788313018326
2,4,0,32,30,-53.87861779164507
2,4,0,33,30,-47.94616392336695
2,4,0,33,31,-1.0626655414300785
2,4,0,33,32,-9.847858810031425
2,4,0,33,33,-1.5154837917419854
2,4,0,34,30,-8.425653124012229
2,4,0,34,31,-12.616592317954087
2,4,0,34,33,-4.604492694770556
2,4,0,35,33,-8.532607930180006
2,4,0,36,32,-11.711230533594517
2,4,0,36,33,-13.749192812383285
2,4,0,37,32,-19.11187178232376
2,5,0,32,30,-53.72684591281927
2,5,0,33,30,-47.86365369620944
2,5,0,33,31,-1.018105581034206
2,5,0,33,32,-9.817413150229072
2,5,0,33,33,-1.487520964815758
2,5,0,34,30,-8.377030734022014
2,5,0,34,31,-12.588667748255148
2,5,0,34,33,-4.584773549009583
2,5,0,35,33,-8.514849990223752
2,5,0,36,32,-11.688964250378376
2,5,0,36,33,-13.729984340593774
2,5,0,37,32,-19.07797097124319
2,6,0,32,30,-53.662170076141024
2,6,0,33,30,-47.87386709374846
2,6,0,33,31,-1.0693170447755165
2,6,0,33,32,-9.88581785309509
2,6,0,33,33,-1.5599979173531437
2,6,0,34,30,-8.425152070603758
2,6,0,34,31,-12.659682300136183
2,6,0,34,33,-4.666151932815637
2,6,0,35,33,-8.598368923832936
2,6,0,36,32,-11.766994839174458
2,6,0,36,33,-13.811740723746766
2,6,0,37,32,-19.144071703060035
2,7,0,32,30,-53.474228707901034
2,7,0,33,30,-47.76105299075709
2,7,0,33,31,-0.9997854102640531
2,7,0,33,32,-9.835848589023044
2,7,0,33,33,-1.5158525012602695
2,7,0,34,30,-8.352586851888873
2,7,0,34,31,-12.611854389703694
2,7,0,34,33,-4.630597678022127
2,7,0,35,33,-8.56493783754479
2,7,0,36,32,-11.727100126806931
2,7,0,36,33,-13.776293600275494
2,7,0,37,32,-19.091577346606982
2,8,0,32,30,-53.27803511758509
2,8,0,33,30,-47.639672590001396
2,8,0,33,31,-0.9231364367267361
2,8,0,33,32,-9.78046973794983
2,8,0,33,33,-1.4678769085322756
2,8,0,34,30,-8.27257632733938
2,8,0,34,31,-12.55827559641375
2,8,0,34,33,-4.591239215427095
2,8,0,35,33,-8.527678039899683
2,8,0,36,32,-11.682399707081231
2,8,0,36,33,-13.736793810514541
2,8,0,37,32,-19.03353001405071
2,9,0,32,30,-53.079595866335694
2,9,0,33,30,-47.507806530632706
2,9,0,33,31,-0.83518636993972
2,9,0,33,32,-9.714652864082382
2,9,0,33,33,-1.4107437013876734
2,9,0,34,30,-8.180566236705317
2,9,0,34,31,-12.493982535023065
2,9,0,34,33,-4.542959541896153
2,9,0,35,33,-8.481467549079298
2,9,0,36,32,-11.627784004544878
2,9,0,36,33,-13.688127582410743
2,9,0,37,32,-18.964830795714875
2,10,0,32,30,-53.0335335957659
2,10,0,33,30,-47.512172289133105
2,10,0,33,31,-0.8796233049298507
2,10,0,33,32,-9.781741294324092
2,10,0,33,33,-1.4875369736072344
2,10,0,34,30,-8.22126846616743
2,10,0,34,31,-12.562925408822935
2,10,0,34,33,-4.62983567521519
2,10,0,35,33,-8.570707869112084
2,10,0,36,32,-11.707819579474517
2,10,0,36,33,-13.774791565763849
2,10,0,37,32,-19.031062230287716
2,11,0,32,30,-52.893058979012494
2,11,0,33,30,-47.42406655572438
2,11,0,33,31,-0.8296479839510766
2,11,0,33,32,-9.754420105431791
2,11,0,33,33,-1.4708270273137032
2,11,0,34,30,-8.167282570732823
2,11,0,34,31,-12.537239636638901
2,11,0,34,33,-4.623406031899663
2,11,0,35,33,-8.56679741865537
2,11,0,36,32,-11.694011191280879
2,11,0,36,33,-13.76825029911879
2,11,0,37,32,-19.003567193214963
2,12,0,32,30,-52.85113427526608
2,12,0,33,30,-47.451711508075846
2,12,0,33,31,-0.8978604478478474
2,12,0,33,32,-9.846434663009177
