time,flux
1.0,-12.265976058041815
2.0,-11.792714549438415
3.0,-11.726576552001802
4.0,-11.706739795180852
5.0,-11.711230533594517
6.0,-11.688964250378376
7.0,-11.766994839174458
8.0,-11.727100126806931
9.0,-11.682399707081231
10.0,-11.627784004544878
11.0,-11.707819579474517
12.0,-11.694011191280879
13.0,-11.801423835449555
14.0,-11.87769966610199
15.0,-11.896960176091284
16.0,-11.984000977218216
17.0,-12.041942620497935
18.0,-12.008114264519122
19.0,-11.944253062544362
20.0,-11.874888059709178
21.0,-11.74691892355554
22.0,-11.795114895386973
23.0,-11.858174073649252
24.0,-12.073409619691574
25.0,-12.401392242019483
26.0,-12.880338152145555
27.0,-13.375548231694324
28.0,-14.073573435169806
29.0,-14.768124640770907
30.0,-15.226710632355207
31.0,-15.655448938276322
32.0,-16.237348094627123
33.0,-16.71292437356624
34.0,-16.971156037628475
35.0,-17.493347000365247
36.0,-18.06732982610731
37.0,-18.37385654948048
38.0,-18.60082270659882
39.0,-19.042309002735806
40.0,-19.128073898230923
41.0,-19.218294755466218
42.0,-19.226650828048832
43.0,-19.268312345409072
44.0,-19.113954693344112
45.0,-19.22745297128813
46.0,-19.180355259664452
47.0,-18.864392364036235
48.0,-18.532033100200465
49.0,-18.423877147474855
50.0,-18.275119491914552
51.0,-18.17734356073845
52.0,-18.136476646970323
53.0,-18.17759764368509
54.0,-68.15708102613644
55.0,-70.45692587200642
56.0,-70.64371218600093
57.0,-70.81659097344607
58.0,-70.98920694944331
59.0,-71.46620964161264
60.0,-71.94385702487273
61.0,-72.32725946799349
62.0,-72.66657152006542
63.0,-72.8240512393304
64.0,-72.79109509728255
65.0,-72.93074946124284
66.0,-73.40754346842562
67.0,-73.67092036730776
68.0,-73.77272607213422
69.0,-73.93427784615733
70.0,-74.5495864880561
71.0,-75.07499355442405
72.0,-75.48490090737153
73.0,-75.9334330250548
74.0,-76.30865786457309
75.0,-76.67747963682848
76.0,-76.79018990864847
77.0,-76.89186990924657
78.0,-76.94611692486103
79.0,-76.95026515050483
80.0,-76.90628643027503
81.0,-76.87305143785534
82.0,-76.79585084103257
83.0,-76.77322000930008
84.0,-76.85753627294162
85.0,-77.0282156173048
86.0,-76.93353542413251
87.0,-76.89920318577902
88.0,-77.02498540693932
89.0,-77.15493763469112
90.0,-77.25457323692001
91.0,-77.30894050612517
92.0,-77.26852786610084
93.0,-77.20074050680444
94.0,-77.00989424564409
95.0,-76.79535776688147
96.0,-76.64915821294403
97.0,-76.54345180710413
98.0,-76.41982023657306
99.0,-76.34939445552732
100.0,-76.33083019711592
101.0,-76.0983652793011
102.0,-75.77612921532273
103.0,-75.52567983086692
104.0,-75.16735393744739
105.0,-74.8001168982089
106.0,-74.51574737656983
