kper,kstp,k,i,j,AWq
1,1,0,2,46,-5.156351143878895
1,1,0,3,46,-4.887292317631989
1,1,0,4,46,-4.851199560248926
1,1,0,5,45,-6.011327752455438
1,1,0,6,45,-6.103155632562951
1,1,0,7,44,-6.161309960554021
1,1,0,8,43,-6.136440801402552
1,1,0,8,54,-6.034707345032304
1,1,0,9,43,-6.174182187328945
1,1,0,9,52,-5.998949193301311
1,1,0,9,53,-6.0397892299720795
1,1,0,10,42,-6.176325763458715
1,1,0,10,50,-5.922125771824936
1,1,0,10,51,-5.973945634208345
1,1,0,11,42,-6.175014437652411
1,1,0,11,48,-5.858326642524386
1,1,0,11,49,-6.095122988819011
1,1,0,12,9,-7.696906187493824
1,1,0,12,42,-6.226709274267504
1,1,0,12,46,-5.206565420500354
1,1,0,12,47,-6.106336520139266
1,1,0,13,10,-7.737000186691937
1,1,0,13,42,-6.23240459934374
1,1,0,13,44,-5.640799816793317
1,1,0,13,45,-5.845568953745504
1,1,0,13,52,-8.78846387985059
1,1,0,13,53,-8.844374072439937
1,1,0,13,54,-8.8613293237316
1,1,0,13,55,-8.877309182736097
1,1,0,14,10,-7.805093828011282
1,1,0,14,11,-7.8600032473202335
1,1,0,14,41,-6.316629733292677
1,1,0,14,42,-6.21912955933707
1,1,0,14,43,-5.518840591788042
1,1,0,14,50,-8.633649942187295
1,1,0,14,51,-8.67758770907042
1,1,0,15,12,-7.887005059779875
1,1,0,15,13,-7.947905015889746
1,1,0,15,41,-6.291373264547763
1,1,0,15,48,-8.531828128058386
1,1,0,15,49,-8.601767715006556
1,1,0,16,14,-5.361882446195629
1,1,0,16,15,-7.879677361196928
1,1,0,16,16,-7.990532444604321
1,1,0,16,17,-7.931438870383482
1,1,0,16,41,-6.46512446498852
1,1,0,16,46,-8.478992674917041
1,1,0,16,47,-8.483930112742645
1,1,0,17,18,-7.92629856725218
1,1,0,17,41,-6.829883762947233
1,1,0,17,42,-8.335451465458636
1,1,0,17,43,-8.397242736703053
1,1,0,17,44,-8.434121370883016
1,1,0,17,45,-8.442071216408273
1,1,0,18,19,-7.7990955382966325
1,1,0,18,20,-7.927911744859561
1,1,0,18,40,-4.480292295365144
1,1,0,18,42,-8.331402861926673
1,1,0,19,21,-7.956703188651694
1,1,0,19,40,-4.8600628521454095
1,1,0,19,41,-8.304584421718832
1,1,0,20,22,-7.952445888676215
1,1,0,20,39,-6.201414112608971
1,1,0,20,41,-8.20148618407501
1,1,0,21,23,-8.015149186663637
1,1,0,21,36,-8.222075538418903
1,1,0,21,37,-8.252460200262634
1,1,0,21,38,-8.231856341267498
1,1,0,21,39,-8.202259622742426
1,1,0,21,40,-8.271757770259072
1,1,0,21,41,-8.26041270513127
1,1,0,22,24,-8.041818401052286
1,1,0,22,35,-8.217618507858285
1,1,0,23,25,-8.033448692390674
1,1,0,23,26,-8.038102387837458
1,1,0,23,34,-8.206101721257985
1,1,0,24,27,-8.06573631854921
1,1,0,24,28,-8.068372282541947
1,1,0,24,33,-8.207500731646395
1,1,0,25,29,-8.082003373475136
1,1,0,25,33,-8.204558183605997
1,1,0,26,29,-8.137083719949809
1,1,0,26,32,-8.233937942966946
1,1,0,27,30,-6.323861218596052
1,1,0,27,31,-8.179409796881025
1,1,0,27,32,-8.198064296258146
1,1,0,27,33,-8.172949554760805
1,1,0,28,32,-8.233470614520835
1,1,0,28,33,-8.147398703299348
1,1,0,29,31,-8.189131459632597
1,1,0,30,31,-8.211538073112605
1,1,0,31,31,-8.150978957128926
1,1,0,32,30,-8.206289252374921
1,1,0,33,27,-8.038307480501889
1,1,0,33,28,-8.038171456993798
1,1,0,33,29,-8.038020816097234
1,1,0,34,25,-8.038664711802568
1,1,0,34,26,-8.03869496803199
1,1,0,35,22,-8.038645748400846
1,1,0,35,23,-8.03867476320466
1,1,0,35,24,-8.038803806374077
1,1,0,36,14,-8.039216140770371
1,1,0,36,15,-8.039036123635242
1,1,0,36,16,-8.038898226228085
1,1,0,36,17,-8.038766946801818
1,1,0,36,18,-8.038642558696363
1,1,0,36,19,-8.038551124337022
1,1,0,36,20,-8.038510137560351
1,1,0,36,21,-8.038569788760704
1,1,0,37,14,-8.039075285597221
1,1,0,38,12,-8.039254351360018
1,1,0,38,13,-8.039084869002775
1,1,0,39,11,-8.039188456368727
1,1,0,40,9,-8.039170247324659
1,1,0,40,10,-8.038698027258416
1,1,0,41,7,-8.039447586454354
1,1,0,41,8,-8.039116798188758
1,1,0,42,6,-8.03942199559718
1,1,0,43,5,-8.039163251886848
1,1,0,44,3,-7.1947278377851696
1,1,0,44,4,-7.225706569709695
2,1,0,2,46,-15.101533654014123
2,1,0,3,46,-15.10148286913597
2,1,0,4,46,-15.101427780271345
2,1,0,5,45,-15.101799981929696
2,1,0,6,45,-15.101600072643311
2,1,0,7,44,-15.101989076046763
2,1,0,8,43,-15.10232015067757
2,1,0,8,54,-15.097774787911654
2,1,0,9,43,-15.101956866813683
2,1,0,9,52,-15.098272681457694
2,1,0,9,53,-15.098024005998326
2,1,0,10,42,-15.102364840262693
2,1,0,10,50,-15.098605402607044
2,1,0,10,51,-15.098338457221363
2,1,0,11,42,-15.101928762196097
2,1,0,11,48,-15.098990002501113
2,1,0,11,49,-15.09868718452291
2,1,0,12,9,-15.111316207011138
2,1,0,12,42,-15.101537862696294
2,1,0,12,46,-15.099455934769216
2,1,0,12,47,-15.099115419581791
2,1,0,13,10,-15.111517335662652
2,1,0,13,42,-15.10117724965583
2,1,0,13,44,-15.100027687784111
2,1,0,13,45,-15.099639442505035
2,1,0,13,52,-15.09821472592415
2,1,0,13,53,-15.098109119860043
2,1,0,13,54,-15.098069203619362
2,1,0,13,55,-15.098056014812169
2,1,0,14,10,-15.111523876589231
2,1,0,14,11,-15.111570333421309
2,1,0,14,41,-15.10196300230962
2,1,0,14,42,-15.100924605018388
2,1,0,14,43,-15.10035580815339
2,1,0,14,50,-15.09860423020025
2,1,0,14,51,-15.098543190776233
2,1,0,15,12,-15.111643542577212
2,1,0,15,13,-15.111697749699509
2,1,0,15,41,-15.101818309491343
2,1,0,15,48,-15.099022002662615
2,1,0,15,49,-15.098947079601269
2,1,0,16,14,-15.111710854148333
2,1,0,16,15,-15.111713305715654
