kper,kstp,k,i,j,CONFq
1,1,0,1,27,3.9810504905685864
1,1,0,1,28,3.98231571772717
1,1,0,1,29,3.984333749711684
1,1,0,1,30,3.9868970249861935
1,1,0,1,31,3.9898983750390293
1,1,0,1,32,3.993268551998666
1,1,0,1,33,3.996954504739696
1,1,0,1,34,4.0009101994839575
1,1,0,1,35,4.005091815491305
1,1,0,1,36,4.00945440305342
1,1,0,1,37,4.013948293261974
1,1,0,1,38,4.018513444269454
1,1,0,1,39,4.02306799181788
1,1,0,1,40,4.027480452120791
1,1,0,1,41,4.031491094482748
1,1,0,1,42,4.034458933328539
1,1,0,2,24,3.977580119090227
1,1,0,2,25,3.978308419904808
1,1,0,2,26,3.979529696001773
1,1,0,2,27,3.981092333142179
1,1,0,2,28,3.9828700669819046
1,1,0,2,29,3.985095795037836
1,1,0,2,30,3.9877664404798576
1,1,0,2,31,3.990837185081082
1,1,0,2,32,3.9942606667379437
1,1,0,2,33,3.9979928979334627
1,1,0,2,34,4.001992545078414
1,1,0,2,35,4.006219181742427
1,1,0,2,36,4.010631530072402
1,1,0,2,37,4.015185620083244
1,1,0,2,38,4.019832845135307
1,1,0,2,39,4.0245191029250424
1,1,0,2,40,4.02919151703469
1,1,0,2,41,4.033843357957876
1,1,0,2,42,4.038737402469369
1,1,0,2,43,4.045449969628548
1,1,0,2,44,4.050782336170029
1,1,0,2,45,4.05497084371158
1,1,0,2,46,4.057984900794418
1,1,0,2,47,4.060872358351897
1,1,0,3,21,3.976987355725189
1,1,0,3,22,3.977181270977953
1,1,0,3,23,3.977608123047103
1,1,0,3,24,3.978158656649745
1,1,0,3,25,3.979122331549892
1,1,0,3,26,3.9804953033042167
1,1,0,3,27,3.982226996404849
1,1,0,3,28,3.984283980723358
1,1,0,3,29,3.9867201301099584
1,1,0,3,30,3.989542455906623
1,1,0,3,31,3.992729797658571
1,1,0,3,32,3.996250637272613
1,1,0,3,33,4.000070535503646
1,1,0,3,34,4.004154491675587
1,1,0,3,35,4.00846730328314
1,1,0,3,36,4.01297333314133
1,1,0,3,37,4.0176363012065615
1,1,0,3,38,4.0224198664520205
1,1,0,3,39,4.027290927603005
1,1,0,3,40,4.032230573437332
1,1,0,3,41,4.037262688030205
1,1,0,3,42,4.0425063898501
1,1,0,3,43,4.048140339564375
1,1,0,3,44,4.053236953169057
1,1,0,3,45,4.057456396938221
1,1,0,3,46,4.060469263268187
1,1,0,3,47,4.065072207099421
1,1,0,3,48,4.069703157305813
1,1,0,4,18,3.9792425714240967
1,1,0,4,19,3.978917063498569
1,1,0,4,20,3.978557925978734
1,1,0,4,21,3.9781002393289473
1,1,0,4,22,3.9782551459458055
1,1,0,4,23,3.9787912817546225
1,1,0,4,24,3.979631755516275
1,1,0,4,25,3.9808344927746173
1,1,0,4,26,3.982410132712406
1,1,0,4,27,3.9843445390318184
1,1,0,4,28,3.986626542614591
1,1,0,4,29,3.9892656575837364
1,1,0,4,30,3.9922604092931273
1,1,0,4,31,3.995595788768922
1,1,0,4,32,3.999248475566345
1,1,0,4,33,4.0031910968649935
1,1,0,4,34,4.007394563376348
1,1,0,4,35,4.011829176659933
1,1,0,4,36,4.016465215436408
