kper,kstp,k,i,j,SPq
1,1,0,32,30,-56.45981228567905
1,1,0,33,30,-50.157779335377995
1,1,0,33,31,-3.019975791305569
1,1,0,33,32,-11.813471795576561
1,1,0,33,33,-3.551402194240268
1,1,0,34,30,-10.919407242753778
1,1,0,34,31,-14.806567207310422
1,1,0,34,33,-6.6441066648346805
1,1,0,35,33,-10.763147991473716
1,1,0,36,32,-14.416342167786866
1,1,0,36,33,-16.316188923383493
1,1,0,37,32,-22.45382209529612
2,1,0,32,30,-55.78879720577618
2,1,0,33,30,-49.613134785600096
2,1,0,33,31,-2.5001026406292794
2,1,0,33,32,-11.293146719523975
2,1,0,33,33,-3.0284733353726097
2,1,0,34,30,-10.398542234972638
2,1,0,34,31,-14.29327646069521
2,1,0,34,33,-6.135110255616041
2,1,0,35,33,-10.257061868135565
2,1,0,36,32,-13.909739685621958
2,1,0,36,33,-15.810188895079364
2,1,0,37,32,-21.94234639582453
2,2,0,32,30,-55.55930776942057
2,2,0,33,30,-49.46779035359566
2,2,0,33,31,-2.3882915167988585
2,2,0,33,32,-11.18501073717573
2,2,0,33,33,-2.9185502618472583
2,2,0,34,30,-10.283076612737318
2,2,0,34,31,-14.19020644249872
2,2,0,34,33,-6.036285376990691
2,2,0,35,33,-10.161026230503467
2,2,0,36,32,-13.812161519657707
2,2,0,36,33,-15.71399060527915
2,2,0,37,32,-21.836414217334436
2,3,0,32,30,-55.393972327543565
2,3,0,33,30,-49.36678533907002
2,3,0,33,31,-2.3223676114082537
2,3,0,33,32,-11.126332482650355
2,3,0,33,33,-2.8590489914274713
2,3,0,34,30,-10.212097516813856
2,3,0,34,31,-14.135442499084093
2,3,0,34,33,-5.986654130506167
2,3,0,35,33,-10.113944445882908
2,3,0,36,32,-13.762277666705245
2,3,0,36,33,-15.66628133527945
2,3,0,37,32,-21.775661802344644
2,4,0,32,30,-55.262129124208286
2,4,0,33,30,-49.2901134119935
2,4,0,33,31,-2.280081090560202
2,4,0,33,32,-11.094009931387973
2,4,0,33,33,-2.8269681531604647
2,4,0,34,30,-10.164028476839576
2,4,0,34,31,-14.106314519575108
2,4,0,34,33,-5.963970933051996
2,4,0,35,33,-10.093589699892505
2,4,0,36,32,-13.737772178905516
2,4,0,36,33,-15.644744237760847
2,4,0,37,32,-21.7384234599524
2,5,0,32,30,-55.08699796981659
2,5,0,33,30,-49.183284831745596
2,5,0,33,31,-2.210158448309585
2,5,0,33,32,-11.0365485492905
2,5,0,33,33,-2.7709400680440694
2,5,0,34,30,-10.087742006213148
2,5,0,34,31,-14.051399696286808
2,5,0,34,33,-5.916989654762233
2,5,0,35,33,-10.048688592229269
2,5,0,36,32,-13.687325712254847
2,5,0,36,33,-15.598078891232149
2,5,0,37,32,-21.67356943044456
