time,flux
1.0,-14.416342167786866
2.0,-13.909739685621958
3.0,-13.812161519657707
4.0,-13.762277666705245
5.0,-13.737772178905516
6.0,-13.687325712254847
7.0,-13.737828441341549
8.0,-13.670942668180032
9.0,-13.599705871619449
10.0,-13.518949981627543
11.0,-13.573200022148967
12.0,-13.533931521331283
13.0,-13.616189225123662
14.0,-13.667601603157209
15.0,-13.662281248130512
16.0,-13.725018331833894
17.0,-13.75893043500787
18.0,-13.70134547298801
19.0,-13.614000525563029
20.0,-13.521425316878549
21.0,-13.37052063483759
22.0,-13.396057052142282
23.0,-13.436734040822444
24.0,-13.629866056264518
25.0,-13.936024935503951
26.0,-14.393427794499985
27.0,-14.867376157409126
28.0,-15.544421337317317
29.0,-16.218274276756347
30.0,-16.656443528273826
31.0,-17.065046098419657
32.0,-17.627089720753816
33.0,-18.08308959718636
34.0,-18.322022667684678
35.0,-18.82519128764534
36.0,-19.380426244993373
37.0,-19.668477597435185
38.0,-19.877238721360982
39.0,-20.300787996756753
40.0,-20.368881409706773
41.0,-20.441693715485485
42.0,-20.43290144286425
43.0,-20.457671993063627
44.0,-20.286677833736576
45.0,-20.38379106884838
46.0,-20.32055671764192
47.0,-19.988702469633267
48.0,-19.640693979693083
49.0,-19.517127730469383
50.0,-19.35319548398104
51.0,-19.240477423742732
52.0,-19.184897586371335
53.0,-19.211531602177615
54.0,-71.31444832302623
55.0,-73.58101672342946
56.0,-73.73654545533748
57.0,-73.87972616407137
58.0,-74.0238942691459
59.0,-74.47348414996395
60.0,-74.92459952873355
61.0,-75.28223719299035
62.0,-75.59646609874085
63.0,-75.72947847497255
64.0,-75.67261921615761
65.0,-75.78889356048273
66.0,-76.24279727311261
67.0,-76.48374604811715
68.0,-76.56356264554813
69.0,-76.70354452820106
70.0,-77.29768526986265
71.0,-77.80231119602433
72.0,-78.19181049487463
73.0,-78.6202951989485
74.0,-78.97582179954497
75.0,-79.32528383336455
76.0,-79.41896284159839
77.0,-79.50193056744729
78.0,-79.53777526745341
79.0,-79.52382249939251
80.0,-79.46203581344173
81.0,-79.41127789471057
82.0,-79.31683169826874
83.0,-79.27722513372623
84.0,-79.34482830619697
85.0,-79.49905019619496
86.0,-79.38816138942718
87.0,-79.33786278161358
88.0,-79.4479144724329
89.0,-79.56236578901792
90.0,-79.64672405873557
91.0,-79.68603170801919
92.0,-79.63077146456897
93.0,-79.54834298808942
94.0,-79.3430567277095
95.0,-79.11427615767639
96.0,-78.95402336507709
97.0,-78.8344496690246
98.0,-78.6971320002965
99.0,-78.61319670091791
100.0,-78.58129503275836
101.0,-78.33566047998727
102.0,-78.00041835609215
103.0,-77.73712241763678
104.0,-77.36610553427977
105.0,-76.98632925115919
106.0,-76.68956853416864
