kper,kstp,time,k,i,j,CONFq
1,1,1.0,0,1,27,4.902060289437275
1,1,1.0,0,1,28,4.898344966153774
1,1,1.0,0,1,29,4.893733117640471
1,1,1.0,0,1,30,4.889060371040447
1,1,1.0,0,1,31,4.884583464413556
1,1,1.0,0,1,32,4.880357071748099
1,1,1.0,0,1,33,4.876365590601276
1,1,1.0,0,1,34,4.872562928924005
1,1,1.0,0,1,35,4.868887662272595
1,1,1.0,0,1,36,4.865269502524081
1,1,1.0,0,1,37,4.861633195536793
1,1,1.0,0,1,38,4.857903771312097
1,1,1.0,0,1,39,4.854019649782156
1,1,1.0,0,1,40,4.849971355491601
1,1,1.0,0,1,41,4.845921153842795
1,1,1.0,0,1,42,4.842590518171507
1,1,1.0,0,2,24,4.933941429588051
1,1,1.0,0,2,25,4.928126401706489
1,1,1.0,0,2,26,4.9199474069722395
1,1,1.0,0,2,27,4.909726986240486
1,1,1.0,0,2,28,4.903190388021098
1,1,1.0,0,2,29,4.897739837799039
1,1,1.0,0,2,30,4.892815516504287
1,1,1.0,0,2,31,4.888278636914883
1,1,1.0,0,2,32,4.884064728548729
1,1,1.0,0,2,33,4.880116891920803
1,1,1.0,0,2,34,4.876373257408254
1,1,1.0,0,2,35,4.872765671733097
1,1,1.0,0,2,36,4.869219945545833
1,1,1.0,0,2,37,4.865655711466223
1,1,1.0,0,2,38,4.861985010853781
1,1,1.0,0,2,39,4.8581075537555325
1,1,1.0,0,2,40,4.85389416138295
1,1,1.0,0,2,41,4.849119645880972
1,1,1.0,0,2,42,4.843171609505756
1,1,1.0,0,2,43,4.833751980361825
1,1,1.0,0,2,44,4.819701308101372
1,1,1.0,0,2,45,4.799636673765651
1,1,1.0,0,2,46,4.771786287315344
1,1,1.0,0,2,47,4.7934556866714555
1,1,1.0,0,3,21,4.974888963959435
1,1,1.0,0,3,22,4.96766015562395
1,1,1.0,0,3,23,4.957187429557896
1,1,1.0,0,3,24,4.94372908508276
1,1,1.0,0,3,25,4.9344591194870695
1,1,1.0,0,3,26,4.925952131234473
1,1,1.0,0,3,27,4.91769089088748
1,1,1.0,0,3,28,4.910921708005702
1,1,1.0,0,3,29,4.905189729286128
1,1,1.0,0,3,30,4.900148848476025
1,1,1.0,0,3,31,4.895611270701121
1,1,1.0,0,3,32,4.8914628946292655
1,1,1.0,0,3,33,4.887617679918701
1,1,1.0,0,3,34,4.88399859789191
1,1,1.0,0,3,35,4.880529974492816
1,1,1.0,0,3,36,4.877133766508919
1,1,1.0,0,3,37,4.873726079698779
1,1,1.0,0,3,38,4.870210872301813
1,1,1.0,0,3,39,4.866465725385355
1,1,1.0,0,3,40,4.862307738060322
1,1,1.0,0,3,41,4.857413234420948
1,1,1.0,0,3,42,4.851143748409312
1,1,1.0,0,3,43,4.842293198337691
1,1,1.0,0,3,44,4.829614962049387
1,1,1.0,0,3,45,4.811308232305427
1,1,1.0,0,3,46,4.784186111154211
1,1,1.0,0,3,47,4.819004056478775
1,1,1.0,0,3,48,4.849743775991426
1,1,1.0,0,4,18,5.021619200738886
1,1,1.0,0,4,19,5.013675674520503
1,1,1.0,0,4,20,5.001781711120355
1,1,1.0,0,4,21,4.986117698264318
1,1,1.0,0,4,22,4.974899180118353
1,1,1.0,0,4,23,4.964161172913439
1,1,1.0,0,4,24,4.953331908450361
1,1,1.0,0,4,25,4.944019221548935
1,1,1.0,0,4,26,4.935697605137225
1,1,1.0,0,4,27,4.928145422656122
1,1,1.0,0,4,28,4.9215929066490105
1,1,1.0,0,4,29,4.915920801084962
1,1,1.0,0,4,30,4.910946201070212
1,1,1.0,0,4,31,4.906517428820816
1,1,1.0,0,4,32,4.902516952972288
1,1,1.0,0,4,33,4.898848519333798
1,1,1.0,0,4,34,4.8954270811435805
1,1,1.0,0,4,35,4.892172764848425
1,1,1.0,0,4,36,4.88900699774036
1,1,1.0,0,4,37,4.885848730019502
1,1,1.0,0,4,38,4.882608288845573
1,1,1.0,0,4,39,4.879175213874799
1,1,1.0,0,4,40,4.875393086139971
1,1,1.0,0,4,41,4.871013136684299
1,1,1.0,0,4,42,4.865622680714031
