kper,kstp,time,k,i,j,SPq
1,1,1.0,0,32,30,-99.84261179695079
1,1,1.0,0,33,30,-91.87906255044447
1,1,1.0,0,33,31,-35.72256180701811
1,1,1.0,0,33,32,-39.997652858474794
1,1,1.0,0,33,33,-26.66034337467397
1,1,1.0,0,34,30,-40.38434149145178
1,1,1.0,0,34,31,-42.446486552083115
1,1,1.0,0,34,33,-27.02523121165632
1,1,1.0,0,35,33,-28.100936396267116
1,1,1.0,0,36,32,-29.475017103663617
1,1,1.0,0,36,33,-29.67094325179835
1,1,1.0,0,37,32,-31.425540809556423
2,1,2.0,0,32,30,-99.71778277008002
2,1,2.0,0,33,30,-91.75870891381692
2,1,2.0,0,33,31,-35.60631345510217
2,1,2.0,0,33,32,-39.883023118478604
2,1,2.0,0,33,33,-26.5461816925025
2,1,2.0,0,34,30,-40.26482346299201
2,1,2.0,0,34,31,-42.33168801326542
2,1,2.0,0,34,33,-26.914923919015564
2,1,2.0,0,35,33,-27.991640473822827
2,1,2.0,0,36,32,-29.360746230174527
2,1,2.0,0,36,33,-29.56051194919928
2,1,2.0,0,37,32,-31.304958721188086
2,2,3.0,0,32,30,-99.58400590881138
2,2,3.0,0,33,30,-91.63165652769283
2,2,3.0,0,33,31,-35.48666746035508
2,2,3.0,0,33,32,-39.76745624228306
2,2,3.0,0,33,33,-26.432544676136104
2,2,3.0,0,34,30,-40.138829226086614
2,2,3.0,0,34,31,-42.21304589661372
2,2,3.0,0,34,33,-26.803555147003294
2,2,3.0,0,35,33,-27.88000369731094
2,2,3.0,0,36,32,-29.24075296088415
2,2,3.0,0,36,33,-29.44627288874176
2,2,3.0,0,37,32,-31.176770188211208
2,3,4.0,0,32,30,-99.4420013480011
2,3,4.0,0,33,30,-91.49758803955126
2,3,4.0,0,33,31,-35.361770117570586
2,3,4.0,0,33,32,-39.648094765786254
2,3,4.0,0,33,33,-26.316049244354986
2,3,4.0,0,34,30,-40.00660548653991
2,3,4.0,0,34,31,-42.089693729218766
2,3,4.0,0,34,33,-26.689394291394137
2,3,4.0,0,35,33,-27.765191715977153
2,3,4.0,0,36,32,-29.116845575002685
2,3,4.0,0,36,33,-29.328359915966757
2,3,4.0,0,37,32,-31.045153405379438
2,4,5.0,0,32,30,-99.41541325812443
2,4,5.0,0,33,30,-91.48272436394541
2,4,5.0,0,33,31,-35.35906388186538
2,4,5.0,0,33,32,-39.65377335965445
2,4,5.0,0,33,33,-26.326892206958973
2,4,5.0,0,34,30,-39.998229669323905
2,4,5.0,0,34,31,-42.09153664370433
2,4,5.0,0,34,33,-26.70327071587087
2,4,5.0,0,35,33,-27.77912790657865
2,4,5.0,0,36,32,-29.122651219234854
2,4,5.0,0,36,33,-29.340019125989784
2,4,5.0,0,37,32,-31.04579257359876
2,5,6.0,0,32,30,-99.35848234604873
2,5,6.0,0,33,30,-91.43951764061217
2,5,6.0,0,33,31,-35.32968073297741
2,5,6.0,0,33,32,-39.63466599857054
2,5,6.0,0,33,33,-26.314909431057572
2,5,6.0,0,34,30,-39.96459788875677
2,5,6.0,0,34,31,-42.06914468833827
2,5,6.0,0,34,33,-26.695321878379104
2,5,6.0,0,35,33,-27.772292256001947
2,5,6.0,0,36,32,-29.109039033536988
2,5,6.0,0,36,33,-29.33215584043387
2,5,6.0,0,37,32,-31.029345336492156
2,6,7.0,0,32,30,-99.39857161043813
2,6,7.0,0,33,30,-91.4925905751345
2,6,7.0,0,33,31,-35.396371851971935
2,6,7.0,0,33,32,-39.71283804026382
2,6,7.0,0,33,33,-26.402058969889254
2,6,7.0,0,34,30,-40.029050464871375
2,6,7.0,0,34,31,-42.14474388306007
2,6,7.0,0,34,33,-26.78742550902109
2,6,7.0,0,35,33,-27.866832013514795
2,6,7.0,0,36,32,-29.198284926630777
2,6,7.0,0,36,33,-29.427305933118646
2,6,7.0,0,37,32,-31.118585278817818
2,7,8.0,0,32,30,-99.31338992263272
2,7,8.0,0,33,30,-91.42188803763656
2,7,8.0,0,33,31,-35.33959265142073
2,7,8.0,0,33,32,-39.66776082666797
2,7,8.0,0,33,33,-26.366677435322686
2,7,8.0,0,34,30,-39.97040570395552
2,7,8.0,0,34,31,-42.09768949814054
2,7,8.0,0,34,33,-26.75796251411407
2,7,8.0,0,35,33,-27.840736173622304
2,7,8.0,0,36,32,-29.167776410683246
2,7,8.0,0,36,33,-29.402926490837103
2,7,8.0,0,37,32,-31.089320993774663
2,8,9.0,0,32,30,-99.22135735513211
2,8,9.0,0,33,30,-91.3433931897896
2,8,9.0,0,33,31,-35.27395552419739
2,8,9.0,0,33,32,-39.6130530404364
2,8,9.0,0,33,33,-26.321055511121585
2,8,9.0,0,34,30,-39.90321869309798
2,8,9.0,0,34,31,-42.04188285533803
2,8,9.0,0,34,33,-26.719229037825244
2,8,9.0,0,35,33,-27.806236529487933
2,8,9.0,0,36,32,-29.129975436676204
2,8,9.0,0,36,33,-29.3710365790339
2,8,9.0,0,37,32,-31.05368168970881
2,9,10.0,0,32,30,-99.12147398683499
2,9,10.0,0,33,30,-91.25505030764305
2,9,10.0,0,33,31,-35.196383190269785
2,9,10.0,0,33,32,-39.544630222266846
2,9,10.0,0,33,33,-26.25997459368807
2,9,10.0,0,34,30,-39.82437560837502
2,9,10.0,0,34,31,-41.973417051563274
2,9,10.0,0,34,33,-26.66560714364141
2,9,10.0,0,35,33,-27.75747847455216
2,9,10.0,0,36,32,-29.079358006924394
2,9,10.0,0,36,33,-29.325575571528702
2,9,10.0,0,37,32,-31.005822499026067
2,10,11.0,0,32,30,-99.15618021771502
2,10,11.0,0,33,30,-91.30181180492536
2,10,11.0,0,33,31,-35.253500832061945
2,10,11.0,0,33,32,-39.61067037715327
2,10,11.0,0,33,33,-26.332745577116953
2,10,11.0,0,34,30,-39.882105533818276
2,10,11.0,0,34,31,-42.04055810771365
2,10,11.0,0,34,33,-26.746167170412832
2,10,11.0,0,35,33,-27.84373853431498
2,10,11.0,0,36,32,-29.165617323340484
2,10,11.0,0,36,33,-29.416192503825414
2,10,11.0,0,37,32,-31.09646032837179
2,11,12.0,0,32,30,-99.08256263532724
2,11,12.0,0,33,30,-91.24598412054888
2,11,12.0,0,33,31,-35.21079665552065
2,11,12.0,0,33,32,-39.57786560531861
2,11,12.0,0,33,33,-26.306655336606582
2,11,12.0,0,34,30,-39.84099996983923
2,11,12.0,0,34,31,-42.00992059371799
2,11,12.0,0,34,33,-26.72868653798821
2,11,12.0,0,35,33,-27.832706771747326
2,11,12.0,0,36,32,-29.156040645305666
2,11,12.0,0,36,33,-29.410310113173864
2,11,12.0,0,37,32,-31.091872707458606
2,12,13.0,0,32,30,-99.13190122731021
2,12,13.0,0,33,30,-91.31082143340757
2,12,13.0,0,33,31,-35.28766153535139
2,12,13.0,0,33,32,-39.664702295659595
2,12,13.0,0,33,33,-26.40040043010265
2,12,13.0,0,34,30,-39.92118813900208
2,12,13.0,0,34,31,-42.09999221607791
2,12,13.0,0,34,33,-26.83171608543489
2,12,13.0,0,35,33,-27.943143620399383
2,12,13.0,0,36,32,-29.269430924763014
2,12,13.0,0,36,33,-29.526971710914154
2,12,13.0,0,37,32,-31.211793915928524
2,13,14.0,0,32,30,-99.15438567917965
2,13,14.0,0,33,30,-91.34671226745002
2,13,14.0,0,33,31,-35.333680175247196
2,13,14.0,0,33,32,-39.71974290655089
2,13,14.0,0,33,33,-26.46230602618334
2,13,14.0,0,34,30,-39.971189875157506
2,13,14.0,0,34,31,-42.15880733499125
2,13,14.0,0,34,33,-26.903039755576287
2,13,14.0,0,35,33,-28.022335848802186
2,13,14.0,0,36,32,-29.35226000241346
2,13,14.0,0,36,33,-29.613087365348406
2,13,14.0,0,37,32,-31.302002798556146
2,14,15.0,0,32,30,-99.1170265460753
2,14,15.0,0,33,30,-91.32392679161035
2,14,15.0,0,33,31,-35.32098126254482
2,14,15.0,0,33,32,-39.71574406801835
2,14,15.0,0,33,33,-26.465351883198082
2,14,15.0,0,34,30,-39.962382435883114
2,14,15.0,0,34,31,-42.15873338459164
2,14,15.0,0,34,33,-26.915685964790214
2,14,15.0,0,35,33,-28.04297618735427
2,14,15.0,0,36,32,-29.376358741539434
2,14,15.0,0,36,33,-29.640857764442444
2,14,15.0,0,37,32,-31.333538890198838
2,15,16.0,0,32,30,-99.13254698302455
2,15,16.0,0,33,30,-91.35999737357645
2,15,16.0,0,33,31,-35.3709288170096
2,15,16.0,0,33,32,-39.777113147289015
2,15,16.0,0,33,33,-26.5359920173795
2,15,16.0,0,34,30,-40.01720465075266
2,15,16.0,0,34,31,-42.224042965996546
2,15,16.0,0,34,33,-26.996713917414354
2,15,16.0,0,35,33,-28.13258727528114
2,15,16.0,0,36,32,-29.469014083150796
2,15,16.0,0,36,33,-29.738103612268105
2,15,16.0,0,37,32,-31.434417549235604
2,16,17.0,0,32,30,-99.11112696832333
2,16,17.0,0,33,30,-91.36020275269811
2,16,17.0,0,33,31,-35.386582963098135
2,16,17.0,0,33,32,-39.80599518343524
2,16,17.0,0,33,33,-26.57616513533253
2,16,17.0,0,34,30,-40.03792090622392
2,16,17.0,0,34,31,-42.256701685379426
2,16,17.0,0,34,33,-27.048228967763066
2,16,17.0,0,35,33,-28.193360172680855
2,16,17.0,0,36,32,-29.53220500098928
2,16,17.0,0,36,33,-29.807065302659225
2,16,17.0,0,37,32,-31.506421391957815
2,17,18.0,0,32,30,-98.99007256354446
2,17,18.0,0,33,30,-91.26157600556235
2,17,18.0,0,33,31,-35.304161961352406
2,17,18.0,0,33,32,-39.737420642913435
2,17,18.0,0,33,33,-26.519813166622384
2,17,18.0,0,34,30,-39.95964008263752
2,17,18.0,0,34,31,-42.191699630424296
2,17,18.0,0,34,33,-27.0042365880563
2,17,18.0,0,35,33,-28.15909076605351
2,17,18.0,0,36,32,-29.499484216471387
2,17,18.0,0,36,33,-29.7812169172812
2,17,18.0,0,37,32,-31.48233324918317
2,18,19.0,0,32,30,-98.82760743098481
2,18,19.0,0,33,30,-91.12371327708172
2,18,19.0,0,33,31,-35.18400889394502
2,18,19.0,0,33,32,-39.631987769495936
2,18,19.0,0,33,33,-26.427321947243513
2,18,19.0,0,34,30,-39.84280116440334
2,18,19.0,0,34,31,-42.08973171600974
2,18,19.0,0,34,33,-26.925225280252107
2,18,19.0,0,35,33,-28.090278205983964
2,18,19.0,0,36,32,-29.431399603903742
2,18,19.0,0,36,33,-29.720973531071877
2,18,19.0,0,37,32,-31.422660533889598
2,19,20.0,0,32,30,-98.6513562595602
2,19,20.0,0,33,30,-90.97258187591683
2,19,20.0,0,33,31,-35.051323553779184
2,19,20.0,0,33,32,-39.51461171937808
2,19,20.0,0,33,33,-26.32342487631024
2,19,20.0,0,34,30,-39.712781989164455
2,19,20.0,0,34,31,-41.97574531006069
2,19,20.0,0,34,33,-26.83578384259522
2,19,20.0,0,35,33,-28.011520154875825
2,19,20.0,0,36,32,-29.35271893408128
2,19,20.0,0,36,33,-29.650986424266648
2,19,20.0,0,37,32,-31.352358948178107
2,20,21.0,0,32,30,-98.40565346736878
2,20,21.0,0,33,30,-90.75356355617532
2,20,21.0,0,33,31,-34.85185171599255
2,20,21.0,0,33,32,-39.330857338767146
2,20,21.0,0,33,33,-26.153304440626925
2,20,21.0,0,34,30,-39.51502796533714
2,20,21.0,0,34,31,-41.79534398668784
2,20,21.0,0,34,33,-26.68106447699506
2,20,21.0,0,35,33,-27.8678645921849
2,20,21.0,0,36,32,-29.208560570595296
2,20,21.0,0,36,33,-29.51618474522138
2,20,21.0,0,37,32,-31.21622804074684
2,21,22.0,0,32,30,-98.34228714931976
2,21,22.0,0,33,30,-90.71235091991628
2,21,22.0,0,33,31,-34.82813350591755
2,21,22.0,0,33,32,-39.32271226277339
2,21,22.0,0,33,33,-26.159301716561686
2,21,22.0,0,34,30,-39.49365986244993
2,21,22.0,0,34,31,-41.790490456398175
2,21,22.0,0,34,33,-26.702704663242002
2,21,22.0,0,35,33,-27.901145031798137
2,21,22.0,0,36,32,-29.241298227904963
2,21,22.0,0,36,33,-29.558967582322566
2,21,22.0,0,37,32,-31.258255001601697
2,22,23.0,0,32,30,-98.29854741904103
2,22,23.0,0,33,30,-90.68908003542822
2,22,23.0,0,33,31,-34.82118735691961
2,22,23.0,0,33,32,-39.33107587597908
2,22,23.0,0,33,33,-26.182174639216555
2,22,23.0,0,34,30,-39.48939615612278
2,22,23.0,0,34,31,-41.801866315123334
2,22,23.0,0,34,33,-26.74100082551945
2,22,23.0,0,35,33,-27.951430601781112
2,22,23.0,0,36,32,-29.29107893435537
2,22,23.0,0,36,33,-29.619426561734258
2,22,23.0,0,37,32,-31.31840963923605
2,23,24.0,0,32,30,-98.41896549141234
2,23,24.0,0,33,30,-90.82659566729535
2,23,24.0,0,33,31,-34.97328450487191
2,23,24.0,0,33,32,-39.498588330404345
2,23,24.0,0,33,33,-26.365152025811085
2,23,24.0,0,34,30,-39.645475661648106
2,23,24.0,0,34,31,-41.972038646099236
2,23,24.0,0,34,33,-26.93883994636076
2,23,24.0,0,35,33,-28.161719796734815
2,23,24.0,0,36,32,-29.501177851268835
2,23,24.0,0,36,33,-29.84091134024561
2,23,24.0,0,37,32,-31.540902262017767
2,24,25.0,0,32,30,-98.66941190809246
2,24,25.0,0,33,30,-91.09026935723023
2,24,25.0,0,33,31,-35.249403382948
2,24,25.0,0,33,32,-39.7901580913383
2,24,25.0,0,33,33,-26.67339018983523
2,24,25.0,0,34,30,-39.92707750612021
2,24,25.0,0,34,31,-42.26573258865449
2,24,25.0,0,34,33,-27.261009124772272
2,24,25.0,0,35,33,-28.49676538346796
2,24,25.0,0,36,32,-29.836462838062516
2,24,25.0,0,36,33,-30.188380947402493
2,24,25.0,0,37,32,-31.89096946954703
2,25,26.0,0,32,30,-99.09441414065202
2,25,26.0,0,33,30,-91.52378411461541
2,25,26.0,0,33,31,-35.69274483470474
2,25,26.0,0,33,32,-40.249024924548735
2,25,26.0,0,33,33,-27.150438396443974
2,25,26.0,0,34,30,-40.37783042072442
2,25,26.0,0,34,31,-42.72605249329945
2,25,26.0,0,34,33,-27.750743566708707
2,25,26.0,0,35,33,-28.999828797873988
2,25,26.0,0,36,32,-30.340336637594305
2,25,26.0,0,36,33,-30.705341849204956
2,25,26.0,0,37,32,-32.41256324859535
2,26,27.0,0,32,30,-99.55701073800333
2,26,27.0,0,33,30,-91.99208864391119
2,26,27.0,0,33,31,-36.16904998355824
2,26,27.0,0,33,32,-40.740722495138584
