kper,kstp,time,k,i,j,AWq
1,1,1.0,0,2,46,87.07862873153431
1,1,1.0,0,3,46,115.21861111542103
1,1,1.0,0,4,46,121.93346379292996
1,1,1.0,0,5,45,11.49727156160725
1,1,1.0,0,6,45,6.137829764934509
1,1,1.0,0,7,44,3.518091462582788
1,1,1.0,0,8,43,8.897389308231368
1,1,1.0,0,8,54,38.397808816942074
1,1,1.0,0,9,43,8.645271207727092
1,1,1.0,0,9,52,41.715219162457174
1,1,1.0,0,9,53,40.08728751436115
1,1,1.0,0,10,42,11.739207520583363
1,1,1.0,0,10,50,49.17728763711375
1,1,1.0,0,10,51,46.911405191657536
1,1,1.0,0,11,42,15.835036755147257
1,1,1.0,0,11,48,55.43557667088203
1,1,1.0,0,11,49,35.025111678734106
1,1,1.0,0,12,9,-105.92444934717594
1,1,1.0,0,12,42,15.153113799647485
1,1,1.0,0,12,46,119.80276411001046
1,1,1.0,0,12,47,33.75268459809729
1,1,1.0,0,13,10,-111.10673241469647
1,1,1.0,0,13,42,19.59126514421291
1,1,1.0,0,13,44,79.32319685106359
1,1,1.0,0,13,45,60.85659277106731
1,1,1.0,0,13,52,-205.34043291653313
1,1,1.0,0,13,53,-208.16441791449245
1,1,1.0,0,13,54,-208.26854164820213
1,1,1.0,0,13,55,-209.04579345253467
1,1,1.0,0,14,10,-117.70359943199912
1,1,1.0,0,14,11,-123.38190645750865
1,1,1.0,0,14,41,17.059636928335408
1,1,1.0,0,14,42,26.916319505991737
1,1,1.0,0,14,43,96.92945163174454
1,1,1.0,0,14,50,-190.882835608792
1,1,1.0,0,14,51,-193.36322926229434
1,1,1.0,0,15,12,-126.57224083385768
1,1,1.0,0,15,13,-133.41021789270826
1,1,1.0,0,15,41,26.42531973849748
1,1,1.0,0,15,48,-180.70610100891076
1,1,1.0,0,15,49,-186.2785264365806
1,1,1.0,0,16,14,121.16076882631774
1,1,1.0,0,16,15,-125.70871519508557
1,1,1.0,0,16,16,-134.80545463094347
1,1,1.0,0,16,17,-128.75392214815906
1,1,1.0,0,16,41,16.86326560641885
1,1,1.0,0,16,46,-173.6903555218089
1,1,1.0,0,16,47,-173.62202637886526
1,1,1.0,0,17,18,-125.9300134300837
1,1,1.0,0,17,41,-11.524342151132828
1,1,1.0,0,17,42,-156.5051091884401
1,1,1.0,0,17,43,-161.25982821715252
1,1,1.0,0,17,44,-164.79455014316852
1,1,1.0,0,17,45,-166.3686932333959
1,1,1.0,0,18,19,-110.2137943636576
