,time,kper,kstp,sample,flux,package
0,1.0,1,1,spring,-29.475017103663617,GHB_SP
1,2.0,2,1,spring,-29.43689951793624,GHB_SP
2,3.0,2,2,spring,-29.395856903380718,GHB_SP
3,4.0,2,3,spring,-29.35189492008965,GHB_SP
4,5.0,2,4,spring,-29.437217424773394,GHB_SP
5,6.0,2,5,spring,-29.501822298104003,GHB_SP
6,7.0,2,6,spring,-29.667529403894378,GHB_SP
7,8.0,2,7,spring,-29.71152089329962,GHB_SP
8,9.0,2,8,spring,-29.74619592088004,GHB_SP
9,10.0,2,9,spring,-29.766043277710764,GHB_SP
10,11.0,2,10,spring,-29.92080834860792,GHB_SP
11,12.0,2,11,spring,-29.97784588968989,GHB_SP
12,13.0,2,12,spring,-30.156028986740694,GHB_SP
13,14.0,2,13,spring,-30.30190127485048,GHB_SP
14,15.0,2,14,spring,-30.38736485915092,GHB_SP
15,16.0,2,15,spring,-30.539776304582233,GHB_SP
16,17.0,2,16,spring,-30.66117507773481,GHB_SP
17,18.0,2,17,spring,-30.685172724604058,GHB_SP
18,19.0,2,18,spring,-30.672373881534554,GHB_SP
19,20.0,2,19,spring,-30.647598872725666,GHB_SP
20,21.0,2,20,spring,-30.556016024094333,GHB_SP
21,22.0,2,21,spring,-30.640045958925725,GHB_SP
22,23.0,2,22,spring,-30.739880705357677,GHB_SP
23,24.0,2,23,spring,-30.99883809260973,GHB_SP
24,25.0,2,24,spring,-31.381826326613805,GHB_SP
25,26.0,2,25,spring,-31.932286713133067,GHB_SP
26,27.0,2,26,spring,-32.51499701932664,GHB_SP
27,28.0,2,27,spring,-33.32287014577685,GHB_SP
28,29.0,2,28,spring,-34.148005845295415,GHB_SP
29,30.0,2,29,spring,-34.74644106219273,GHB_SP
30,31.0,2,30,spring,-35.32123061607649,GHB_SP
31,32.0,2,31,spring,-36.06117363455269,GHB_SP
32,33.0,2,32,spring,-36.70269477568149,GHB_SP
33,34.0,2,33,spring,-37.1254614596387,GHB_SP
34,35.0,2,34,spring,-37.8208230463473,GHB_SP
35,36.0,2,35,spring,-38.579289372869084,GHB_SP
36,37.0,2,36,spring,-39.07047849744913,GHB_SP
37,38.0,2,37,spring,-39.4783986267355,GHB_SP
38,39.0,2,38,spring,-40.10619129155816,GHB_SP
39,40.0,2,39,spring,-40.37067884738576,GHB_SP
40,41.0,2,40,spring,-40.63225412842564,GHB_SP
41,42.0,2,41,spring,-40.80282099841838,GHB_SP
42,43.0,2,42,spring,-41.00005693865171,GHB_SP
43,44.0,2,43,spring,-40.98814792720077,GHB_SP
44,45.0,2,44,spring,-41.24229822195002,GHB_SP
45,46.0,2,45,spring,-41.329061636633014,GHB_SP
46,47.0,2,46,spring,-41.12972003574794,GHB_SP
47,48.0,2,47,spring,-40.89704636875308,GHB_SP
48,49.0,2,48,spring,-40.88252558578358,GHB_SP
49,50.0,2,49,spring,-40.82162484220726,GHB_SP
50,51.0,2,50,spring,-40.8084437064191,GHB_SP
51,52.0,2,51,spring,-40.851552952318684,GHB_SP
52,53.0,2,52,spring,-40.97921057590122,GHB_SP
53,54.0,3,1,spring,-1.0726870289673798,GHB_SP
54,55.0,4,1,spring,-1.547642205426996,GHB_SP
55,56.0,4,2,spring,-1.9839872699110401,GHB_SP
56,57.0,4,3,spring,-2.4046720191079203,GHB_SP
57,58.0,4,4,spring,-3.130172363522206,GHB_SP
58,59.0,4,5,spring,-3.8601230315056227,GHB_SP
59,60.0,4,6,spring,-4.497512029129098,GHB_SP
60,61.0,4,7,spring,-5.091406589644976,GHB_SP
61,62.0,4,8,spring,-5.498372165051819,GHB_SP
62,63.0,4,9,spring,-5.7038098899262195,GHB_SP
63,64.0,4,10,spring,-6.077417681977636,GHB_SP
64,65.0,4,11,spring,-6.796286833050885,GHB_SP
65,66.0,4,12,spring,-7.303024918146093,GHB_SP
66,67.0,4,13,spring,-7.643124146409946,GHB_SP
67,68.0,4,14,spring,-8.039778641388807,GHB_SP
68,69.0,4,15,spring,-8.902722045004566,GHB_SP
69,70.0,4,16,spring,-9.685412481379672,GHB_SP
70,71.0,4,17,spring,-10.35694763338904,GHB_SP
71,72.0,4,18,spring,-11.071789182489624,GHB_SP
72,73.0,4,19,spring,-11.715183891754805,GHB_SP
73,74.0,4,20,spring,-12.35344286551458,GHB_SP
74,75.0,4,21,spring,-12.728153425760524,GHB_SP
75,76.0,4,22,spring,-13.083992520295624,GHB_SP
76,77.0,4,23,spring,-13.383746865345643,GHB_SP
77,78.0,4,24,spring,-13.62376819858946,GHB_SP
78,79.0,4,25,spring,-13.805091064296107,GHB_SP
79,80.0,4,26,spring,-13.987650228781376,GHB_SP
80,81.0,4,27,spring,-14.115974326380183,GHB_SP
81,82.0,4,28,spring,-14.290987230966948,GHB_SP
82,83.0,4,29,spring,-14.569241215816646,GHB_SP
83,84.0,4,30,spring,-14.933357729389513,GHB_SP
84,85.0,4,31,spring,-15.02258363298381,GHB_SP
85,86.0,4,32,spring,-15.164327087270863,GHB_SP
