time,spring,awanui,poukawa,pk4,kper,kstp,pk4-spr-diff,pk4-conf-diff
1.0,7.629790120224778,7.673424800826576,7.724905160562547,7.629790120224778,1,1,-0.03979012022477857,6.370209879775222
2.0,7.6296570049461145,7.673040835629671,7.724671721071314,7.6296570049461145,2,1,-0.03965700494611468,6.321369315053886
3.0,7.629531361645371,7.672548345787729,7.724404930267602,7.629531361645371,2,2,-0.039531361645370744,6.272521268354629
4.0,7.629403697177837,7.671973802790677,7.724061302732289,7.629403697177837,2,3,-0.039403697177837316,6.223675252822163
5.0,7.628853797227591,7.6711367123570655,7.723687324828645,7.628853797227591,2,4,-0.04023468722759116,6.175251462772409
6.0,7.628155379858919,7.6700949487005845,7.723262252767388,7.628155379858919,2,5,-0.04077311985891896,6.1269762001410815
7.0,7.627024841562492,7.6688589125250255,7.722783160068436,7.627024841562492,2,6,-0.04199546156249223,6.079133048437508
8.0,7.626033338079787,7.667508416950188,7.722262951023418,7.626033338079787,2,7,-0.0421746380797865,6.031150871920214
9.0,7.62507203388575,7.666133247891317,7.721538334182827,7.62507203388575,2,8,-0.04233555388574928,5.9831384961142495
10.0,7.624133676503497,7.664790244405386,7.720618860081585,7.624133676503497,2,9,-0.04241665650349713,5.935103163496503
11.0,7.622749000676625,7.663298391276169,7.719536773260457,7.622749000676625,2,10,-0.04351203067662457,5.887514159323374
12.0,7.621429300383187,7.661583441799216,7.718324808290909,7.621429300383187,2,11,-0.04375184038318647,5.839860169616814
13.0,7.619694083038378,7.659733612438347,7.7169694795616826,7.619694083038378,2,12,-0.044910183038378015,5.792621706961621
14.0,7.617825804061836,7.6578087387043565,7.715624677733584,7.617825804061836,2,13,-0.04570251406183523,5.745516305938164
15.0,7.616024346159881,7.6557994970016585,7.714303912436569,7.616024346159881,2,14,-0.04601489615988097,5.6983440738401185
16.0,7.6139903056798355,7.653502221838551,7.712989654109475,7.6139903056798355,2,15,-0.04685609567983562,5.651404434320164
17.0,7.611907838575238,7.651040044816347,7.711657425531124,7.611907838575238,2,16,-0.047408538575238524,5.604513211424761
18.0,7.6100589637053195,7.64852577385569,7.710320177462656,7.6100589637053195,2,17,-0.04724893370531991,5.55738840629468
19.0,7.6083911391836585,7.645958509427851,7.708986065971878,7.6083911391836585,2,18,-0.046929529183658225,5.510082540816341
20.0,7.606824897779292,7.643374087256312,7.70766358899708,7.606824897779292,2,19,-0.046624387779292675,5.462675102220707
21.0,7.60550402066939,7.640793190285967,7.7063549446042865,7.60550402066939,2,20,-0.04590661066938928,5.4150222993306105
22.0,7.603738283215537,7.638212843372287,7.705058580530732,7.603738283215537,2,21,-0.046596653215536854,5.367814346784463
23.0,7.601724076250211,7.635566728554802,7.703738280504727,7.601724076250211,2,22,-0.04727369625021183,5.320854873749789
24.0,7.59906623955101,7.632775523316688,7.70236821605482,7.59906623955101,2,23,-0.04902964955100941,5.27453902044899
25.0,7.595688705591165,7.629779036941151,7.700897501268243,7.595688705591165,2,24,-0.05145575559116544,5.228942874408835
26.0,7.591391401114437,7.626506251506159,7.699268648195757,7.591391401114437,2,25,-0.05482041111443703,5.184266488885562
27.0,7.586483745031356,7.62294350454793,7.697428594755132,7.586483745031356,2,26,-0.058048245031356416,5.140200464968644
28.0,7.580477769333289,7.619020425901825,7.695330348719298,7.580477769333289,2,27,-0.06264794933328854,5.097232760666712
29.0,7.573801925030471,7.6147229911789465,7.692940910513134,7.573801925030471,2,28,-0.06692281503047148,5.054934914969529
30.0,7.567381493109324,7.610183852642615,7.690280991714202,7.567381493109324,2,29,-0.0692336531093245,5.012381666890676
31.0,7.5610142246793,7.605455040020683,7.687400813247206,7.5610142246793,2,30,-0.0714198946793001,4.9697752453207
32.0,7.554078723302915,7.60059026858071,7.6843092661444246,7.554078723302915,2,31,-0.07482442330291494,4.927737066697086
33.0,7.547131334647123,7.595581937592558,7.681022961643654,7.547131334647123,2,32,-0.07729789464712233,4.885710775352877
34.0,7.540775161480385,7.59050799432278,7.677601977007848,7.540775161480385,2,33,-0.07815078148038435,4.843093258519616
35.0,7.533773436695463,7.585266092570245,7.674040100292586,7.533773436695463,2,34,-0.08121192669546318,4.801121303304536
36.0,7.526262900531907,7.579819293115875,7.670324714455145,7.526262900531907,2,35,-0.0845188705319071,4.759658149468094
37.0,7.519287047125009,7.574334765175727,7.66647058259685,7.519287047125009,2,36,-0.08567512712500935,4.71766032287499
38.0,7.512736799923526,7.568921333936389,7.662525738044224,7.512736799923526,2,37,-0.0864079599235259,4.679543900076474
39.0,7.505673758722822,7.563454729988146,7.658496855445475,7.505673758722822,2,38,-0.08892685872282247,4.641940281277178
40.0,7.499514736985334,7.558145967405292,7.654427175657217,7.499514736985334,2,39,-0.08863287698533373,4.603432633014667
41.0,7.493739676177297,7.55300477742351,7.650371139144482,7.493739676177297,2,40,-0.08865529617729706,4.564541023822702
42.0,7.488457144726863,7.548022922028473,7.646365212532585,7.488457144726863,2,41,-0.08819950472686244,4.525156895273137
43.0,7.4833511494937115,7.543158429708321,7.642428963081696,7.4833511494937115,2,42,-0.0881611194937113,4.485596220506289
44.0,7.479026827005108,7.538513158133174,7.638586430229805,7.479026827005108,2,43,-0.08670468700510803,4.4452538729948925
45.0,7.474263095481082,7.5339114524914015,7.634841361419383,7.474263095481082,2,44,-0.08751446548108266,4.405350944518918
