iteration,forecast,category,component,period,kper,mean,std,cv,p05,p50,p95,truth
0,ob176983,Budget-SW,Awanui Stream,kper1,1,-8694008.041186599,35332675.85457155,406.40261300873124,-45563720.499999985,-20782.659,44923.27899999994,-7496.009
0,ob176984,Budget-SW,Awanui Stream,kper2,2,-5497828.62211248,21916615.23014924,398.64129525609,-29301362.89999999,-22300.5295,15707.109374999993,-8899.835
0,ob176985,Budget-SW,Awanui Stream,kper3,3,-17294826.207060717,75160645.43630892,434.5845661381907,-71252527.5,-36431.695999999996,-1351.1535900000008,-7083.356
0,ob176986,Budget-SW,Awanui Stream,kper4,4,-14044265.247998,61014184.850709125,434.4419859159713,-59434025.5,-42612.587499999994,-1657.6170950000005,-9051.945
0,ob176987,Budget-GHB,Confined GHB,kper1,1,9206088.41620724,35440548.92550512,384.96859168886897,-4.187473634999995,44905.793,46546982.99999973,0.0
0,ob176988,Budget-GHB,Confined GHB,kper2,2,5723005.168874376,21961534.897799563,383.7413081022788,-65385.321099999965,7264.6682,29893957.49999986,0.0
0,ob176989,Budget-GHB,Confined GHB,kper3,3,17300659.825760737,75162834.2915333,434.4506801966918,-0.18890000349999975,35437.751000000004,71253533.99999996,0.0
0,ob176990,Budget-GHB,Confined GHB,kper4,4,14016209.164747376,61000272.85827829,435.2123469425817,-3986.5379949999983,18529.0495,59351957.59999996,0.0
0,ob177003,Budget-SW,Poukawa Stream,kper1,1,-372878.1824821823,1936526.405823868,519.3455924218371,-1420497.6949999998,-1106.75145,13847.524249999975,-471.2558
0,ob177004,Budget-SW,Poukawa Stream,kper2,2,-234170.18521017535,1302955.809200512,556.4140490520033,-925634.5549999999,-500.05274,31654.02794999991,-311.58173
0,ob177005,Budget-SW,Poukawa Stream,kper3,3,-6783.268375501021,73428.2701584682,1082.4910071915695,-7826.310679999997,-27.929251,1406.1934249999917,-0.7203
0,ob177006,Budget-SW,Poukawa Stream,kper4,4,-5180.584657086411,62541.082790687804,1207.2205538643054,-5023.944799999999,-40.06855,1303.3604199999943,-2.8963
0,ob177007,Budget-Inflow,Recharge,kper1,1,1955.2188,0.0,0.0,1955.2188,1955.2188,1955.2188,1955.2188
0,ob177008,Budget-Inflow,Recharge,kper2,2,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
0,ob177009,Budget-Inflow,Recharge,kper3,3,1955.2188,0.0,0.0,1955.2188,1955.2188,1955.2188,1955.2188
0,ob177010,Budget-Inflow,Recharge,kper4,4,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
0,ob177011,Budget-GHB,Spring GHB,kper1,1,-141157.6830985639,1512496.067194275,1071.4939732597968,-245750.03049999996,-523.16423,9930.098899999972,-1641.0883
0,ob177012,Budget-GHB,Spring GHB,kper2,2,-70440.53917844198,514631.3097571157,730.589679975954,-408517.56399999995,-1234.3417,2442.6064549999764,-2091.711
0,ob177013,Budget-GHB,Spring GHB,kper3,3,-1004.5019036960001,1342.5150522833974,133.64982658008907,-4094.098035,-406.49730999999997,-16.536686100000164,-526.7386
0,ob177014,Budget-GHB,Spring GHB,kper4,4,-1004.2012886320001,1185.64995644077,118.06895389030552,-3732.44777,-469.63815999999997,-63.14814500000014,-695.5598
0,ob177015,Budget-Storage,Storage Change,kper1,1,0.0,0.0,,0.0,0.0,0.0,0.0
0,ob177016,Budget-Storage,Storage Change,kper2,2,77741.06295449998,155391.09385811706,199.88290351659305,26.233795,5278.615,526431.7249999997,5325.8574
0,ob177017,Budget-Storage,Storage Change,kper3,3,0.0,0.0,,0.0,0.0,0.0,0.0
0,ob177018,Budget-Storage,Storage Change,kper4,4,32547.9199637208,60887.98311912236,187.0718103860109,17.72275,3116.62425,208503.03799999997,3657.3098
0,ob177019,Budget-SW,Total SW,kper1,1,-9208043.984068401,35440546.79647621,384.88681046479394,-46548936.999999985,-46862.068,-1949.598605,-9608.353
0,ob177020,Budget-SW,Total SW,kper2,2,-5802439.3405251205,21998771.578746077,379.12971231087766,-30134668.39999999,-37637.922999999995,-1949.5440600000004,-11303.128
0,ob177021,Budget-SW,Total SW,kper3,3,-17302613.8317388,75162835.27616099,434.40162282468054,-71255491.7,-37388.937,-1947.800225,-7610.815
0,ob177022,Budget-SW,Total SW,kper4,4,-14050449.831527602,61016320.961615734,434.2659608285429,-59437009.8,-42804.371,-1890.2890250000003,-9750.401
1,ob176983,Budget-SW,Awanui Stream,kper1,1,-2348022.3910584296,8475544.075032212,360.96521512350864,-12599067.399999999,-24248.5325,20272.37319999998,-7496.009
1,ob176984,Budget-SW,Awanui Stream,kper2,2,-1518393.6085468181,5408504.085942915,356.19908141731014,-8719125.499999998,-27296.968500000003,1524.723437499987,-8899.835
1,ob176985,Budget-SW,Awanui Stream,kper3,3,-7537541.385915083,33970723.00869607,450.6870512469089,-38019809.699999996,-32271.252999999997,-1492.4413350000002,-7083.356
1,ob176986,Budget-SW,Awanui Stream,kper4,4,-6264107.746574794,28299326.328204304,451.76946938178605,-31914045.599999998,-36569.0585,-1616.26471,-9051.945
1,ob176987,Budget-GHB,Confined GHB,kper1,1,2619440.8733304334,8840483.5778345,337.4950611729003,0.6074049715000001,49375.426,14475669.49999998,0.0
1,ob176988,Budget-GHB,Confined GHB,kper2,2,1648475.1963083267,5657646.258517723,343.20481564949984,-40369.26985,10431.045,8875360.199999997,0.0
1,ob176989,Budget-GHB,Confined GHB,kper3,3,7542322.529410004,33974797.93598111,450.45538431301713,0.6892780499999999,34734.1635,38018309.59999998,0.0
1,ob176990,Budget-GHB,Confined GHB,kper4,4,6248452.009130649,28294583.244173605,452.8254870618786,-4055.107995,19037.915,31811097.09999998,0.0
1,ob177003,Budget-SW,Poukawa Stream,kper1,1,-254277.31323247706,1633739.2842084577,642.5029678974096,-733876.5524999998,-1153.68835,11563.358199999997,-471.2558
