forecast,category,subcategory,component,period,kper,is_constraint,constraint_type,truth,prior_mean,prior_std,prior_cv,prior_p05,prior_p95,post_mean,post_std,post_cv,post_p05,post_p95,mean_change,mean_change_pct,std_reduction_pct,cv_reduction_pct,truth_in_prior,truth_in_post
ob176983,Budget-SW,kper1,Awanui Stream,kper1,1,False,,-7496.009,-8694008.041186599,35332675.85457155,406.40261300873124,-45563720.499999985,44923.27899999994,-467759.4173251219,1433112.5213394838,306.37812265431774,-3442062.3999999994,10443.853899999951,8226248.623861477,-94.61974942846636,95.94394569141002,24.61216713492552,True,True
ob176984,Budget-SW,kper2,Awanui Stream,kper2,2,False,,-8899.835,-5497828.62211248,21916615.23014924,398.64129525609,-29301362.89999999,15707.109374999993,-329380.2972579024,958315.6644023866,290.9450481344463,-2224398.3199999994,3121.546079999988,5168448.324854578,-94.00890206120428,95.62744678254835,27.015828114962066,True,True
ob176985,Budget-SW,kper3-ss,Awanui Stream,kper3,3,False,,-7083.356,-17294826.207060717,75160645.43630892,434.5845661381907,-71252527.5,-1351.1535900000008,-1198451.633444878,7160660.808928446,597.4926821490119,-4865643.999999999,-1495.3888800000002,16096374.57361584,-93.07046154094569,90.47285881146885,-37.48594144942991,True,True
ob176986,Budget-SW,kper4-ss,Awanui Stream,kper4,4,False,,-9051.945,-14044265.247998,61014184.850709125,434.4419859159713,-59434025.5,-1657.6170950000005,-995442.9900156098,5450572.382390234,547.5524401758821,-4071966.3999999994,-1969.441400000002,13048822.25798239,-92.91210346402772,91.06671277224008,-26.035801770270968,True,True
ob176987,Budget-GHB,kper1,Confined GHB,kper1,1,True,greater_than,0.0,9206088.41620724,35440548.92550512,384.96859168886897,-4.187473634999995,46546982.99999973,493787.9011858093,1447223.6607209821,293.0860916692248,1.10726,3566021.039999988,-8712300.515021432,-94.63628982406361,95.91647504172974,23.867531534599443,True,False
ob176988,Budget-GHB,kper2,Confined GHB,kper2,2,True,greater_than,0.0,5723005.168874376,21961534.897799563,383.7413081022788,-65385.321099999965,29893957.49999986,319875.3470893073,951895.4669769034,297.5832541140283,0.43437999999999993,2244666.6599999946,-5403129.821785069,-94.41071014876924,95.66562414054093,22.452118697965858,True,False
ob176989,Budget-GHB,kper3-ss,Confined GHB,kper3,3,True,greater_than,0.0,17300659.825760737,75162834.2915333,434.4506801966918,-0.18890000349999975,71253533.99999996,1197780.681674374,7160695.932477041,597.8303075039686,0.8230999999999999,4864185.199999986,-16102879.144086363,-93.07667630172767,90.47308952626383,-37.60602405624243,True,False
ob176990,Budget-GHB,kper4-ss,Confined GHB,kper4,4,True,greater_than,0.0,14016209.164747376,61000272.85827829,435.2123469425817,-3986.5379949999983,59351957.59999996,981307.866336202,5451108.488134384,555.4942210426348,0.69716,4052433.359999992,-13034901.298411174,-92.99876411088155,91.06379654924017,-27.637514180157684,True,False
ob177003,Budget-SW,kper1,Poukawa Stream,kper1,1,False,,-471.2558,-372878.1824821823,1936526.405823868,519.3455924218371,-1420497.6949999998,13847.524249999975,-21968.700938900452,170345.5159939804,775.4009509608551,-36127.13,11082.780999999964,350909.4815432818,-94.10834369748886,91.20355315157661,-49.303462333235274,True,True
ob177004,Budget-SW,kper2,Poukawa Stream,kper2,2,False,,-311.58173,-234170.18521017535,1302955.809200512,556.4140490520033,-925634.5549999999,31654.02794999991,-11129.541098990176,113024.70661856048,1015.537887980086,-22937.098599999998,13362.423199999992,223040.64411118516,-95.24724247495425,91.3255149698506,-82.51478188056541,True,True
ob177005,Budget-SW,kper3-ss,Poukawa Stream,kper3,3,False,,-0.7203,-6783.268375501021,73428.2701584682,1082.4910071915695,-7826.310679999997,1406.1934249999917,-610.8715419587401,7561.645801189381,1237.8454849841598,-364.82357999999994,693.0239799999955,6172.3968335422815,-90.9944364848513,89.70199654047369,-14.351572138751001,True,True
ob177006,Budget-SW,kper4-ss,Poukawa Stream,kper4,4,False,,-2.8963,-5180.584657086411,62541.082790687804,1207.2205538643054,-5023.944799999999,1303.3604199999943,-705.7181579554617,6110.737255086968,865.8891919106068,-1043.24048,87.68347999999962,4474.86649913095,-86.37763486810076,90.22924295132793,28.2741509710963,True,True
ob177007,Budget-Inflow,kper1,Recharge,kper1,1,False,,1955.2188,1955.2188,0.0,0.0,1955.2188,1955.2188,1955.2187999999999,2.2737367544323206e-13,1.1629065526744733e-14,1955.2188,1955.2188,-2.2737367544323206e-13,-1.1629065526744733e-14,,,True,True
ob177008,Budget-Inflow,kper2,Recharge,kper2,2,False,,1691.0,1691.0,0.0,0.0,1691.0,1691.0,1691.0,0.0,0.0,1691.0,1691.0,0.0,0.0,,,True,True
ob177009,Budget-Inflow,kper3-ss,Recharge,kper3,3,False,,1955.2188,1955.2188,0.0,0.0,1955.2188,1955.2188,1955.2187999999999,2.2737367544323206e-13,1.1629065526744733e-14,1955.2188,1955.2188,-2.2737367544323206e-13,-1.1629065526744733e-14,,,True,True
ob177010,Budget-Inflow,kper4-ss,Recharge,kper4,4,False,,1691.0,1691.0,0.0,0.0,1691.0,1691.0,1691.0,0.0,0.0,1691.0,1691.0,0.0,0.0,,,True,True
ob177011,Budget-GHB,kper1,Spring GHB,kper1,1,False,,-1641.0883,-141157.6830985639,1512496.067194275,1071.4939732597968,-245750.03049999996,9930.098899999972,-6016.974531229439,20589.037648908827,342.1825627156494,-42320.600399999996,5770.309919999998,135140.70856733446,-95.7374091164219,98.6387377729119,68.06491018566999,True,True
ob177012,Budget-GHB,kper2,Spring GHB,kper2,2,False,,-2091.711,-70440.53917844198,514631.3097571157,730.589679975954,-408517.56399999995,2442.6064549999764,-7156.039209852469,17039.16724697904,238.10891398581816,-39976.85719999999,468.72649599999966,63284.49996858951,-89.84102152920127,96.68905351774637,67.408667202409,True,True
ob177013,Budget-GHB,kper3-ss,Spring GHB,kper3,3,False,,-526.7386,-1004.5019036960001,1342.5150522833974,133.64982658008907,-4094.098035,-16.536686100000164,-671.5367969795121,771.3659931732285,114.86578198584732,-2027.3716,-43.22025760000028,332.965106716488,-33.14728478775046,42.54321455381363,14.054671880165511,True,True
ob177014,Budget-GHB,kper4-ss,Spring GHB,kper4,4,False,,-695.5598,-1004.2012886320001,1185.64995644077,118.06895389030552,-3732.44777,-63.14814500000014,-676.1077704878049,721.5311955913386,106.71837051521551,-2055.93214,-109.61822480000015,328.0935181441952,-32.6720869469456,39.14466983515778,9.613520744526552,True,True
ob177015,Budget-Storage,kper1,Storage Change,kper1,1,False,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,True,True
ob177016,Budget-Storage,kper2,Storage Change,kper2,2,False,,5325.8574,77741.06295449998,155391.09385811706,199.88290351659305,26.233795,526431.7249999997,26096.351518829273,59114.54332364702,226.5241686409465,55.90344,126806.60079999988,-51644.71143567071,-66.431702208519,61.95757307840131,-13.328436127175758,True,True
ob177017,Budget-Storage,kper3-ss,Storage Change,kper3,3,False,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,True,True
ob177018,Budget-Storage,kper4-ss,Storage Change,kper4,4,False,,3657.3098,32547.9199637208,60887.98311912236,187.0718103860109,17.72275,208503.03799999997,13823.086996510245,24529.78284919633,177.4551723170742,31.04724,54115.654399999985,-18724.832967210554,-57.53004489405773,59.71326098746641,5.140613141602351,True,True
ob177019,Budget-SW,kper1,Total SW,kper1,1,False,,-9608.353,-9208043.984068401,35440546.79647621,384.88681046479394,-46548936.999999985,-1949.598605,-495745.09557024384,1447223.784106249,291.92901695609146,-3567977.2599999993,-1958.42384,8712298.888498157,-94.61617368001312,95.91647444827194,24.151982084406978,True,True
ob177020,Budget-SW,kper2,Total SW,kper2,2,False,,-11303.128,-5802439.3405251205,21998771.578746077,379.12971231087766,-30134668.39999999,-1949.5440600000004,-347665.88041414635,968062.8315953104,278.44631473244806,-2248458.76,-2197.8108800000014,5454773.4601109745,-94.00828065558575,95.59946868792167,26.55645134345776,True,True
ob177021,Budget-SW,kper3-ss,Total SW,kper3,3,False,,-7610.815,-17302613.8317388,75162835.27616099,434.40162282468054,-71255491.7,-1947.800225,-1199734.041193171,7160696.037780301,596.8569526174965,-4866138.399999999,-1954.82422,16102879.79054563,-93.06616877160805,90.47308951096551,-37.397496062849896,True,True
ob177022,Budget-SW,kper4-ss,Total SW,kper4,4,False,,-9750.401,-14050449.831527602,61016320.961615734,434.2659608285429,-59437009.8,-1890.2890250000003,-996824.8041126829,5450592.707885418,546.795453463583,-4072506.8999999994,-2199.781300000001,13053625.02741492,-92.90538868103766,91.06699220473439,-25.91257496220595,True,True
