Iteration,Group,Pname,Category,Subcategory,Mean,Std,CV,N_Params,Is_Reinflation
0,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,12.481628032926466,26.778114318113445,214.54023663798444,191,False
1,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,11.369440384661461,24.73533376116077,217.5598175837332,191,False
2,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,10.304561224091694,22.842725825342633,221.67587079726562,191,False
3,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,9.276575294352481,21.30011723336651,229.61186167845673,191,False
4,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,10.966532544947732,23.670641111747667,215.8443520295091,191,True
5,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,10.016279188002333,22.365768981933822,223.29418501756538,191,False
6,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,8.82814726299116,20.672724944556293,234.16832919427245,191,False
7,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,7.176337375016735,18.01516465096384,251.03564268983143,191,False
7,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,7.176337375016735,18.01516465096384,251.03564268983143,191,False
8,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,6.961923725371123,17.686191157565823,254.041725466089,191,False
9,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,6.764989042044461,17.255826277228053,255.07545052893587,191,False
10,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,8.843512062002581,20.741248006552205,234.5363229125898,191,True
11,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,8.209869482653666,20.256041614973547,246.72793712216497,191,False
12,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,7.412803919923825,18.987401519373577,256.1433126315406,191,False
13,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,7.502775711746862,19.001871242918746,253.26455132022815,191,False
14,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,7.620827630047753,19.04160977450512,249.86275374379255,191,False
15,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,7.71731637919054,19.2736491637664,249.74548426882026,191,False
16,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,7.806879386565883,19.43271400617851,248.91782034724943,191,False
0,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,11.73469665813738,25.62141257482437,218.33894237953987,74,False
1,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,11.042892742458829,24.197077572288464,219.11901289462946,74,False
2,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,12.228599474067936,25.24758474073167,206.4634203963577,74,False
3,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,12.988801738474423,25.346657185003174,195.14238261042408,74,False
4,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,16.176216305665694,29.984605086107702,185.3622906588214,74,True
5,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,15.445337467378907,28.375147260910335,183.7133524653614,74,False
6,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,15.563324795592589,27.8710553031244,179.08162728196268,74,False
7,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,13.554706757359503,25.16693736843542,185.66936060620475,74,False
7,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,13.554706757359503,25.16693736843542,185.66936060620475,74,False
8,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,14.183612437320344,25.666361377406073,180.9578588729059,74,False
9,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,13.894924748094924,24.800242763059735,178.48418190577098,74,False
10,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,19.334053191342075,32.537190766274826,168.28954820940086,74,True
11,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,18.585016870946685,30.741516697854905,165.41021679626266,74,False
12,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,16.873396586816884,28.450815184206487,168.61344447054006,74,False
13,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,16.277144902768477,27.195602476696447,167.07845656685726,74,False
14,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,16.425878553320786,27.460251586102835,167.17676011643988,74,False
15,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,16.253574617923338,27.25292155228309,167.67340226949474,74,False
16,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,17.278706638423394,28.389716492158296,164.30463857188752,74,False
0,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,11.456083702061063,25.526988796500262,222.82474063896464,1,False
1,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,9.897904229703231,22.02563959222431,222.528315904757,1,False
2,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,9.161422070637956,20.635359606500806,225.24188327308298,1,False
3,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,6.6422122636842795,15.52252049104523,233.6950382617741,1,False
4,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,12.38797239495279,26.505267731714103,213.9596932143076,1,True
5,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,10.358966156727357,22.432100677766858,216.54767800548248,1,False
6,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,7.2979825566946435,17.63005790834686,241.57440458903693,1,False
7,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,6.2310034253319975,15.602100604275927,250.39467224245064,1,False
7,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,6.2310034253319975,15.602100604275927,250.39467224245064,1,False
8,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,6.314582313578173,15.238738697049776,241.3261549268602,1,False
9,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,6.454961458987987,16.032301264200388,248.37175815940412,1,False
10,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,14.132998922523399,28.08834912425192,198.743021762269,1,True
11,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,11.313838561218317,24.422350802149413,215.86264175506778,1,False
12,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,9.238851832054557,20.00720805495665,216.5551349740328,1,False
13,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,9.211837100906042,20.019781426264373,217.32669832269727,1,False
14,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,9.326185595642727,19.946545674914265,213.87678242467598,1,False
15,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,9.541983062505585,20.25337693787802,212.25542746415,1,False
16,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,8.761309714721186,18.211014094525385,207.85721184957472,1,False
0,pg3,stosslayer1-gr,Storage,S-grid,184.06263830393175,2615.963970896388,1421.2357244259433,191,False
1,pg3,stosslayer1-gr,Storage,S-grid,173.1645722187461,2469.421166412589,1426.0544953116337,191,False
2,pg3,stosslayer1-gr,Storage,S-grid,144.87803738698582,2112.2836403826896,1457.9736711510925,191,False
3,pg3,stosslayer1-gr,Storage,S-grid,129.43090403029535,2070.2881375938,1599.531543957397,191,False
4,pg3,stosslayer1-gr,Storage,S-grid,149.66117466194427,2182.640251964157,1458.3877594802527,191,True
5,pg3,stosslayer1-gr,Storage,S-grid,173.95668163022162,2734.508781079146,1571.9481168834147,191,False
6,pg3,stosslayer1-gr,Storage,S-grid,344.4615269594316,4946.533592546829,1436.0191793289584,191,False
7,pg3,stosslayer1-gr,Storage,S-grid,134.59231179844892,2343.5711412263986,1741.2370067139352,191,False
7,pg3,stosslayer1-gr,Storage,S-grid,134.59231179844892,2343.5711412263986,1741.2370067139352,191,False
