kper,kstp,time,k,i,j,PWq
1,1,1.0,0,22,40,-8.582220362925568
1,1,1.0,0,23,40,-8.504040141499559
1,1,1.0,0,24,39,-8.485445347979521
1,1,1.0,0,25,39,-1.2144853134777804
1,1,1.0,0,26,38,-1.2828865482790661
1,1,1.0,0,27,38,-18.06300039100529
1,1,1.0,0,28,38,12.325416040841333
1,1,1.0,0,29,37,-11.48836262499492
1,1,1.0,0,30,37,-5.8245389067612905
1,1,1.0,0,31,37,2.6871911847495085
1,1,1.0,0,32,36,-4.393639833731527
1,1,1.0,0,33,36,-0.9157989963370028
1,1,1.0,0,34,37,-3.995129546891235
1,1,1.0,0,35,37,-1.652096128908056
1,1,1.0,0,36,37,-4.4307020817389
1,1,1.0,0,37,37,-4.2937030430247205
1,1,1.0,0,38,37,-7.517118820503924
1,1,1.0,0,39,38,-3.4816307586560242
1,1,1.0,0,40,38,-4.73340928969867
1,1,1.0,0,41,38,-5.639658060670854
1,1,1.0,0,42,38,-6.346833377503003
1,1,1.0,0,43,38,-6.418641176636584
1,1,1.0,0,44,38,-6.27528125155834
1,1,1.0,0,45,37,-3.39164634620397
1,1,1.0,0,45,38,-5.228398649856558
2,1,2.0,0,22,40,-8.690476629406703
2,1,2.0,0,23,40,-8.612333870757652
2,1,2.0,0,24,39,-8.593722917868831
2,1,2.0,0,25,39,-1.3274547795720082
2,1,2.0,0,26,38,-1.395864977107749
2,1,2.0,0,27,38,-18.167490068012057
2,1,2.0,0,28,38,12.368961384088266
2,1,2.0,0,29,37,-11.541779329772567
2,1,2.0,0,30,37,-5.915799593576139
2,1,2.0,0,31,37,2.5806832734858745
2,1,2.0,0,32,36,-4.507215061178385
2,1,2.0,0,33,36,-1.0295147756809229
2,1,2.0,0,34,37,-4.108496624473787
2,1,2.0,0,35,37,-1.765104619147678
2,1,2.0,0,36,37,-4.543708380464182
2,1,2.0,0,37,37,-4.406710336723904
2,1,2.0,0,38,37,-7.630144047186718
2,1,2.0,0,39,38,-3.5946022397863544
2,1,2.0,0,40,38,-4.846423314599065
2,1,2.0,0,41,38,-5.752654003841485
2,1,2.0,0,42,38,-6.459797678532709
2,1,2.0,0,43,38,-6.53161904695844
2,1,2.0,0,44,38,-6.388266288832142
2,1,2.0,0,45,37,-3.504634240793848
2,1,2.0,0,45,38,-5.3413176152361075
2,2,3.0,0,22,40,-8.768586425679587
2,2,3.0,0,23,40,-8.690441253578115
2,2,3.0,0,24,39,-8.671832169238769
2,2,3.0,0,25,39,-1.414471392282394
2,2,3.0,0,26,38,-1.4828806514856296
2,2,3.0,0,27,38,-18.245005448783218
2,2,3.0,0,28,38,12.38540362905826
2,2,3.0,0,29,37,-11.572413070122593
2,2,3.0,0,30,37,-5.978946757414747
2,2,3.0,0,31,37,2.5010934280364836
2,2,3.0,0,32,36,-4.595888266876727
2,2,3.0,0,33,36,-1.1184804847647456
2,2,3.0,0,34,37,-4.196510845824719
2,2,3.0,0,35,37,-1.852244495492755
2,2,3.0,0,36,37,-4.630840693347864
2,2,3.0,0,37,37,-4.493842876776171
2,2,3.0,0,38,37,-7.717349127011289
2,2,3.0,0,39,38,-3.681674172775274
2,2,3.0,0,40,38,-4.933491381783483
2,2,3.0,0,41,38,-5.839723794661495
2,2,3.0,0,42,38,-6.546870489114667
2,2,3.0,0,43,38,-6.618690574415837
2,2,3.0,0,44,38,-6.475336880124814
2,2,3.0,0,45,37,-3.5917598828250448
2,2,3.0,0,45,38,-5.428339449271448
2,3,4.0,0,22,40,-8.920364662228167
2,3,4.0,0,23,40,-8.842218349727318
2,3,4.0,0,24,39,-8.82361130287245
2,3,4.0,0,25,39,-1.5789517709749816
2,3,4.0,0,26,38,-1.6473602510900491
2,3,4.0,0,27,38,-18.39723144568177
2,3,4.0,0,28,38,12.35109529545673
2,3,4.0,0,29,37,-11.666481750428602
2,3,4.0,0,30,37,-6.112218844563813
2,3,4.0,0,31,37,2.3462925469681295
2,3,4.0,0,32,36,-4.763913473269895
2,3,4.0,0,33,36,-1.28696564060715
2,3,4.0,0,34,37,-4.363044369387239
2,3,4.0,0,35,37,-2.016985999951544
2,3,4.0,0,36,37,-4.795563981840587
2,3,4.0,0,37,37,-4.658566843950894
2,3,4.0,0,38,37,-7.8822244084852855
2,3,4.0,0,39,38,-3.846268951808838
2,3,4.0,0,40,38,-5.098082984709208
2,3,4.0,0,41,38,-6.004316947456118
2,3,4.0,0,42,38,-6.711466357689801
2,3,4.0,0,43,38,-6.7832852910938755
2,3,4.0,0,44,38,-6.639930350141867
2,3,4.0,0,45,37,-3.756467302819374
2,3,4.0,0,45,38,-5.592825038185765
2,4,5.0,0,22,40,-8.980583923890435
2,4,5.0,0,23,40,-8.902438337579838
2,4,5.0,0,24,39,-8.883833551296334
2,4,5.0,0,25,39,-1.6552925644334664
2,4,5.0,0,26,38,-1.723700476127192
2,4,5.0,0,27,38,-18.46209157092096
2,4,5.0,0,28,38,12.362688819381901
2,4,5.0,0,29,37,-11.683326365209496
2,4,5.0,0,30,37,-6.158960163116944
2,4,5.0,0,31,37,2.279245305045947
2,4,5.0,0,32,36,-4.845790996513983
2,4,5.0,0,33,36,-1.36945488498759
2,4,5.0,0,34,37,-4.442547840960287
2,4,5.0,0,35,37,-2.093746642146698
2,4,5.0,0,36,37,-4.872290878120566
2,4,5.0,0,37,37,-4.735295082239986
2,4,5.0,0,38,37,-7.959191847045531
2,4,5.0,0,39,38,-3.9227907311027366
2,4,5.0,0,40,38,-5.174602398065531
2,4,5.0,0,41,38,-6.0808377562727856
2,4,5.0,0,42,38,-6.787989608977341
2,4,5.0,0,43,38,-6.859807506447396
2,4,5.0,0,44,38,-6.716450791135458
2,4,5.0,0,45,37,-3.8331679760549378
2,4,5.0,0,45,38,-5.669171362716497
2,5,6.0,0,22,40,-9.030368327026167
2,5,6.0,0,23,40,-8.952225870622783
2,5,6.0,0,24,39,-8.933623606209494
2,5,6.0,0,25,39,-1.724278832867526
2,5,6.0,0,26,38,-1.7926864216115064
2,5,6.0,0,27,38,-18.52075443922672
2,5,6.0,0,28,38,12.362971788459959
2,5,6.0,0,29,37,-11.701636174430064
2,5,6.0,0,30,37,-6.200487757155429
2,5,6.0,0,31,37,2.218856267281808
2,5,6.0,0,32,36,-4.922336437127456
2,5,6.0,0,33,36,-1.4467456470292746
2,5,6.0,0,34,37,-4.51582133641989
2,5,6.0,0,35,37,-2.1633272807556523
2,5,6.0,0,36,37,-4.941817945152593
2,5,6.0,0,37,37,-4.804824351897992
2,5,6.0,0,38,37,-8.029054470040137
2,5,6.0,0,39,38,-3.9920299896770075
2,5,6.0,0,40,38,-5.243840236799997
2,5,6.0,0,41,38,-6.150076854078634
2,5,6.0,0,42,38,-6.857230903438335
2,5,6.0,0,43,38,-6.929047866625865
2,5,6.0,0,44,38,-6.785688622846806
2,5,6.0,0,45,37,-3.902657623028972
2,5,6.0,0,45,38,-5.738163817413351
2,6,7.0,0,22,40,-9.034580962676614
2,6,7.0,0,23,40,-8.956444462483546
2,6,7.0,0,24,39,-8.93784497857041
2,6,7.0,0,25,39,-1.7504723218723939
2,6,7.0,0,26,38,-1.818879851338238
2,6,7.0,0,27,38,-18.539061761023845
2,6,7.0,0,28,38,12.37485858033233
2,6,7.0,0,29,37,-11.692182671087721
2,6,7.0,0,30,37,-6.2044619516807415
2,6,7.0,0,31,37,2.1995592767974586
2,6,7.0,0,32,36,-4.957854902955432
2,6,7.0,0,33,36,-1.4831089297864537
2,6,7.0,0,34,37,-4.547288282094769
2,6,7.0,0,35,37,-2.1902865335812294
2,6,7.0,0,36,37,-4.968700890543914
2,6,7.0,0,37,37,-4.831710510797507
2,6,7.0,0,38,37,-8.056363408390325
2,6,7.0,0,39,38,-4.018545735426642
2,6,7.0,0,40,38,-5.270355639109084
2,6,7.0,0,41,38,-6.176593395968439
2,6,7.0,0,42,38,-6.883749420946742
2,6,7.0,0,43,38,-6.955565538016799
2,6,7.0,0,44,38,-6.812202807805193
2,6,7.0,0,45,37,-3.9294923563656994
2,6,7.0,0,45,38,-5.764364463385164
2,7,8.0,0,22,40,-8.997615823481738
2,7,8.0,0,23,40,-8.919488459123613
2,7,8.0,0,24,39,-8.90089197828172
2,7,8.0,0,25,39,-1.7379980335733762
2,7,8.0,0,26,38,-1.8064057633847597
2,7,8.0,0,27,38,-18.521952237395226
2,7,8.0,0,28,38,12.392451213753475
2,7,8.0,0,29,37,-11.661872490423093
2,7,8.0,0,30,37,-6.176974626252218
2,7,8.0,0,31,37,2.216564704245343
2,7,8.0,0,32,36,-4.956011377157552
2,7,8.0,0,33,36,-1.4821670527986726
2,7,8.0,0,34,37,-4.540825549017427
2,7,8.0,0,35,37,-2.178730246453256
2,7,8.0,0,36,37,-4.957044487955727
2,7,8.0,0,37,37,-4.8200584162001405
2,7,8.0,0,38,37,-8.045210034806814
2,7,8.0,0,39,38,-4.00645362666171
2,7,8.0,0,40,38,-5.258264371413702
2,7,8.0,0,41,38,-6.164503164116468
2,7,8.0,0,42,38,-6.871660965883734
2,7,8.0,0,43,38,-6.94347631239043
2,7,8.0,0,44,38,-6.800108976907836
2,7,8.0,0,45,37,-3.917778372738667
2,7,8.0,0,45,38,-5.7518985673185625
2,8,9.0,0,22,40,-9.230711803385248
2,8,9.0,0,23,40,-9.152596404737551
2,8,9.0,0,24,39,-9.134003322837202
2,8,9.0,0,25,39,-1.99782417227334
2,8,9.0,0,26,38,-2.0662324139476596
2,8,9.0,0,27,38,-18.771925982285666
2,8,9.0,0,28,38,12.283918677578868
2,8,9.0,0,29,37,-11.857021844380483
2,8,9.0,0,30,37,-6.406318853920084
2,8,9.0,0,31,37,1.9651624538352053
2,8,9.0,0,32,36,-5.229153271893779
2,8,9.0,0,33,36,-1.7563268111940715
2,8,9.0,0,34,37,-4.8081320881923375
2,8,9.0,0,35,37,-2.4397173334564286
2,8,9.0,0,36,37,-5.217902616003244
2,8,9.0,0,37,37,-5.0809221951402606
2,8,9.0,0,38,37,-8.306701657890471
2,8,9.0,0,39,38,-4.266761691970942
2,8,9.0,0,40,38,-5.518574671358579
2,8,9.0,0,41,38,-6.424814411344528
2,8,9.0,0,42,38,-7.1319738111160405
2,8,9.0,0,43,38,-7.203788450325305
2,8,9.0,0,44,38,-7.060415089357548
2,8,9.0,0,45,37,-4.178563478927799
2,8,9.0,0,45,38,-6.0117345796862764
2,9,10.0,0,22,40,-9.52715571419526
2,9,10.0,0,23,40,-9.44905442820425
2,9,10.0,0,24,39,-9.430465344195454
2,9,10.0,0,25,39,-2.322986073194329
2,9,10.0,0,26,38,-2.3913952502301754
2,9,10.0,0,27,38,-19.08164555501469
2,9,10.0,0,28,38,12.196599294915131
2,9,10.0,0,29,37,-12.075786074165649
2,9,10.0,0,30,37,-6.684479118647346
