Type,Group,Obs_Name,Weight,Initial_Phi,Final_Phi,Reduction_%,Final_Contribution_%
Head,13obg2,ts-heads:pk4,0.3,2982032405403108.0,96825542273.9726,99.99675303520851,0.026199631013297434
Head,1obg0,ts-heads:pk4-conf-diff,0.3,2982046066187357.5,96917129456.621,99.99674997879625,0.026224413217812707
Head,2obg1,ts-heads:pk4-spr-diff,0.3,2982075975956634.5,97825971164.38356,99.99671953458083,0.02647033301163631
ARR-H,less_16obg22,arr-h,0.3,2982058945359324.5,462913284597.76715,99.9844767225236,0.1252578293163371
ARR-H,19obg5,arr-spq:spq,0.05,497011216890653.7,151747413479.7,99.96946801031392,0.04106071752369748
ARR-H,18obg4,arr-awq:awq,0.05,497009547286253.0,241000029514.8345,99.95150997987248,0.06521122112196767
Budget,greater_5obg12,budget:confined,0.2,2008460782576080.0,3491029595973.587,99.82618383061003,0.944623547908545
Flux,less_6obg13,budget:inflow,0.2,1988039278033779.0,4738225701969.41,99.76166337585364,1.2820972868714873
ARR-H,greater_20obg6,arr-confq:confq,0.1,993922992934285.2,3629052490525.8184,99.63487588914589,0.9819706034863351
Recession,3obg10,recession:pk4,0.05,495950033803212.9,107641197470319.64,78.29595924313811,29.12619531292766
Recession,22obg8,recession:pk4-conf-diff,0.05,500161687317269.06,108555345663926.94,78.29594940664325,29.373550967246796
Recession,23obg9,recession:pk4-spr-diff,0.05,500196363306827.3,140366262958767.12,71.93776819351552,37.981138136354424
ARR-H,16obg22,arr-h,0.0,0.0,0.0,,0.0
Recession,21obg7,recession:fliptime,0.0,0.0,0.0,,0.0
Recession,10obg17,budget:recharge,0.0,0.0,0.0,,0.0
Flux,17obg3,ts-sprflux:flux,0.0,0.0,0.0,,0.0
Flux,6obg13,budget:inflow,0.0,0.0,0.0,,0.0
Budget,4obg11,budget:awanui,0.0,0.0,0.0,,0.0
Budget,7obg14,budget:inout,0.0,0.0,0.0,,0.0
Budget,8obg15,budget:percentdiscrepancy,0.0,0.0,0.0,,0.0
Budget,9obg16,budget:poukawa,0.0,0.0,0.0,,0.0
Budget,11obg18,budget:spring,0.0,0.0,0.0,,0.0
Budget,12obg19,budget:stoss,0.0,0.0,0.0,,0.0
Budget,14obg20,budget:sw,0.0,0.0,0.0,,0.0
Budget,15obg21,budget:total,0.0,0.0,0.0,,0.0
