obs_realization,phi_iter0,phi_final,reduction_%
0,336575879561632.0,419545429090000.0,-24.65106817411586
1,503480076211160.75,469737947239602.9,6.701780381356411
2,896206180010000.0,16389867617230.0,98.17119453281977
3,1055651269328406.2,471385816328028.6,55.34644536278357
4,4.539663323672724e+16,317416745384720.8,99.30079232147128
5,2791234696455071.0,1036618510190007.1,62.86165002511128
6,5916862042984400.0,647194074850000.0,89.06186978590492
7,226785097654799.47,511638257244955.06,-125.60488433139656
8,3984911809154000.0,497032632122950.0,87.52713595866327
9,2.917993333380216e+17,29878258594259.0,99.98976068305146
10,1.238254304239086e+17,335797486319800.9,99.72881379441183
11,483939673920000.0,463909453261400.0,4.138991229289292
12,1807602503501853.5,137868909310723.1,92.3728303626693
13,607538821832000.0,472493039221000.0,22.228337969214355
14,477588106477540.0,470045251614000.0,1.5793640505774875
15,511224089315750.7,472318830530338.9,7.610216262986485
16,483262811284382.8,426210889038346.0,11.805568505138668
17,31450723423978.37,47220346600906.97,-50.140732740365735
18,318499734388711.75,124810075256390.8,60.81313050513667
19,119230628579348.2,5487980967200.138,95.39717182355717
20,470160557381650.0,470869777151721.9,-0.15084629259875795
21,1011956655294552.0,428097003782691.2,57.69611262074419
22,523577162766068.9,423378961213258.7,19.137236815956797
23,1139414714672700.0,179660894953410.0,84.23217704319204
24,4.3495137125095656e+16,1378999043338226.0,96.82953282944688
25,1.1357670366772004e+16,504615025573931.6,95.55705519460898
27,635954228197989.4,471907800554156.9,25.795319909841137
28,8111501917413576.0,555681585742162.8,93.14946120459838
29,1517296038594082.5,471199482817801.5,68.94478922818436
30,1453958878249816.5,90802356283414.17,93.75481950406214
31,470898927177384.3,473634251657955.5,-0.5808729480372781
32,4.120159321442e+16,478761650996720.0,98.83800209252792
33,2962157749992595.5,25090264094456.0,99.1529733993904
34,767698824671312.4,469814118152456.0,38.80228768702293
35,3548763621073379.0,489033925168790.0,86.21959709390636
36,2675115775388119.5,448093709931539.9,83.24955824139879
37,469966416680795.0,469783230611188.3,0.0389785446586727
38,6396307320036267.0,652255634594304.8,89.80262201362447
39,585258559884695.2,422813900342551.3,27.756050176207243
40,3424724241210377.5,1151193459621159.5,66.38580573090752
41,3103962382066308.5,11818838651392.0,99.61923383093566
42,542248692182887.9,477098620074030.0,12.014795618333048
43,8110412446898615.0,161858483167798.94,98.0043125521971
44,5515991607205356.0,471540939442700.0,91.45138402990422
46,471823981715500.0,465902259435000.0,1.2550702189764222
47,543323782124330.0,321911107959400.0,40.751515293373195
48,4868673000026398.0,227294569024772.6,95.33148829211696
49,3535520991909443.5,14921537013138.43,99.57795365810911
51,2435405574227771.5,6629037882750.7,99.72780558799317
52,3574619687269069.5,5428083405397.6,99.84814934509734
53,477052034247208.2,469850693409979.0,1.509550388689351
54,6726336424249022.0,1325955260965472.5,80.28711058541037
56,469960084609413.56,469757174391213.44,0.04317605363629228
57,942482962254482.0,470150568088493.4,50.1157488339246
58,570170804081419.8,377928030729651.7,33.71669892173504
59,1325868027757283.0,478558092972590.0,63.906053773536186
60,1.1613639716337914e+16,470063742664627.0,95.95248557604774
61,492894264514046.8,469237195130174.7,4.799623588072393
62,3296992013594515.0,779114079035533.0,76.36894248384571
63,472036914851354.4,468010590628706.75,0.8529680827855433
64,1658556965788921.5,479695506111263.06,71.07753812464998
65,517147689943000.0,367016244871700.0,29.03067111985891
66,1413983101216098.0,533099326622954.0,62.29804117429259
67,1927354067052052.5,20062704793865.16,98.95905453300796
68,2.1906710749001116e+16,300155515632782.56,98.62984672107167
71,4215296157249290.5,41814205914340.0,99.00803634301164
72,468690400917350.0,239085893542942.0,48.988523538141976
73,472548892987950.0,469809308322890.0,0.5797462877835711
74,915418489635684.6,493142710201657.6,46.129260465569466
75,3177396763107056.0,711993745481941.8,77.59191569183479
76,108050233858300.0,8463778897300.0,92.1668111256477
77,3950341802225499.0,378660301751976.8,90.41449270190616
78,2031258180176586.5,10846459705579.4,99.46602259567828
79,471324745558156.0,469861046787980.0,0.3105499518050228
80,482634635055878.0,477055826326014.0,1.1559072483925863
82,5287037034429672.0,477017965199489.0,90.97759364851989
83,589952794580080.6,13722632599937.2,97.67394396195634
84,2037767009424792.0,470092049445200.0,76.93102070693084
85,74365669314396.33,16421444101087.943,77.91797713584359
87,163365305389500.16,179435612546105.8,-9.837037991812506
88,338521673226965.1,264757988713274.0,21.789944440052306
89,2.3948969324881504e+16,348281556572450.0,98.54573467505925
90,486902085603584.0,503036034856845.0,-3.3135921431227158
91,910896582979000.0,471478003657370.0,48.24022699531418
92,538088003423801.1,441073383192581.6,18.029508112785457
94,1131058798210000.0,494469369890000.0,56.28261141927005
95,630853736674489.0,466274524622843.0,26.08833117470562
96,469838795147096.2,469753139242071.0,0.018230913647386337
99,1096046055071114.8,471355250072663.5,56.99494123519467
100,2914195793194058.0,11301472184544.53,99.61219241991432
101,1.076491324058562e+17,205352556572084.4,99.80923900454872
