obs_realization,phi_iter0,phi_final,reduction_%
226,34361078777417.5,446345412374554.4,-1198.9854459048527
7,226785097654799.47,511638257244955.06,-125.60488433139656
170,84448381854113.9,127852698301161.23,-51.39745190384946
17,31450723423978.37,47220346600906.97,-50.140732740365735
146,492863126313825.3,693532309273148.1,-40.71499210341592
107,463514054564520.0,605578068547300.0,-30.64934333355906
0,336575879561632.0,419545429090000.0,-24.65106817411586
176,464739635399637.0,519973158757609.56,-11.884831667192831
87,163365305389500.16,179435612546105.8,-9.837037991812506
90,486902085603584.0,503036034856845.0,-3.3135921431227158
130,534227529043780.0,543000534547600.0,-1.6421852163857793
31,470898927177384.3,473634251657955.5,-0.5808729480372781
20,470160557381650.0,470869777151721.9,-0.15084629259875795
243,469771724364086.56,469749788334400.0,0.0046695083056045
234,469786660905900.0,469758667745900.0,0.005958696218836901
96,469838795147096.2,469753139242071.0,0.018230913647386337
37,469966416680795.0,469783230611188.3,0.0389785446586727
56,469960084609413.56,469757174391213.44,0.04317605363629228
131,458530342908011.5,458043476833619.2,0.10617968514462861
248,470941741842703.4,469820642681459.0,0.23805474470318394
79,471324745558156.0,469861046787980.0,0.3105499518050228
191,471499607885191.0,469757551392310.0,0.3694714616401519
73,472548892987950.0,469809308322890.0,0.5797462877835711
63,472036914851354.4,468010590628706.75,0.8529680827855433
80,482634635055878.0,477055826326014.0,1.1559072483925863
46,471823981715500.0,465902259435000.0,1.2550702189764222
174,476707374172757.94,469906057488915.4,1.426727810880848
189,445657777714573.7,439193939142942.9,1.450404075696542
53,477052034247208.2,469850693409979.0,1.509550388689351
14,477588106477540.0,470045251614000.0,1.5793640505774875
212,477435337055979.0,469811555389700.0,1.5968197312938142
180,481094332752503.0,470161424253706.0,2.272508270102901
225,482411995900782.2,470278431185227.5,2.515187188265982
163,484732816762300.0,469726916914400.0,3.095705371905631
213,486295244947363.6,470995264285611.0,3.1462328329796208
235,486810998173000.0,470387147214500.0,3.3737633332317176
147,474425974152534.0,458026803871600.0,3.4566341588332725
194,490645560543761.4,472118837432397.3,3.7759891459797768
155,489440704488817.3,470409821936817.7,3.8882917537224246
171,476669752905170.0,457266237723820.0,4.070641164682876
11,483939673920000.0,463909453261400.0,4.138991229289292
108,494223696120000.0,470954548170000.0,4.7082218300496335
61,492894264514046.8,469237195130174.7,4.799623588072393
245,498800664782269.1,469958178598478.2,5.782367230079964
1,503480076211160.75,469737947239602.9,6.701780381356411
15,511224089315750.7,472318830530338.9,7.610216262986485
228,510838232032416.75,468503970740453.2,8.287214745758716
221,30893014314781.7,27955559054515.0,9.508477322205442
16,483262811284382.8,426210889038346.0,11.805568505138668
42,542248692182887.9,477098620074030.0,12.014795618333048
139,529416209547906.0,464818166145535.0,12.201750199060655
122,538762731427354.0,470414748308623.0,12.68610078831092
142,566819249088069.2,468672167020451.5,17.315410904891163
92,538088003423801.1,441073383192581.6,18.029508112785457
110,579858655856667.8,471691246711538.0,18.65409924515589
22,523577162766068.9,423378961213258.7,19.137236815956797
114,579353731031000.0,468229027750000.0,19.18080394222126
88,338521673226965.1,264757988713274.0,21.789944440052306
120,664862131674820.0,519297229562703.56,21.893998045193428
13,607538821832000.0,472493039221000.0,22.228337969214355
238,613106541534802.5,468183831348197.1,23.637443147126973
161,621448439779326.0,471309104669622.0,24.159580344753607
140,627541661968028.5,471363437467090.0,24.887307722510275
27,635954228197989.4,471907800554156.9,25.795319909841137
95,630853736674489.0,466274524622843.0,26.08833117470562
106,706178132916721.9,511721940105130.2,27.53642229170009
39,585258559884695.2,422813900342551.3,27.756050176207243
65,517147689943000.0,367016244871700.0,29.03067111985891
231,674988048790400.0,470779723765800.0,30.25362084418351
239,653229350970526.9,452505952599600.0,30.727859682469067
58,570170804081419.8,377928030729651.7,33.71669892173504
109,725465483873916.5,464841612197219.3,35.925054667658415
223,728387308440667.9,452633100309180.0,37.858184091897854
187,616277050393784.4,379852981466366.0,38.36327651278752
247,769627981942137.2,474068694537436.4,38.402877018434836
34,767698824671312.4,469814118152456.0,38.80228768702293
151,920120969877462.0,553100443864440.0,39.88829056487
204,784960284270439.4,470401258201878.0,40.0732409488615
47,543323782124330.0,321911107959400.0,40.751515293373195
166,808759226457211.6,469923198602430.1,41.895785144740856
244,910425160287095.0,519265026233482.0,42.96455668363382
74,915418489635684.6,493142710201657.6,46.129260465569466
205,3305650801177574.0,1765828490414160.5,46.58151763080606
91,910896582979000.0,471478003657370.0,48.24022699531418
72,468690400917350.0,239085893542942.0,48.988523538141976
113,565498285488606.9,288416296280002.7,48.99784779527622
