Type,Group,Obs_Name,Weight,Initial_Phi,Final_Phi,Reduction_%,Final_Contribution_%
ARR-H,19obg5,arr-spq:spq,0.05,455856174450032.44,353941534501.891,99.92235675321743,0.08653674724376562
Head,13obg2,ts-heads:pk4,0.3,2735038346852209.0,14444938860164.61,99.47185607555413,3.5317076444641855
Head,1obg0,ts-heads:pk4-conf-diff,0.3,2735101207422088.0,14449014292592.592,99.47171920902295,3.532704065148256
Head,2obg1,ts-heads:pk4-spr-diff,0.3,2735217358785140.5,14485741933950.617,99.4703988738802,3.5416837702894792
ARR-H,less_16obg22,arr-h,0.3,2735148027524946.0,21967586496522.633,99.19684103838426,5.370953377597964
ARR-H,greater_20obg6,arr-confq:confq,0.1,911636743891605.1,11911819332483.578,98.69335901472836,2.9123739327152207
Budget,greater_5obg12,budget:confined,0.2,1843026071747470.5,85880295898482.05,95.34025604873541,20.99725727257657
Flux,less_6obg13,budget:inflow,0.2,1823433282575217.0,125063800609741.28,93.14130098398145,30.577407418264045
ARR-H,18obg4,arr-awq:awq,0.05,455858181006929.06,48861027350327.695,89.28152890831085,11.946250896596698
Recession,3obg10,recession:pk4,0.005,45488586965863.45,22770709791275.72,49.94192761282337,5.567312580429122
Recession,22obg8,recession:pk4-conf-diff,0.005,45874856916867.47,22964084400905.35,49.94189422210096,5.61459160276944
Recession,23obg9,recession:pk4-spr-diff,0.005,45878024055542.17,25854248315061.727,43.64568037245608,6.321220691905251
ARR-H,16obg22,arr-h,0.0,0.0,0.0,,0.0
Recession,21obg7,recession:fliptime,0.0,0.0,0.0,,0.0
Flux,17obg3,ts-sprflux:flux,0.0,0.0,0.0,,0.0
Flux,6obg13,budget:inflow,0.0,0.0,0.0,,0.0
Budget,4obg11,budget:awanui,0.0,0.0,0.0,,0.0
Budget,7obg14,budget:inout,0.0,0.0,0.0,,0.0
Budget,8obg15,budget:percentdiscrepancy,0.0,0.0,0.0,,0.0
Budget,9obg16,budget:poukawa,0.0,0.0,0.0,,0.0
Budget,10obg17,budget:recharge,0.0,0.0,0.0,,0.0
Budget,11obg18,budget:spring,0.0,0.0,0.0,,0.0
Budget,12obg19,budget:stoss,0.0,0.0,0.0,,0.0
Budget,14obg20,budget:sw,0.0,0.0,0.0,,0.0
Budget,15obg21,budget:total,0.0,0.0,0.0,,0.0
