Type,Group,Obs_Name,Weight,Initial_Phi,Final_Phi,Reduction_%,Final_Contribution_%
ARR-H,less_16obg22,arr-h,0.3,671697729537884.4,92760805336.47432,724018.0443630401,0.027028253619537975
Recession,3obg10,recession:pk4,0.001,2238418636116.1284,1887655524.48,118481.94501524606,0.0005500171336040128
Recession,22obg8,recession:pk4-conf-diff,0.001,2238989190006.8433,1888138245.72,118481.84616948181,0.0005501577868902249
Recession,23obg9,recession:pk4-spr-diff,0.001,2239198716187.1006,2150453276.0,104026.82485025546,0.0006265900380000242
Head,13obg2,ts-heads:pk4,0.3,671702148317285.1,2345629342580.0,28536.329539537048,0.6834596200271845
Head,1obg0,ts-heads:pk4-conf-diff,0.3,671689539368879.5,2345663863356.0,28535.370560207914,0.6834696785458174
Head,2obg1,ts-heads:pk4-spr-diff,0.3,671705676891546.2,2346523232752.0,28525.57112225011,0.6837200779888116
Flux,less_6obg13,budget:inflow,0.2,447799642690339.1,2360032451348.94,18874.30022347308,0.6876563373293318
ARR-H,18obg4,arr-awq:awq,0.05,111949465010412.88,3801968937195.267,2844.512878976823,1.1078017306487595
ARR-H,greater_20obg6,arr-confq:confq,0.1,223875463200977.12,29804533471263.156,651.1456719053585,8.684319705410692
ARR-H,19obg5,arr-spq:spq,0.05,111949787082958.25,19281684568525.97,480.60169320318107,5.618216215778486
Budget,greater_5obg12,budget:confined,0.2,447724556791179.5,280814681090258.25,59.43773133687188,81.82260161569288
ARR-H,16obg22,arr-h,0.0,0.0,0.0,,0.0
Recession,21obg7,recession:fliptime,0.0,0.0,0.0,,0.0
Flux,17obg3,ts-sprflux:flux,0.0,0.0,0.0,,0.0
Flux,6obg13,budget:inflow,0.0,0.0,0.0,,0.0
Budget,4obg11,budget:awanui,0.0,0.0,0.0,,0.0
Budget,7obg14,budget:inout,0.0,0.0,0.0,,0.0
Budget,8obg15,budget:percentdiscrepancy,0.0,0.0,0.0,,0.0
Budget,9obg16,budget:poukawa,0.0,0.0,0.0,,0.0
Budget,10obg17,budget:recharge,0.0,0.0,0.0,,0.0
Budget,11obg18,budget:spring,0.0,0.0,0.0,,0.0
Budget,12obg19,budget:stoss,0.0,0.0,0.0,,0.0
Budget,14obg20,budget:sw,0.0,0.0,0.0,,0.0
Budget,15obg21,budget:total,0.0,0.0,0.0,,0.0
