,Awanui Stream at Flume (x),Awanui Stream at Flume (y),m3d,sm_m3d
2,2023-12-06 23:00:00,949.40187,80319.398202,73693.09269621818
3,2023-12-07 23:00:00,850.27731,71933.460426,72353.2093467
4,2023-12-08 23:00:00,767.93337,64967.16310199999,71070.13268003076
5,2023-12-09 23:00:00,773.7758,65461.43268,69797.84578688571
6,2023-12-10 23:00:00,1065.48762,90140.25265200001,67730.83198896
7,2023-12-11 23:00:00,1010.0484,85450.09464,65629.63632465
8,2023-12-12 23:00:00,927.800338,78491.9085948,63724.71393614117
9,2023-12-13 23:00:00,859.17014,72685.79384399999,61912.38966079999
10,2023-12-14 23:00:00,823.6804,69683.36184,60518.36058138947
11,2023-12-15 23:00:00,847.316056,71682.93833759999,59606.233356059995
12,2023-12-16 23:00:00,706.9529,59808.215339999995,58309.81092231428
13,2023-12-17 23:00:00,681.02237,57614.492502,56099.101048885714
14,2023-12-18 23:00:00,658.0758,55673.21267999999,54392.264239285716
15,2023-12-19 23:00:00,629.52856,53258.116175999996,53091.80121728572
16,2023-12-20 23:00:00,458.54183,38792.638818,51651.04355785714
17,2023-12-21 23:00:00,403.2116,34111.70136,48941.791323
18,2023-12-22 23:00:00,392.9782,33245.95572,46414.708828114286
19,2023-12-23 23:00:00,367.6463,31102.876979999997,44168.16191931428
20,2023-12-24 23:00:00,418.74512,35425.83715199999,41861.949281314286
21,2023-12-25 23:00:00,499.714138,42275.816074799994,39708.08657931428
22,2023-12-26 23:00:00,382.758419,32381.362247399997,37524.041231999996
23,2023-12-27 23:00:00,400.6441,33894.49086,35980.789745999995
24,2023-12-28 23:00:00,426.594414,36089.887424399996,34494.70034485714
25,2023-12-29 23:00:00,445.1234,37657.43964,33138.835119428564
26,2023-12-30 23:00:00,416.14092,35205.521832,31926.617994857144
27,2023-12-31 23:00:00,392.9782,33245.95572,30984.038795999993
28,2024-01-01 23:00:00,382.758419,32381.362247399997,30115.863121714283
29,2024-01-02 23:00:00,370.14685,31314.423509999997,29344.265196
30,2024-01-03 23:00:00,286.70601,24255.328445999996,28537.847787599992
31,2024-01-04 23:00:00,289.03363,24452.245098,27505.478217599997
32,2024-01-05 23:00:00,305.17714,25817.986043999997,26214.34887994286
33,2024-01-06 23:00:00,323.87629,27399.934133999996,25497.88570885714
34,2024-01-07 23:00:00,312.13493,26406.615078,24681.49176085714
35,2024-01-08 23:00:00,321.51351,27200.042945999998,23590.880875885712
36,2024-01-09 23:00:00,328.6236,27801.556559999997,22458.930901885713
37,2024-01-10 23:00:00,224.56827,18998.475642,21410.432664171425
38,2024-01-11 23:00:00,187.707,15880.0122,20461.883203028567
39,2024-01-12 23:00:00,201.4468,17042.399279999998,19676.104629342855
40,2024-01-13 23:00:00,167.471766,14168.1114036,18961.79528562857
41,2024-01-14 23:00:00,162.48317,13746.076181999999,18549.258452485712
42,2024-01-15 23:00:00,179.22104,15162.099983999999,18196.40865162857
43,2024-01-16 23:00:00,204.912951,17335.6356546,17743.834425342855
44,2024-01-17 23:00:00,197.99312,16750.217952,17222.84200362857
45,2024-01-18 23:00:00,155.8754,13187.05884,16763.653349909997
46,2024-01-19 23:00:00,164.14291,13886.490185999999,16214.369686957893
47,2024-01-20 23:00:00,155.8754,13187.05884,15570.637082899999
48,2024-01-21 23:00:00,157.52266,13326.417035999999,15368.9995206
49,2024-01-22 23:00:00,187.707,15880.0122,15337.061228137498
50,2024-01-23 23:00:00,192.83602,16313.927291999998,15223.372024679999
51,2024-01-24 23:00:00,184.30325,15592.054949999998,15298.74778332857
52,2024-01-25 23:00:00,201.4468,17042.399279999998,15418.184060353844
53,2024-01-26 23:00:00,192.83602,16313.927291999998,15439.52440005
54,2024-01-27 23:00:00,194.55193,16459.093278,15267.150649636362
