Type,Group,Obs_Name,Weight,Initial_Phi,Final_Phi,Reduction_%,Final_Contribution_%
Head,13obg2,ts-heads:pk4,0.3,1.239695360958618e+17,55918356444.44444,221697288.79758924,0.08956838818647192
Head,1obg0,ts-heads:pk4-conf-diff,0.3,1.2396956525300056e+17,55935531962.96296,221629266.70573816,0.08959589942978786
ARR-H,less_16obg22,arr-h,0.3,1.2396980037444365e+17,727714433303.8938,17035401.111556742,1.165631699419115
Budget,greater_5obg12,budget:confined,0.2,8.263501211240117e+16,6323979902010.679,1306593.148821168,10.129566081032673
ARR-H,18obg4,arr-awq:awq,0.05,2.066163910001479e+16,2466763869747.922,837501.0105144844,3.9511902333799123
ARR-H,greater_20obg6,arr-confq:confq,0.1,4.132218414744012e+16,6239717272651.621,662144.4950920013,9.994596665335644
Flux,less_6obg13,budget:inflow,0.2,8.264653997907509e+16,12547148664579.268,658587.8197465464,20.09765582682934
Head,2obg1,ts-heads:pk4-spr-diff,0.3,1.2396973957510203e+17,20429477366255.145,606717.9687252885,32.723339445883866
Recession,23obg9,recession:pk4-spr-diff,0.005,2066425686008058.2,412157775230.4527,501267.6339971126,0.6601822720342402
Recession,3obg10,recession:pk4,0.005,2059485380683551.0,682886720641.9753,301485.21441849804,1.0938279801305584
Recession,22obg8,recession:pk4-conf-diff,0.005,2065616877817673.5,684920446727.9835,301484.934087686,1.0970855431048478
ARR-H,19obg5,arr-spq:spq,0.05,2.066140466337449e+16,11804285894938.271,174933.07567494773,18.907759965233552
ARR-H,16obg22,arr-h,0.0,0.0,0.0,,0.0
Recession,21obg7,recession:fliptime,0.0,0.0,0.0,,0.0
Flux,17obg3,ts-sprflux:flux,0.0,0.0,0.0,,0.0
Flux,6obg13,budget:inflow,0.0,0.0,0.0,,0.0
Budget,4obg11,budget:awanui,0.0,0.0,0.0,,0.0
Budget,7obg14,budget:inout,0.0,0.0,0.0,,0.0
Budget,8obg15,budget:percentdiscrepancy,0.0,0.0,0.0,,0.0
Budget,9obg16,budget:poukawa,0.0,0.0,0.0,,0.0
Budget,10obg17,budget:recharge,0.0,0.0,0.0,,0.0
Budget,11obg18,budget:spring,0.0,0.0,0.0,,0.0
Budget,12obg19,budget:stoss,0.0,0.0,0.0,,0.0
Budget,14obg20,budget:sw,0.0,0.0,0.0,,0.0
Budget,15obg21,budget:total,0.0,0.0,0.0,,0.0
