kper,kstp,time,k,i,j,CONFq
1,1,1.0,0,1,27,-0.2564673392189434
1,1,1.0,0,1,28,-0.25653223077461007
1,1,1.0,0,1,29,-0.2566588411145858
1,1,1.0,0,1,30,-0.25675911649614136
1,1,1.0,0,1,31,-0.25658234599791285
1,1,1.0,0,1,32,-0.25640806758292456
1,1,1.0,0,1,33,-0.25613934586590403
1,1,1.0,0,1,34,-0.2554203283937113
1,1,1.0,0,1,35,-0.2561964324290784
1,1,1.0,0,1,36,-0.25615246394045244
1,1,1.0,0,1,37,-0.2561565965306727
1,1,1.0,0,1,38,-0.25637387495817165
1,1,1.0,0,1,39,-0.2561042745251143
1,1,1.0,0,1,40,-0.25615110084117987
1,1,1.0,0,1,41,-0.25618083652170753
1,1,1.0,0,1,42,-0.25624427054890475
1,1,1.0,0,2,24,-0.25293255007659354
1,1,1.0,0,2,25,-0.2587633594894214
1,1,1.0,0,2,26,-0.2575635614548446
1,1,1.0,0,2,27,-0.25629632235450117
1,1,1.0,0,2,28,-0.25629835295353587
1,1,1.0,0,2,29,-0.25630737176993534
1,1,1.0,0,2,30,-0.2561096251663457
1,1,1.0,0,2,31,-0.25630917133071307
1,1,1.0,0,2,32,-0.25626717455634207
1,1,1.0,0,2,33,-0.25616944808734843
1,1,1.0,0,2,34,-0.25572789888769876
1,1,1.0,0,2,35,-0.25643086632999257
1,1,1.0,0,2,36,-0.2563865975753288
1,1,1.0,0,2,37,-0.2563925328345249
1,1,1.0,0,2,38,-0.2566306038947914
1,1,1.0,0,2,39,-0.2562637376895509
1,1,1.0,0,2,40,-0.2562505097794201
1,1,1.0,0,2,41,-0.25621495898121793
1,1,1.0,0,2,42,-0.25599603090722667
1,1,1.0,0,2,43,-0.2562661322344866
1,1,1.0,0,2,44,-0.25512092103463146
1,1,1.0,0,2,45,-0.12823875848607713
1,1,1.0,0,2,46,15.062025880716192
1,1,1.0,0,2,47,-0.1304554432349505
1,1,1.0,0,3,21,-0.24313585905497348
1,1,1.0,0,3,22,-0.2609867570922688
1,1,1.0,0,3,23,-0.2625797042701379
1,1,1.0,0,3,24,-0.2607216399835579
1,1,1.0,0,3,25,-0.2595924884899432
1,1,1.0,0,3,26,-0.2576800252454632
1,1,1.0,0,3,27,-0.25631792577610213
1,1,1.0,0,3,28,-0.2563191969577474
1,1,1.0,0,3,29,-0.25627961830946333
1,1,1.0,0,3,30,-0.25569272087932404
1,1,1.0,0,3,31,-0.25627545849556554
1,1,1.0,0,3,32,-0.25622845700536345
1,1,1.0,0,3,33,-0.25614760655730606
1,1,1.0,0,3,34,-0.2558073094446627
1,1,1.0,0,3,35,-0.25642030015933415
1,1,1.0,0,3,36,-0.2563756675594959
1,1,1.0,0,3,37,-0.25638866743565814
1,1,1.0,0,3,38,-0.2566586608168109
1,1,1.0,0,3,39,-0.25627500233940737
1,1,1.0,0,3,40,-0.2562633275360895
1,1,1.0,0,3,41,-0.2562152477617019
1,1,1.0,0,3,42,-0.2558981517408938
1,1,1.0,0,3,43,-0.2562571951211794
