budget_type,kper,realization,iteration,value
Awanui,1,0,prior,-3906.8545
Awanui,1,1,prior,-826.9628
Awanui,1,2,prior,-2722.3862
Awanui,1,3,prior,-18190297000.0
Awanui,1,4,prior,-7116035600.0
Awanui,1,5,prior,-831210.0
Awanui,1,6,prior,-9726447000.0
Awanui,1,7,prior,-4785800.5
Awanui,1,8,prior,-2713543200.0
Awanui,1,9,prior,-14625271.0
Awanui,1,10,prior,-39924.355
Awanui,1,11,prior,-1555643.2
Awanui,1,12,prior,-5198.4414
Awanui,1,13,prior,-621.5325
Awanui,1,14,prior,-89681.48399999998
Awanui,1,15,prior,-49996.09
Awanui,1,16,prior,-23761.357
Awanui,1,17,prior,-36022.168
Awanui,1,18,prior,-19050.729
Awanui,1,19,prior,-8861.432
Awanui,1,20,prior,-3985.4604
Awanui,1,21,prior,-104451840.0
Awanui,1,22,prior,-1171.3181
Awanui,1,23,prior,-1737.2777
Awanui,1,24,prior,-2839.5652
Awanui,1,25,prior,-5794909700.0
Awanui,1,26,prior,-28817.9
Awanui,1,27,prior,-21792386.0
Awanui,1,28,prior,-285597.25
Awanui,1,29,prior,-12692.523
Awanui,1,30,prior,-737249.25
Awanui,1,31,prior,-13364.917
Awanui,1,32,prior,-117549410000.0
Awanui,1,33,prior,-4475.0337
Awanui,1,34,prior,-15740.378
Awanui,1,35,prior,-2639941.8
Awanui,1,36,prior,-4835410.5
Awanui,1,37,prior,-17133.13
Awanui,1,38,prior,-16801002.0
Awanui,1,39,prior,-3544.338
Awanui,1,40,prior,-249096.78
Awanui,1,41,prior,-429025.3
Awanui,1,42,prior,-7686137.0
Awanui,1,43,prior,-197904.77
Awanui,1,44,prior,-51214.926
Awanui,1,45,prior,-58759.434
Awanui,1,46,prior,-636089.2
Awanui,1,47,prior,-156.1171
Awanui,1,48,prior,-33.5432
Awanui,1,49,prior,-37543.973
Awanui,1,50,prior,-18262460.0
Awanui,1,51,prior,-157862.08
Awanui,1,52,prior,-846690.1999999998
Awanui,1,53,prior,-2866046.0
Awanui,1,54,prior,-270.5702
Awanui,1,55,prior,-112738.016
Awanui,1,56,prior,-177684.97
Awanui,1,57,prior,-16450.727
Awanui,1,58,prior,-2823.3906
Awanui,1,59,prior,-76592430000.0
Awanui,1,60,prior,-160333.7
Awanui,1,61,prior,-28894.832
Awanui,1,62,prior,-56897.55
Awanui,1,63,prior,-104374584.0
Awanui,1,64,prior,-296719.9
Awanui,1,65,prior,-83073.33999999998
Awanui,1,66,prior,-4989632.0
Awanui,1,67,prior,-3828776400.0
Awanui,1,68,prior,-351.8623
Awanui,1,69,prior,-95845.18
Awanui,1,70,prior,-1174856.0
Awanui,1,71,prior,-101141510.0
Awanui,1,72,prior,-947.70416
Awanui,1,73,prior,-16659086.0
Awanui,1,74,prior,-804450.5999999999
Awanui,1,75,prior,-3372846.0
Awanui,1,76,prior,-1323031700.0
Awanui,1,77,prior,-21945.127
Awanui,1,78,prior,-2820506.0
Awanui,1,79,prior,-398270530.0
Awanui,1,80,prior,-34618294000.0
Awanui,1,81,prior,-926.2444
Awanui,1,82,prior,-22292.07
Awanui,1,83,prior,-224216.34
Awanui,1,84,prior,-1468.5972
Awanui,1,85,prior,-4517800.0
Awanui,1,86,prior,-2054213.6
Awanui,1,87,prior,-14171995.0
Awanui,1,88,prior,-14.1784
Awanui,1,89,prior,-244934.33
Awanui,1,90,prior,-34330.215
Awanui,1,91,prior,-48771.055
Awanui,1,92,prior,-1603212700.0
Awanui,1,93,prior,-48471890.0
Awanui,1,94,prior,-41932.48
Awanui,1,95,prior,-79202.08999999998
Awanui,1,96,prior,-2111350100.0
Awanui,1,97,prior,-23.67919
Awanui,1,98,prior,-55.5832
Awanui,1,99,prior,-22899.617
Awanui,1,100,prior,-9272.699
Awanui,1,101,prior,-17407.826
Awanui,1,102,prior,-193038830.0
Awanui,1,103,prior,-40955.81
Awanui,1,104,prior,-25602.637
Awanui,1,105,prior,-27646.47
Awanui,1,106,prior,-1188.2076
Awanui,1,107,prior,-538.5371
Awanui,1,108,prior,-2713629.2
Awanui,1,109,prior,-6620494.5
Awanui,1,110,prior,-51872940.0
Awanui,1,111,prior,-317797.1
Awanui,1,112,prior,-675.26013
Awanui,1,113,prior,-220186.86
Awanui,1,114,prior,-5828285.5
Awanui,1,115,prior,-977429400.0
Awanui,1,116,prior,-122573.96
Awanui,1,117,prior,-18436262.0
Awanui,1,118,prior,-728728.1999999998
Awanui,1,119,prior,-8749756.0
Awanui,1,120,prior,-81815064.0
