Type,Group,Obs_Name,Weight,Initial_Phi,Final_Phi,Reduction_%,Final_Contribution_%
Head,1obg0,ts-heads:pk4-conf-diff,0.3,1.2396956525300056e+17,60707018200.0,204209510.2374545,2.1198338034055845e-05
Head,13obg2,ts-heads:pk4,0.3,1.239695360958618e+17,60716020120.0,204179185.55074367,2.1201481422559738e-05
ARR-H,less_16obg22,arr-h,0.3,1.2396980037444365e+17,5439194124649.88,2279094.26174964,0.0018993170659002754
Head,2obg1,ts-heads:pk4-spr-diff,0.3,1.2396973957510203e+17,20247349600000.0,612176.3819670602,0.007070190133543824
ARR-H,greater_20obg6,arr-confq:confq,0.1,4.132221746362694e+16,20574889081649.133,200738.10561332494,0.007184563938375136
Recession,23obg9,recession:pk4-spr-diff,0.005,2066425686008058.2,1139008184000.0,181323.25182872068,0.0003977312874837934
Recession,3obg10,recession:pk4,0.005,2059485380683551.0,1334965382280.0,154172.56826436476,0.0004661577569845791
Recession,22obg8,recession:pk4-conf-diff,0.005,2065616877817673.5,1338941062120.0,154172.42738728903,0.0004675460281871911
Budget,greater_5obg12,budget:confined,0.2,8.263568055805957e+16,94026028911987.81,87785.96255129516,0.03283303321388013
ARR-H,19obg5,arr-spq:spq,0.05,2.066140466337449e+16,1454620868152960.0,1320.3979274413823,0.507940363219787
ARR-H,18obg4,arr-awq:awq,0.05,2.066163910001479e+16,3.432086702930369e+16,-39.79860974265725,11.984534284193545
Flux,less_6obg13,budget:inflow,0.2,8.264653997907509e+16,2.5045660009910618e+17,-67.00165220386619,87.45716441334285
ARR-H,16obg22,arr-h,0.0,0.0,0.0,,0.0
Recession,21obg7,recession:fliptime,0.0,0.0,0.0,,0.0
Flux,17obg3,ts-sprflux:flux,0.0,0.0,0.0,,0.0
Flux,6obg13,budget:inflow,0.0,0.0,0.0,,0.0
Budget,4obg11,budget:awanui,0.0,0.0,0.0,,0.0
Budget,7obg14,budget:inout,0.0,0.0,0.0,,0.0
Budget,8obg15,budget:percentdiscrepancy,0.0,0.0,0.0,,0.0
Budget,9obg16,budget:poukawa,0.0,0.0,0.0,,0.0
Budget,10obg17,budget:recharge,0.0,0.0,0.0,,0.0
Budget,11obg18,budget:spring,0.0,0.0,0.0,,0.0
Budget,12obg19,budget:stoss,0.0,0.0,0.0,,0.0
Budget,14obg20,budget:sw,0.0,0.0,0.0,,0.0
Budget,15obg21,budget:total,0.0,0.0,0.0,,0.0
