kper,kstp,time,k,i,j,SPq
1,1,1.0,0,33,30,-6.516992956667984
1,1,1.0,0,33,31,-10.254541257378833
1,1,1.0,0,33,32,-21.40231510214869
1,1,1.0,0,33,33,-30.170930929327938
1,1,1.0,0,34,30,-2.2038119423221545
1,1,1.0,0,34,31,-5.266536834394941
1,1,1.0,0,34,33,-12.303655393898339
1,1,1.0,0,35,33,-6.198098707069661
1,1,1.0,0,36,32,-2.4004080335727664
1,1,1.0,0,36,33,-3.395232476015181
1,1,1.0,0,37,32,-2.06673930705686
2,1,2.0,0,33,30,-6.5158512722822834
2,1,2.0,0,33,31,-10.251881008026828
2,1,2.0,0,33,32,-21.398106425934827
2,1,2.0,0,33,33,-30.16514795108168
2,1,2.0,0,34,30,-2.202991080262315
2,1,2.0,0,34,31,-5.264615544064441
2,1,2.0,0,34,33,-12.299687945770899
2,1,2.0,0,35,33,-6.195421108248084
2,1,2.0,0,36,32,-2.399392096390642
2,1,2.0,0,36,33,-3.393800184670141
2,1,2.0,0,37,32,-2.0662616993576073
2,2,3.0,0,33,30,-6.514713475862408
2,2,3.0,0,33,31,-10.249266699847212
2,2,3.0,0,33,32,-21.393996017619173
2,2,3.0,0,33,33,-30.159513271883668
2,2,3.0,0,34,30,-2.2021750673936964
2,2,3.0,0,34,31,-5.2627205603721166
2,2,3.0,0,34,33,-12.295809347630069
2,2,3.0,0,35,33,-6.192787242745666
2,2,3.0,0,36,32,-2.39838266516081
2,2,3.0,0,36,33,-3.3923808860684943
2,2,3.0,0,37,32,-2.065785523750751
2,3,4.0,0,33,30,-6.513576250529752
2,3,4.0,0,33,31,-10.246688008543828
2,3,4.0,0,33,32,-21.389952531611613
2,3,4.0,0,33,33,-30.153962197760393
2,3,4.0,0,34,30,-2.2013633545249505
2,3,4.0,0,34,31,-5.260847852796587
2,3,4.0,0,34,33,-12.292014305369946
2,3,4.0,0,35,33,-6.1901955845488175
2,3,4.0,0,36,32,-2.3973796504516045
2,3,4.0,0,36,33,-3.3909743905614675
2,3,4.0,0,37,32,-2.06531077271498
2,4,5.0,0,33,30,-6.521222705334644
2,4,5.0,0,33,31,-10.26427056890833
2,4,5.0,0,33,32,-21.4172098037036
2,4,5.0,0,33,33,-30.19061651834687
2,4,5.0,0,34,30,-2.2069112859012208
2,4,5.0,0,34,31,-5.274118773572567
2,4,5.0,0,34,33,-12.32062257952569
2,4,5.0,0,35,33,-6.209825041297506
2,4,5.0,0,36,32,-2.404800330129021
2,4,5.0,0,36,33,-3.4014475128820862
2,4,5.0,0,37,32,-2.0687944029754206
2,5,6.0,0,33,30,-6.527881022800585
2,5,6.0,0,33,31,-10.279438240773956
2,5,6.0,0,33,32,-21.440415361317207
2,5,6.0,0,33,33,-30.221397504030648
2,5,6.0,0,34,30,-2.211766992499861
2,5,6.0,0,34,31,-5.285652478171315
2,5,6.0,0,34,33,-12.345152652762323
2,5,6.0,0,35,33,-6.22681319719733
2,5,6.0,0,36,32,-2.411295299178981
2,5,6.0,0,36,33,-3.410587535107794
2,5,6.0,0,37,32,-2.0718546507062
2,6,7.0,0,33,30,-6.541573426045204
2,6,7.0,0,33,31,-10.310596954091253
2,6,7.0,0,33,32,-21.488185513099324
2,6,7.0,0,33,33,-30.28498935740805
2,6,7.0,0,34,30,-2.2217333590989696
2,6,7.0,0,34,31,-5.309270393868502
2,6,7.0,0,34,33,-12.39521485454
2,6,7.0,0,35,33,-6.261449067985737
2,6,7.0,0,36,32,-2.4245517169333937
2,6,7.0,0,36,33,-3.429235763745197
2,6,7.0,0,37,32,-2.078103579689305
2,7,8.0,0,33,30,-6.547620965642366
2,7,8.0,0,33,31,-10.323966643138661
2,7,8.0,0,33,32,-21.50784288839401
2,7,8.0,0,33,33,-30.310042861504826
2,7,8.0,0,34,30,-2.2262060127503247
2,7,8.0,0,34,31,-5.319661806417642
2,7,8.0,0,34,33,-12.416406285844289
2,7,8.0,0,35,33,-6.276530322326238
2,7,8.0,0,36,32,-2.430517423534326
2,7,8.0,0,36,33,-3.4375559886443767
2,7,8.0,0,37,32,-2.080945887376828
2,8,9.0,0,33,30,-6.553291547456489
2,8,9.0,0,33,31,-10.336368032716521
2,8,9.0,0,33,32,-21.52576218264278
2,8,9.0,0,33,33,-30.3325008702852
2,8,9.0,0,34,30,-2.230431675691243
2,8,9.0,0,34,31,-5.329403028104863
2,8,9.0,0,34,33,-12.435987539661994
2,8,9.0,0,35,33,-6.290600664524092
2,8,9.0,0,36,32,-2.4361505537264847
2,8,9.0,0,36,33,-3.445385914119555
2,8,9.0,0,37,32,-2.0836407344793137
2,9,10.0,0,33,30,-6.5582417330487175
2,9,10.0,0,33,31,-10.347017114854836
2,9,10.0,0,33,32,-21.540728883632568
2,9,10.0,0,33,33,-30.35073597887137
2,9,10.0,0,34,30,-2.2341616518052803
2,9,10.0,0,34,31,-5.337908489341615
2,9,10.0,0,34,33,-12.452732692571487
2,9,10.0,0,35,33,-6.302808423179911
2,9,10.0,0,36,32,-2.441122481119585
2,9,10.0,0,36,33,-3.452263795066102
2,9,10.0,0,37,32,-2.0860329910025115
2,10,11.0,0,33,30,-6.572423080498602
2,10,11.0,0,33,31,-10.378726550442806
2,10,11.0,0,33,32,-21.588177229516788
2,10,11.0,0,33,33,-30.412595955721088
2,10,11.0,0,34,30,-2.2445936145981307
2,10,11.0,0,34,31,-5.362313336185778
2,10,11.0,0,34,33,-12.503311071145617
2,10,11.0,0,35,33,-6.3382989231899245
2,10,11.0,0,36,32,-2.4549672252060617
2,10,11.0,0,36,33,-3.4716337163140736
2,10,11.0,0,37,32,-2.0926034022499422
2,11,12.0,0,33,30,-6.580612706424716
2,11,12.0,0,33,31,-10.39641958306487
2,11,12.0,0,33,32,-21.613334715292922
2,11,12.0,0,33,33,-30.443799151349566
2,11,12.0,0,34,30,-2.25073327498648
2,11,12.0,0,34,31,-5.376352364921573
2,11,12.0,0,34,33,-12.531169715041358
2,11,12.0,0,35,33,-6.358443060436642
2,11,12.0,0,36,32,-2.4631136637566655
2,11,12.0,0,36,33,-3.4829199079508157
2,11,12.0,0,37,32,-2.0965160986216524
