,time,kper,kstp,sample,flux,package
0,1.0,1,1,spring,-2.4004080335727664,GHB_SP
1,2.0,2,1,spring,-2.399392096390642,GHB_SP
2,3.0,2,2,spring,-2.39838266516081,GHB_SP
3,4.0,2,3,spring,-2.3973796504516045,GHB_SP
4,5.0,2,4,spring,-2.404800330129021,GHB_SP
5,6.0,2,5,spring,-2.411295299178981,GHB_SP
6,7.0,2,6,spring,-2.4245517169333937,GHB_SP
7,8.0,2,7,spring,-2.430517423534326,GHB_SP
8,9.0,2,8,spring,-2.4361505537264847,GHB_SP
9,10.0,2,9,spring,-2.441122481119585,GHB_SP
10,11.0,2,10,spring,-2.4549672252060617,GHB_SP
11,12.0,2,11,spring,-2.4631136637566655,GHB_SP
12,13.0,2,12,spring,-2.4793419814173205,GHB_SP
13,14.0,2,13,spring,-2.4940488632684037,GHB_SP
14,15.0,2,14,spring,-2.5053317856740307,GHB_SP
15,16.0,2,15,spring,-2.521187347288425,GHB_SP
16,17.0,2,16,spring,-2.535480484376741,GHB_SP
17,18.0,2,17,spring,-2.543922503831901,GHB_SP
18,19.0,2,18,spring,-2.550237967460532,GHB_SP
19,20.0,2,19,spring,-2.555986148783944,GHB_SP
20,21.0,2,20,spring,-2.5576921657221874,GHB_SP
21,22.0,2,21,spring,-2.5706861414447175,GHB_SP
22,23.0,2,22,spring,-2.5850377695232964,GHB_SP
23,24.0,2,23,spring,-2.6098033661524624,GHB_SP
24,25.0,2,24,spring,-2.6428887134361716,GHB_SP
25,26.0,2,25,spring,-2.687097024611731,GHB_SP
26,27.0,2,26,spring,-2.7339171463090253,GHB_SP
27,28.0,2,27,spring,-2.7955049268500716,GHB_SP
28,29.0,2,28,spring,-2.8588133788068575,GHB_SP
29,30.0,2,29,spring,-2.908201874892697,GHB_SP
30,31.0,2,30,spring,-2.956207318996391,GHB_SP
31,32.0,2,31,spring,-3.0148137811907816,GHB_SP
32,33.0,2,32,spring,-3.0674621114607987,GHB_SP
33,34.0,2,33,spring,-3.1063131707938894,GHB_SP
34,35.0,2,34,spring,-3.1623350784252153,GHB_SP
35,36.0,2,35,spring,-3.2226229505483346,GHB_SP
36,37.0,2,36,spring,-3.266182475268664,GHB_SP
37,38.0,2,37,spring,-3.3043164088916157,GHB_SP
38,39.0,2,38,spring,-3.3562489690731,GHB_SP
39,40.0,2,39,spring,-3.3852228777217164,GHB_SP
40,41.0,2,40,spring,-3.413631682317636,GHB_SP
41,42.0,2,41,spring,-3.4359739753420513,GHB_SP
42,43.0,2,42,spring,-3.45967450575413,GHB_SP
43,44.0,2,43,spring,-3.469847781457979,GHB_SP
44,45.0,2,44,spring,-3.4964816830344887,GHB_SP
45,46.0,2,45,spring,-3.5124605710967813,GHB_SP
46,47.0,2,46,spring,-3.509987201238964,GHB_SP
47,48.0,2,47,spring,-3.504815559545932,GHB_SP
48,49.0,2,48,spring,-3.5130185146796222,GHB_SP
49,50.0,2,49,spring,-3.5181247094844963,GHB_SP
50,51.0,2,50,spring,-3.5260189861726445,GHB_SP
51,52.0,2,51,spring,-3.537309542365392,GHB_SP
52,53.0,2,52,spring,-3.5538571281032247,GHB_SP
53,54.0,3,1,spring,-1.6429423548311348,GHB_SP
54,55.0,4,1,spring,-1.674619483125035,GHB_SP
