kper,kstp,time,k,i,j,PWq
1,1,1.0,0,22,40,-90.91342476137588
1,1,1.0,0,23,40,-53.77466539136511
1,1,1.0,0,24,39,-26.883411802543655
1,1,1.0,0,25,39,-25.631653405274328
1,1,1.0,0,26,38,-95.03586730573383
1,1,1.0,0,27,38,-87.09175821158527
1,1,1.0,0,28,38,-6.561885926446735
1,1,1.0,0,29,37,-60.798916137482365
1,1,1.0,0,30,37,-35.38856074362235
1,1,1.0,0,31,37,-21.58772663497814
1,1,1.0,0,32,36,-32.93628267394183
1,1,1.0,0,33,36,-16.742814022417605
1,1,1.0,0,34,37,-4.902989746113349
1,1,1.0,0,35,37,-2.792071812987146
1,1,1.0,0,36,37,-2.460104090524993
1,1,1.0,0,37,37,-1.2976926763027379
1,1,1.0,0,38,37,-1.2750168049979393
1,1,1.0,0,39,38,-1.2368020053611488
1,1,1.0,0,40,38,-1.1108865493967173
1,1,1.0,0,41,38,-1.1736671423169227
1,1,1.0,0,42,38,-1.401995354547104
1,1,1.0,0,43,38,-1.5258062388102545
1,1,1.0,0,44,38,-1.6861844481902466
1,1,1.0,0,45,37,1.3207767843592357
1,1,1.0,0,45,38,-1.8268213209994357
2,1,2.0,0,22,40,-90.53823542823034
2,1,2.0,0,23,40,-53.592778791484825
2,1,2.0,0,24,39,-26.82130219411265
2,1,2.0,0,25,39,-25.636737660123522
2,1,2.0,0,26,38,-95.03715450654781
2,1,2.0,0,27,38,-87.1334563301937
2,1,2.0,0,28,38,-6.528470482586442
2,1,2.0,0,29,37,-60.83193272026432
2,1,2.0,0,30,37,-35.43501033425139
2,1,2.0,0,31,37,-21.632132310787085
2,1,2.0,0,32,36,-32.978723201763216
2,1,2.0,0,33,36,-16.77830938720828
2,1,2.0,0,34,37,-4.926620335675551
2,1,2.0,0,35,37,-2.809398592253089
2,1,2.0,0,36,37,-2.4710644606837775
2,1,2.0,0,37,37,-1.3049783206832615
2,1,2.0,0,38,37,-1.2813692682606614
2,1,2.0,0,39,38,-1.2429279183127235
2,1,2.0,0,40,38,-1.1163684967421545
2,1,2.0,0,41,38,-1.1786323982164575
2,1,2.0,0,42,38,-1.4065741947314692
2,1,2.0,0,43,38,-1.5300003038035968
2,1,2.0,0,44,38,-1.6899931779728519
2,1,2.0,0,45,37,1.3179694933130754
2,1,2.0,0,45,38,-1.8304356650032325
2,2,3.0,0,22,40,-90.02762274302061
2,2,3.0,0,23,40,-53.321056294793024
2,2,3.0,0,24,39,-26.716597301687923
2,2,3.0,0,25,39,-25.638758592197433
2,2,3.0,0,26,38,-95.00822899021162
2,2,3.0,0,27,38,-87.16478526237032
2,2,3.0,0,28,38,-6.510647715727885
2,2,3.0,0,29,37,-60.85356072250528
2,2,3.0,0,30,37,-35.47056043599656
2,2,3.0,0,31,37,-21.668175397436926
2,2,3.0,0,32,36,-33.01406749072561
2,2,3.0,0,33,36,-16.808061781212018
2,2,3.0,0,34,37,-4.946634688340026
2,2,3.0,0,35,37,-2.824162911012266
2,2,3.0,0,36,37,-2.480461454697874
2,2,3.0,0,37,37,-1.3112472550227068
2,2,3.0,0,38,37,-1.2868409738358295
2,2,3.0,0,39,38,-1.2482056769698033
2,2,3.0,0,40,38,-1.1210926247220243
2,2,3.0,0,41,38,-1.1829141123339468
2,2,3.0,0,42,38,-1.4105252947251152
2,2,3.0,0,43,38,-1.5336203117399911
2,2,3.0,0,44,38,-1.693281623567369
2,2,3.0,0,45,37,1.3155429193489354
2,2,3.0,0,45,38,-1.8335581206484477
2,3,4.0,0,22,40,-89.48303106934453
2,3,4.0,0,23,40,-53.01523710080347
2,3,4.0,0,24,39,-26.58905182139525
2,3,4.0,0,25,39,-25.6439003797895
2,3,4.0,0,26,38,-94.97470460620434
2,3,4.0,0,27,38,-87.22524008277966
2,3,4.0,0,28,38,-6.5310735274138665
2,3,4.0,0,29,37,-60.91525942438619
2,3,4.0,0,30,37,-35.54372891197886
2,3,4.0,0,31,37,-21.737451329042017
2,3,4.0,0,32,36,-33.08054673682818
2,3,4.0,0,33,36,-16.863974372123153
2,3,4.0,0,34,37,-4.984220553921148
2,3,4.0,0,35,37,-2.8518827511355767
2,3,4.0,0,36,37,-2.498101235194383
2,3,4.0,0,37,37,-1.3230143932356029
2,3,4.0,0,38,37,-1.297111661523779
2,3,4.0,0,39,38,-1.2581122151094704
2,3,4.0,0,40,38,-1.1299598980536274
2,3,4.0,0,41,38,-1.1909509104998932
2,3,4.0,0,42,38,-1.4179414914219315
2,3,4.0,0,43,38,-1.5404150222030246
2,3,4.0,0,44,38,-1.699453969350035
2,3,4.0,0,45,37,1.3109883283972579
2,3,4.0,0,45,38,-1.8394188778547758
2,4,5.0,0,22,40,-88.9131261676796
2,4,5.0,0,23,40,-52.68455417169058
2,4,5.0,0,24,39,-26.441984754343352
2,4,5.0,0,25,39,-25.64226809445902
2,4,5.0,0,26,38,-94.89803585465407
2,4,5.0,0,27,38,-87.24924312103238
2,4,5.0,0,28,38,-6.522482456153682
2,4,5.0,0,29,37,-60.93247268895573
2,4,5.0,0,30,37,-35.57706510970604
2,4,5.0,0,31,37,-21.773882062328198
2,4,5.0,0,32,36,-33.11771789673577
2,4,5.0,0,33,36,-16.89563020816044
2,4,5.0,0,34,37,-5.005962127767049
2,4,5.0,0,35,37,-2.8681144615037226
2,4,5.0,0,36,37,-2.508563307105547
2,4,5.0,0,37,37,-1.3300461291503325
2,4,5.0,0,38,37,-1.3032618392651898
2,4,5.0,0,39,38,-1.2640465667955993
2,4,5.0,0,40,38,-1.1352785917211676
2,4,5.0,0,41,38,-1.1957765404591782
2,4,5.0,0,42,38,-1.4223979959626014
2,4,5.0,0,43,38,-1.544501275550541
2,4,5.0,0,44,38,-1.7031688522208128
2,4,5.0,0,45,37,1.3082414535394236
2,4,5.0,0,45,38,-1.8429475236857478
2,5,6.0,0,22,40,-88.33791477837106
2,5,6.0,0,23,40,-52.34508857987406
2,5,6.0,0,24,39,-26.28453558496333
2,5,6.0,0,25,39,-25.63835941688803
2,5,6.0,0,26,38,-94.7972618802369
2,5,6.0,0,27,38,-87.26619101680467
2,5,6.0,0,28,38,-6.519723224957488
2,5,6.0,0,29,37,-60.94824660446005
2,5,6.0,0,30,37,-35.60807367781638
2,5,6.0,0,31,37,-21.808588503983117
2,5,6.0,0,32,36,-33.15381061442628
2,5,6.0,0,33,36,-16.92648300567646
2,5,6.0,0,34,37,-5.0273003877515805
2,5,6.0,0,35,37,-2.884117338813951
2,5,6.0,0,36,37,-2.5189294311796147
2,5,6.0,0,37,37,-1.3370346216779083
2,5,6.0,0,38,37,-1.3093796888592735
2,5,6.0,0,39,38,-1.2699504459400615
2,5,6.0,0,40,38,-1.140572746669541
2,5,6.0,0,41,38,-1.2005819686471426
2,5,6.0,0,42,38,-1.4268372810663728
2,5,6.0,0,43,38,-1.548573054502949
2,5,6.0,0,44,38,-1.7068717675251968
2,5,6.0,0,45,37,1.3055010822810438
2,5,6.0,0,45,38,-1.8464652988931434
2,6,7.0,0,22,40,-87.75601637118989
2,6,7.0,0,23,40,-51.99863595839433
2,6,7.0,0,24,39,-26.1190895177929
2,6,7.0,0,25,39,-25.629928739437396
2,6,7.0,0,26,38,-94.66438692260692
2,6,7.0,0,27,38,-87.2608440114189
2,6,7.0,0,28,38,-6.507730598665546
2,6,7.0,0,29,37,-60.94442069029003
2,6,7.0,0,30,37,-35.61998409198321
2,6,7.0,0,31,37,-21.82693899908196
2,6,7.0,0,32,36,-33.17530270667828
2,6,7.0,0,33,36,-16.94521859982723
2,6,7.0,0,34,37,-5.040687750771383
2,6,7.0,0,35,37,-2.8943521405060437
2,6,7.0,0,36,37,-2.5256935983169626
2,6,7.0,0,37,37,-1.3416488822396957
2,6,7.0,0,38,37,-1.313432660056769
2,6,7.0,0,39,38,-1.2738636466428304
2,6,7.0,0,40,38,-1.1440888227170376
2,6,7.0,0,41,38,-1.20377864870499
2,6,7.0,0,42,38,-1.4297940006720289
2,6,7.0,0,43,38,-1.5512882971379085
2,6,7.0,0,44,38,-1.7093440213832949
2,6,7.0,0,45,37,1.3036656241136413
2,6,7.0,0,45,38,-1.8488152181103246
2,7,8.0,0,22,40,-87.16863158945934
2,7,8.0,0,23,40,-51.647385178725656
2,7,8.0,0,24,39,-25.948076018623023
2,7,8.0,0,25,39,-25.61699817306986
2,7,8.0,0,26,38,-94.50052012335695
2,7,8.0,0,27,38,-87.23312710756099
2,7,8.0,0,28,38,-6.4893797308311605
2,7,8.0,0,29,37,-60.92349333139731
2,7,8.0,0,30,37,-35.61440192773722
2,7,8.0,0,31,37,-21.82974999202014
2,7,8.0,0,32,36,-33.18270326909743
2,7,8.0,0,33,36,-16.95220200575241
2,7,8.0,0,34,37,-5.0462844770823665
2,7,8.0,0,35,37,-2.8989045822646062
2,7,8.0,0,36,37,-2.528889621474221
2,7,8.0,0,37,37,-1.3439037032019456
2,7,8.0,0,38,37,-1.3154319929525045
2,7,8.0,0,39,38,-1.2757966026554115
2,7,8.0,0,40,38,-1.1458351533865212
2,7,8.0,0,41,38,-1.205373409355694
2,7,8.0,0,42,38,-1.4312739592729251
2,7,8.0,0,43,38,-1.5526518669728269
2,7,8.0,0,44,38,-1.7105896192325503
2,7,8.0,0,45,37,1.302732906888778
2,7,8.0,0,45,38,-1.8500008858841817
2,8,9.0,0,22,40,-86.61757328349782
2,8,9.0,0,23,40,-51.31722620751142
2,8,9.0,0,24,39,-25.785630654961142
2,8,9.0,0,25,39,-25.6186730854241
2,8,9.0,0,26,38,-94.38228375615907
2,8,9.0,0,27,38,-87.30519024775313
2,8,9.0,0,28,38,-6.562312631965995
2,8,9.0,0,29,37,-61.038093616656454
2,8,9.0,0,30,37,-35.73725387678246
2,8,9.0,0,31,37,-21.943079533442187
2,8,9.0,0,32,36,-33.291990153675215
2,8,9.0,0,33,36,-17.04432935514626
2,8,9.0,0,34,37,-5.108510016802342
2,8,9.0,0,35,37,-2.9449863712436155
2,8,9.0,0,36,37,-2.5583625363839673
2,8,9.0,0,37,37,-1.3636301818877143
2,8,9.0,0,38,37,-1.332668426273223
2,8,9.0,0,39,38,-1.2924235648572449
2,8,9.0,0,40,38,-1.1607265769847999
2,8,9.0,0,41,38,-1.2188767674607917
2,8,9.0,0,42,38,-1.4437392324396932
2,8,9.0,0,43,38,-1.564076792540309
2,8,9.0,0,44,38,-1.7209719330002748
2,8,9.0,0,45,37,1.2950640402994686
2,8,9.0,0,45,38,-1.8598605820411471
2,9,10.0,0,22,40,-86.07856544596082
2,9,10.0,0,23,40,-50.99395032200983
2,9,10.0,0,24,39,-25.625269981921253
2,9,10.0,0,25,39,-25.62365171342259
2,9,10.0,0,26,38,-94.26466255916344
2,9,10.0,0,27,38,-87.39898766942329
2,9,10.0,0,28,38,-6.629946561205543
2,9,10.0,0,29,37,-61.17577781843039
2,9,10.0,0,30,37,-35.892640679792805
2,9,10.0,0,31,37,-22.08784893372149
2,9,10.0,0,32,36,-33.43181912128699
2,9,10.0,0,33,36,-17.162380136322867
2,9,10.0,0,34,37,-5.188454116173858
2,9,10.0,0,35,37,-3.0042717270252126
2,9,10.0,0,36,37,-2.59633210448456
2,9,10.0,0,37,37,-1.389063422801243
2,9,10.0,0,38,37,-1.3548958345797573
2,9,10.0,0,39,38,-1.3138659394515173
2,9,10.0,0,40,38,-1.1799333685018851
2,9,10.0,0,41,38,-1.2362951295280453
2,9,10.0,0,42,38,-1.4598198376142761
2,9,10.0,0,43,38,-1.578816505039228
2,9,10.0,0,44,38,-1.7343676118451548
2,9,10.0,0,45,37,1.285167282393079
2,9,10.0,0,45,38,-1.8725824492344039
2,10,11.0,0,22,40,-85.53949585735097
2,10,11.0,0,23,40,-50.670461679284294
2,10,11.0,0,24,39,-25.463882582550895
2,10,11.0,0,25,39,-25.626312845912466
2,10,11.0,0,26,38,-94.12591459365845
2,10,11.0,0,27,38,-87.47653683927953
2,10,11.0,0,28,38,-6.6683201282266396
2,10,11.0,0,29,37,-61.28910663632388
2,10,11.0,0,30,37,-36.035519075427715
2,10,11.0,0,31,37,-22.225729173646982
2,10,11.0,0,32,36,-33.56732043785718
2,10,11.0,0,33,36,-17.277289771470265
2,10,11.0,0,34,37,-5.266884810470771
2,10,11.0,0,35,37,-3.062712922895912
2,10,11.0,0,36,37,-2.6339522365259995
2,10,11.0,0,37,37,-1.4143399641867447
2,10,11.0,0,38,37,-1.3770057124814485
2,10,11.0,0,39,38,-1.3351978362436157
2,10,11.0,0,40,38,-1.199051327127357
2,10,11.0,0,41,38,-1.2536404148811826
2,10,11.0,0,42,38,-1.4758381820165987
2,10,11.0,0,43,38,-1.593503909133954
2,10,11.0,0,44,38,-1.7477200675965143
2,10,11.0,0,45,37,1.2752940058181181
2,10,11.0,0,45,38,-1.8852651148206228
2,11,12.0,0,22,40,-84.99797024684766
2,11,12.0,0,23,40,-50.345411312153985
2,11,12.0,0,24,39,-25.301107190592912
2,11,12.0,0,25,39,-25.625558683744117
2,11,12.0,0,26,38,-93.96257169300912
2,11,12.0,0,27,38,-87.53063201510412
2,11,12.0,0,28,38,-6.685621193545558
2,11,12.0,0,29,37,-61.37408130514427
2,11,12.0,0,30,37,-36.15869941445726
2,11,12.0,0,31,37,-22.34975145294868
2,11,12.0,0,32,36,-33.69198700864956
2,11,12.0,0,33,36,-17.383557759395046
2,11,12.0,0,34,37,-5.3400716339349685
2,11,12.0,0,35,37,-3.1175569690780094
2,11,12.0,0,36,37,-2.669473809323577
2,11,12.0,0,37,37,-1.4382954176278702
2,11,12.0,0,38,37,-1.3979828760206843
2,11,12.0,0,39,38,-1.3554399472382528
2,11,12.0,0,40,38,-1.217204223527716
2,11,12.0,0,41,38,-1.270118749458348
2,11,12.0,0,42,38,-1.4910619095697157
2,11,12.0,0,43,38,-1.6074682176835537
2,11,12.0,0,44,38,-1.7604201321835262
2,11,12.0,0,45,37,1.2658933242172132
2,11,12.0,0,45,38,-1.8973301998579615
2,12,13.0,0,22,40,-84.45887649773395
2,12,13.0,0,23,40,-50.02178148193506
2,12,13.0,0,24,39,-25.138667326113396
2,12,13.0,0,25,39,-25.623665226220517
2,12,13.0,0,26,38,-93.78456788347006
2,12,13.0,0,27,38,-87.57605251908387
2,12,13.0,0,28,38,-6.702151483564535
2,12,13.0,0,29,37,-61.45338965872554
2,12,13.0,0,30,37,-36.28105130228067
2,12,13.0,0,31,37,-22.47539225420178
2,12,13.0,0,32,36,-33.81989001024567
2,12,13.0,0,33,36,-17.492871670833182
2,12,13.0,0,34,37,-5.415696593520494
2,12,13.0,0,35,37,-3.1744074277270755
2,12,13.0,0,36,37,-2.7064248292092827
2,12,13.0,0,37,37,-1.4632696234503655
2,12,13.0,0,38,37,-1.4198669176052263
2,12,13.0,0,39,38,-1.3765587351323205
2,12,13.0,0,40,38,-1.2361504744797074
2,12,13.0,0,41,38,-1.2873226182700677
2,12,13.0,0,42,38,-1.5069596850870255
2,12,13.0,0,43,38,-1.6220542449583846
2,12,13.0,0,44,38,-1.7736887373915948
2,12,13.0,0,45,37,1.2560656224148303
2,12,13.0,0,45,38,-1.9099366421606412
2,13,14.0,0,22,40,-83.88568156345339
2,13,14.0,0,23,40,-49.677641412532935
2,13,14.0,0,24,39,-24.96558268537456
2,13,14.0,0,25,39,-25.603818293244892
2,13,14.0,0,26,38,-93.52609182297013
2,13,14.0,0,27,38,-87.50467062373357
2,13,14.0,0,28,38,-6.632431222893331
2,13,14.0,0,29,37,-61.39452457134121
2,13,14.0,0,30,37,-36.27526306552005
2,13,14.0,0,31,37,-22.492073303923178
2,13,14.0,0,32,36,-33.84909568499813
2,13,14.0,0,33,36,-17.520021665550615
2,13,14.0,0,34,37,-5.43702441501344
2,13,14.0,0,35,37,-3.191657904795548
2,13,14.0,0,36,37,-2.718488822679504
2,13,14.0,0,37,37,-1.4717714935073403
2,13,14.0,0,38,37,-1.4274068326422196
2,13,14.0,0,39,38,-1.3838465218341156
2,13,14.0,0,40,38,-1.242733737663059
2,13,14.0,0,41,38,-1.2933340486478784
2,13,14.0,0,42,38,-1.5125381450824626
2,13,14.0,0,43,38,-1.6271938134012949
2,13,14.0,0,44,38,-1.778383470012411
2,13,14.0,0,45,37,1.252550162061958
2,13,14.0,0,45,38,-1.9144051179754413
2,14,15.0,0,22,40,-83.30035918590231
2,14,15.0,0,23,40,-49.326208394532564
2,14,15.0,0,24,39,-24.788640446550026
2,14,15.0,0,25,39,-25.57623488615733
2,14,15.0,0,26,38,-93.2294090330141
2,14,15.0,0,27,38,-87.38636500536236
2,14,15.0,0,28,38,-6.562915536827234
2,14,15.0,0,29,37,-61.299714904699044
2,14,15.0,0,30,37,-36.228691781030136
2,14,15.0,0,31,37,-22.471475323984237
2,14,15.0,0,32,36,-33.84411354991903
2,14,15.0,0,33,36,-17.518531139719897
2,14,15.0,0,34,37,-5.43915612800734
2,14,15.0,0,35,37,-3.1948407437712802
