time,spring,awanui,poukawa,pk4,kper,kstp,pk4-spr-diff,pk4-conf-diff
1.0,7.993252607773905,8.659113156998119,7.876958013679136,7.993252607773905,1,1,-0.40325260777390515,6.006747392226095
2.0,7.9930870164569665,8.65897752093059,7.876779695148968,7.9930870164569665,2,1,-0.40308701645696665,5.957939303543034
3.0,7.992922485569357,8.65887587313487,7.876591426561379,7.992922485569357,2,2,-0.4029224855693574,5.909130144430643
4.0,7.99275900053431,8.658807794876175,7.876384479768936,7.99275900053431,2,3,-0.40275900053431,5.860319949465691
5.0,7.99258763404558,8.658795075899107,7.876166550372613,7.99258763404558,2,4,-0.40396852404558015,5.81151762595442
6.0,7.9924094226199704,8.658838983937004,7.875937780186945,7.9924094226199704,2,5,-0.4050271626199704,5.76272215738003
7.0,7.992217254279584,8.658933822942345,7.875702038280304,7.992217254279584,2,6,-0.40718787427958425,5.713940635720416
8.0,7.99201894644768,8.659077033718548,7.875463145052934,7.99201894644768,2,7,-0.4081602464476797,5.66516526355232
9.0,7.991814890781451,8.659255913223298,7.875193180118198,7.991814890781451,2,8,-0.4090784107814507,5.616395639218548
10.0,7.991605823273318,8.659456379324586,7.87488322043403,7.991605823273318,2,9,-0.40988880327331767,5.567631016726683
11.0,7.9913823783932,8.659689874106881,7.8745337792688614,7.9913823783932,2,10,-0.4121454083931999,5.518880781606799
12.0,7.991150686004978,8.659980638566475,7.87414722969789,7.991150686004978,2,11,-0.41347322600497805,5.470138783995022
13.0,7.990902238462552,8.660314598008906,7.873722188038234,7.990902238462552,2,12,-0.4161183384625522,5.421413551537447
14.0,7.990638756590605,8.660680322162891,7.873285253802376,7.990638756590605,2,13,-0.41851546659060457,5.372703353409395
15.0,7.990363961158797,8.661081676548635,7.872845911829619,7.990363961158797,2,14,-0.42035451115879763,5.324004458841202
16.0,7.990073076837923,8.661551325468816,7.872407933629028,7.990073076837923,2,15,-0.4229388668379235,5.275321663162076
17.0,7.989767857317765,8.662084613215576,7.871971313645242,7.989767857317765,2,16,-0.42526855731776525,5.226653192682234
18.0,7.9894545829464105,8.66267438645572,7.871537909819183,7.9894545829464105,2,17,-0.4266445529464109,5.177992787053589
19.0,7.989135543600653,8.663324002526123,7.871107691405454,7.989135543600653,2,18,-0.4276739336006523,5.129338136399347
20.0,7.988811360958671,8.664028873118765,7.870680627142663,7.988811360958671,2,19,-0.42861085095867146,5.080688639041329
21.0,7.988486331396113,8.664788881480204,7.870254821026437,7.988486331396113,2,20,-0.4288889213961129,5.032039988603887
22.0,7.988148487405363,8.665585854629217,7.869832128821719,7.988148487405363,2,21,-0.4310068574053627,4.983404142594637
23.0,7.98779646231034,8.666418235232937,7.86941065348474,7.98779646231034,2,22,-0.4333460823103401,4.93478248768966
24.0,7.987419308028342,8.667281943841523,7.868992249810188,7.987419308028342,2,23,-0.43738271802834205,4.886185951971657
