kper,kstp,time,k,i,j,AWq
1,1,1.0,0,0,25,-3.4430426048472214
1,1,1.0,0,1,24,-3.2540830328209154
1,1,1.0,0,2,22,-1.6869567917958648
1,1,1.0,0,2,23,-2.7903094392927983
1,1,1.0,0,3,21,-1.4846188166378056
1,1,1.0,0,4,21,-2.013214367440355
1,1,1.0,0,5,20,-1.3317180863375313
1,1,1.0,0,6,20,-1.5430775577327154
1,1,1.0,0,7,20,-1.9652414113724035
1,1,1.0,0,8,19,-1.2966401748110457
1,1,1.0,0,9,19,-1.5362609069545101
1,1,1.0,0,10,18,-1.0125451872832798
1,1,1.0,0,11,18,-1.2068752355805898
1,1,1.0,0,12,16,-1.216142695217286
1,1,1.0,0,12,17,-1.4373205297746452
1,1,1.0,0,13,14,-1.4483329338103346
1,1,1.0,0,13,15,-1.8210388653803449
1,1,1.0,0,14,12,-1.620928682875622
1,1,1.0,0,14,13,-2.094510246469639
1,1,1.0,0,15,9,-1.44152608262511
1,1,1.0,0,15,10,-1.749506461419628
1,1,1.0,0,15,11,-2.3253188623665366
1,1,1.0,0,16,7,-1.4873600948672916
1,1,1.0,0,16,8,-2.0518677337906865
1,1,1.0,0,17,4,-1.1529073496274975
1,1,1.0,0,17,5,-1.4409825377658407
1,1,1.0,0,17,6,-2.0058048128820616
1,1,1.0,0,18,2,-1.170756315390669
1,1,1.0,0,18,3,-1.6305353178469915
1,1,1.0,0,19,0,-1.3221079830598583
1,1,1.0,0,19,1,-1.6807787530297205
2,1,2.0,0,0,25,-3.629071731262627
2,1,2.0,0,1,24,-3.435996961323326
2,1,2.0,0,2,22,-1.8419235314887032
2,1,2.0,0,2,23,-2.9617291359899696
2,1,2.0,0,3,21,-1.6247863461489658
2,1,2.0,0,4,21,-2.1489995520757645
2,1,2.0,0,5,20,-1.4449317544228393
2,1,2.0,0,6,20,-1.648342208762699
2,1,2.0,0,7,20,-2.0627278627070496
2,1,2.0,0,8,19,-1.3736337689890519
2,1,2.0,0,9,19,-1.6029553108317458
2,1,2.0,0,10,18,-1.0619947880017264
2,1,2.0,0,11,18,-1.2463310768075146
2,1,2.0,0,12,16,-1.253412166274586
2,1,2.0,0,12,17,-1.4730068648413166
2,1,2.0,0,13,14,-1.486942862704808
2,1,2.0,0,13,15,-1.8588598153761993
2,1,2.0,0,14,12,-1.6604839669212978
2,1,2.0,0,14,13,-2.1332972208884584
2,1,2.0,0,15,9,-1.4822859126813768
2,1,2.0,0,15,10,-1.7895011992162395
2,1,2.0,0,15,11,-2.364876742395481
2,1,2.0,0,16,7,-1.5263730911000124
2,1,2.0,0,16,8,-2.091386895292345
2,1,2.0,0,17,4,-1.1894803497124329
2,1,2.0,0,17,5,-1.47786381796476
2,1,2.0,0,17,6,-2.043277501034339
2,1,2.0,0,18,2,-1.2052786706642138
2,1,2.0,0,18,3,-1.6655754351908385
2,1,2.0,0,19,0,-1.3548337616380053
2,1,2.0,0,19,1,-1.714150958761202
2,2,3.0,0,0,25,-3.7776454801248747
2,2,3.0,0,1,24,-3.5816870621503085
2,2,3.0,0,2,22,-1.962688843502292
2,2,3.0,0,2,23,-3.1004052815561636
2,2,3.0,0,3,21,-1.7370364276901569
2,2,3.0,0,4,21,-2.2617111173673834
2,2,3.0,0,5,20,-1.5377439013130072
2,2,3.0,0,6,20,-1.7357881375202169
2,2,3.0,0,7,20,-2.1455770966579166
2,2,3.0,0,8,19,-1.4407615905309399
2,2,3.0,0,9,19,-1.6616475167512732
2,2,3.0,0,10,18,-1.1061426426069687
2,2,3.0,0,11,18,-1.281900182421495
2,2,3.0,0,12,16,-1.2872423132489317
2,2,3.0,0,12,17,-1.5053721130296438
2,2,3.0,0,13,14,-1.5217804372619526
2,2,3.0,0,13,15,-1.89327951472999
2,2,3.0,0,14,12,-1.6960556878074087
2,2,3.0,0,14,13,-2.1684184614746655
2,2,3.0,0,15,9,-1.5187582436236866
2,2,3.0,0,15,10,-1.8253963363740695
2,2,3.0,0,15,11,-2.4007144684840895
2,2,3.0,0,16,7,-1.5612934347197012
2,2,3.0,0,16,8,-2.126963847262253
2,2,3.0,0,17,4,-1.2221955039219878
2,2,3.0,0,17,5,-1.5109069299609885
2,2,3.0,0,17,6,-2.077106897775714
2,2,3.0,0,18,2,-1.23609852318814
2,2,3.0,0,18,3,-1.6970991111578755
2,2,3.0,0,19,0,-1.3840062871758931
2,2,3.0,0,19,1,-1.7442127147869328
2,3,4.0,0,0,25,-3.9068102967146956
2,3,4.0,0,1,24,-3.707963823821956
2,3,4.0,0,2,22,-2.0638267376519366
2,3,4.0,0,2,23,-3.2211142841207447
2,3,4.0,0,3,21,-1.8327886145549996
2,3,4.0,0,4,21,-2.3613128322488706
2,3,4.0,0,5,20,-1.6182476162737487
2,3,4.0,0,6,20,-1.812591784027859
2,3,4.0,0,7,20,-2.220090424543912
2,3,4.0,0,8,19,-1.5019939789559231
2,3,4.0,0,9,19,-1.7158196178219498
2,3,4.0,0,10,18,-1.1472602835115708
2,3,4.0,0,11,18,-1.3153668753612848
2,3,4.0,0,12,16,-1.319215043642302
2,3,4.0,0,12,17,-1.5359884499842025
2,3,4.0,0,13,14,-1.554535612141791
2,3,4.0,0,13,15,-1.9259279703925074
2,3,4.0,0,14,12,-1.7293998752650808
2,3,4.0,0,14,13,-2.201589409544816
2,3,4.0,0,15,9,-1.5527851017527041
2,3,4.0,0,15,10,-1.8589871882750444
2,3,4.0,0,15,11,-2.4345735328181632
2,3,4.0,0,16,7,-1.5938870471694742
2,3,4.0,0,16,8,-2.1603960686304973
2,3,4.0,0,17,4,-1.2527062846444537
2,3,4.0,0,17,5,-1.5417778499281667
2,3,4.0,0,17,6,-2.108969771059563
2,3,4.0,0,18,2,-1.264797411441343
2,3,4.0,0,18,3,-1.72669921576464
2,3,4.0,0,19,0,-1.4111390120059895
2,3,4.0,0,19,1,-1.77246566240143
2,4,5.0,0,0,25,-4.142116602791873
2,4,5.0,0,1,24,-3.9372604338300334
2,4,5.0,0,2,22,-2.2504295027953276
2,4,5.0,0,2,23,-3.4387162925651182
2,4,5.0,0,3,21,-2.0060855198519505
2,4,5.0,0,4,21,-2.53798875250925
2,4,5.0,0,5,20,-1.7619348469812905
2,4,5.0,0,6,20,-1.9487416719250632
2,4,5.0,0,7,20,-2.350817548789024
2,4,5.0,0,8,19,-1.6075442398000348
2,4,5.0,0,9,19,-1.8091297628818523
2,4,5.0,0,10,18,-1.2175484744527836
2,4,5.0,0,11,18,-1.3724938018345796
2,4,5.0,0,12,16,-1.3735129682834355
2,4,5.0,0,12,17,-1.5881302939257864
2,4,5.0,0,13,14,-1.610359052616154
2,4,5.0,0,13,15,-1.9813551856812666
2,4,5.0,0,14,12,-1.7863251680624828
2,4,5.0,0,14,13,-2.258075376986099
2,4,5.0,0,15,9,-1.6110207823559648
2,4,5.0,0,15,10,-1.9164034214901733
2,4,5.0,0,15,11,-2.4921896014581364
2,4,5.0,0,16,7,-1.6497075860103863
2,4,5.0,0,16,8,-2.2175312861378984
2,4,5.0,0,17,4,-1.305029886839776
2,4,5.0,0,17,5,-1.5946731228392608
2,4,5.0,0,17,6,-2.163358638877547
2,4,5.0,0,18,2,-1.3141456131995852
2,4,5.0,0,18,3,-1.7774005840793947
2,4,5.0,0,19,0,-1.4579014739020764
2,4,5.0,0,19,1,-1.8208472641991236
2,5,6.0,0,0,25,-4.3578854870143005
2,5,6.0,0,1,24,-4.147148995296334
2,5,6.0,0,2,22,-2.416310899950304
2,5,6.0,0,2,23,-3.638680309961501
2,5,6.0,0,3,21,-2.1625290054767845
2,5,6.0,0,4,21,-2.7024636637681283
2,5,6.0,0,5,20,-1.8935126307608812
2,5,6.0,0,6,20,-2.0748709589480256
2,5,6.0,0,7,20,-2.4744598278556396
2,5,6.0,0,8,19,-1.7084068436057578
2,5,6.0,0,9,19,-1.8992817606777663
2,5,6.0,0,10,18,-1.2859058421885408
2,5,6.0,0,11,18,-1.4285493362652133
2,5,6.0,0,12,16,-1.426983128379348
2,5,6.0,0,12,17,-1.6395317379854575
2,5,6.0,0,13,14,-1.6650905413417547
2,5,6.0,0,13,15,-2.036142831728185
2,5,6.0,0,14,12,-1.8419916406464054
2,5,6.0,0,14,13,-2.3137071059687173
2,5,6.0,0,15,9,-1.667730318202267
2,5,6.0,0,15,10,-1.9724739849631163
2,5,6.0,0,15,11,-2.548951088421454
2,5,6.0,0,16,7,-1.7040924407718165
2,5,6.0,0,16,8,-2.2735632947450597
