kper,kstp,time,k,i,j,SPq
1,1,1.0,0,12,18,0.26201008725197283
1,1,1.0,0,12,24,-1.1115578957799812
1,1,1.0,0,12,25,-1.3978100593256215
1,1,1.0,0,13,19,-0.5629897584868218
1,1,1.0,0,13,23,-1.3322690909451183
1,1,1.0,0,13,26,-1.782354836439083
1,1,1.0,0,14,19,-1.285596706279101
1,1,1.0,0,14,20,-1.3375546842118666
1,1,1.0,0,14,21,-1.4625497656305129
1,1,1.0,0,14,22,-1.699802284058876
1,1,1.0,0,14,26,-1.9507422973040605
1,1,1.0,0,15,27,-2.3693681809957923
1,1,1.0,0,16,27,-2.3555316990853328
1,1,1.0,0,17,27,-2.5390191813862657
1,1,1.0,0,18,27,-3.0459041278083134
1,1,1.0,0,19,25,-2.8166980620085553
1,1,1.0,0,19,26,-2.9873062153776146
1,1,1.0,0,20,24,-3.1426116728259075
1,1,1.0,0,21,24,-3.130260559668642
1,1,1.0,0,22,24,-4.033748463997853
1,1,1.0,0,23,23,-6.083113808356252
2,1,2.0,0,12,18,0.26354090659074814
2,1,2.0,0,12,24,-1.1071540694766213
2,1,2.0,0,12,25,-1.3928994238452503
2,1,2.0,0,13,19,-0.5614025059245904
2,1,2.0,0,13,23,-1.3286690068507596
2,1,2.0,0,13,26,-1.7773632781645858
2,1,2.0,0,14,19,-1.284092150360209
2,1,2.0,0,14,20,-1.3355615850958458
2,1,2.0,0,14,21,-1.4601476705831828
2,1,2.0,0,14,22,-1.6970018128924096
2,1,2.0,0,14,26,-1.9464806062715638
2,1,2.0,0,15,27,-2.3653322125877025
2,1,2.0,0,16,27,-2.3519879073830054
2,1,2.0,0,17,27,-2.535892485966002
2,1,2.0,0,18,27,-3.0431645690294715
2,1,2.0,0,19,25,-2.8146386213782932
2,1,2.0,0,19,26,-2.9851334563405487
2,1,2.0,0,20,24,-3.141033745566901
2,1,2.0,0,21,24,-3.1289748389627334
2,1,2.0,0,22,24,-4.032660595399939
2,1,2.0,0,23,23,-6.0820602303761575
2,2,3.0,0,12,18,0.2651805647638241
2,2,3.0,0,12,24,-1.1033303277552875
2,2,3.0,0,12,25,-1.3886720856281727
2,2,3.0,0,13,19,-0.5599077294761798
2,2,3.0,0,13,23,-1.3254476181446364
2,2,3.0,0,13,26,-1.7730770430849532
2,2,3.0,0,14,19,-1.2826758871029469
2,2,3.0,0,14,20,-1.3337215758990482
2,2,3.0,0,14,21,-1.4579534656493536
2,2,3.0,0,14,22,-1.6944516606604054
2,2,3.0,0,14,26,-1.9427204140132517
2,2,3.0,0,15,27,-2.3617502011510965
2,2,3.0,0,16,27,-2.34885697576442
2,2,3.0,0,17,27,-2.5331028500515913
2,2,3.0,0,18,27,-3.040677068670533
2,2,3.0,0,19,25,-2.8127309799703113
2,2,3.0,0,19,26,-2.983114231596261
2,2,3.0,0,20,24,-3.1395442931987247
2,2,3.0,0,21,24,-3.1277546018203637
2,2,3.0,0,22,24,-4.031618530105007
2,2,3.0,0,23,23,-6.0810496579670925
2,3,4.0,0,12,18,0.26699301672707065
2,3,4.0,0,12,24,-1.0999199751360607
2,3,4.0,0,12,25,-1.384917791913466
2,3,4.0,0,13,19,-0.5584915394969912
2,3,4.0,0,13,23,-1.322503573873064
2,3,4.0,0,13,26,-1.769274413996584
2,3,4.0,0,14,19,-1.2813384855693783
2,3,4.0,0,14,20,-1.3320121531698987
2,3,4.0,0,14,21,-1.4559315794911214
2,3,4.0,0,14,22,-1.6920991283308524
2,3,4.0,0,14,26,-1.9393279227667222
2,3,4.0,0,15,27,-2.3584984277843546
2,3,4.0,0,16,27,-2.3460369840753685
2,3,4.0,0,17,27,-2.5305747043660745
2,3,4.0,0,18,27,-3.038388295201841
2,3,4.0,0,19,25,-2.8109481407205976
2,3,4.0,0,19,26,-2.9812229818409293
2,3,4.0,0,20,24,-3.1381307710764332
2,3,4.0,0,21,24,-3.12659314638465
2,3,4.0,0,22,24,-4.03061785053054
2,3,4.0,0,23,23,-6.080076993481079
2,4,5.0,0,12,18,0.25984262472246655
2,4,5.0,0,12,24,-1.1253049328149984
2,4,5.0,0,12,25,-1.4132797481354942
2,4,5.0,0,13,19,-0.5678684224751578
2,4,5.0,0,13,23,-1.343499239728743
2,4,5.0,0,13,26,-1.7982034057684757
2,4,5.0,0,14,19,-1.290499503359861
2,4,5.0,0,14,20,-1.3438038157754875
2,4,5.0,0,14,21,-1.4703459305158617
2,4,5.0,0,14,22,-1.7091271987391679
2,4,5.0,0,14,26,-1.96629650887607
2,4,5.0,0,15,27,-2.3854057802040813
2,4,5.0,0,16,27,-2.3700944443392586
2,4,5.0,0,17,27,-2.551747581195457
2,4,5.0,0,18,27,-3.0565805414604483
2,4,5.0,0,19,25,-2.8243123157410963
2,4,5.0,0,19,26,-2.995480075353896
2,4,5.0,0,20,24,-3.1485791386334228
2,4,5.0,0,21,24,-3.1349173448776355
2,4,5.0,0,22,24,-4.037783013193739
2,4,5.0,0,23,23,-6.087007419676581
2,5,6.0,0,12,18,0.25446122416913397
2,5,6.0,0,12,24,-1.1446414124211515
2,5,6.0,0,12,25,-1.4347188650096143
2,5,6.0,0,13,19,-0.5756100329114417
2,5,6.0,0,13,23,-1.359998759897536
2,5,6.0,0,13,26,-1.8200440464316614
2,5,6.0,0,14,19,-1.298067139864294
2,5,6.0,0,14,20,-1.353376599681937
2,5,6.0,0,14,21,-1.4818843385893956
2,5,6.0,0,14,22,-1.722694854565944
2,5,6.0,0,14,26,-1.9869780618563198
2,5,6.0,0,15,27,-2.406284686289524
2,5,6.0,0,16,27,-2.388766554940048
2,5,6.0,0,17,27,-2.5683768329357974
2,5,6.0,0,18,27,-3.071118529536534
2,5,6.0,0,19,25,-2.8352178083420227
2,5,6.0,0,19,26,-3.007073974991087
2,5,6.0,0,20,24,-3.1572476659396926
2,5,6.0,0,21,24,-3.14187101123413
2,5,6.0,0,22,24,-4.043823966589827
2,5,6.0,0,23,23,-6.092869862143722
2,6,7.0,0,12,18,0.2423480755585885
2,6,7.0,0,12,24,-1.185163357526477
2,6,7.0,0,12,25,-1.479747612731444
2,6,7.0,0,13,19,-0.5916286605694623
2,6,7.0,0,13,23,-1.3944211891970042
2,6,7.0,0,13,26,-1.8659166027009917
2,6,7.0,0,14,19,-1.3136693331227747
2,6,7.0,0,14,20,-1.3731591990769658
2,6,7.0,0,14,21,-1.5057486209817057
2,6,7.0,0,14,22,-1.7508140196505906
2,6,7.0,0,14,26,-2.0300502768137108
2,6,7.0,0,15,27,-2.449544450027986
2,6,7.0,0,16,27,-2.427277018651438
2,6,7.0,0,17,27,-2.60259073674095
2,6,7.0,0,18,27,-3.101039798472499
2,6,7.0,0,19,25,-2.8576466711486574
2,6,7.0,0,19,26,-3.0309277250414794
2,6,7.0,0,20,24,-3.1750410580763173
2,6,7.0,0,21,24,-3.156145576835513
2,6,7.0,0,22,24,-4.056217366681359
2,6,7.0,0,23,23,-6.104903203322301
2,7,8.0,0,12,18,0.23922350381403135
2,7,8.0,0,12,24,-1.1972685078850418
2,7,8.0,0,12,25,-1.4929378825015078
2,7,8.0,0,13,19,-0.5976543047105878
2,7,8.0,0,13,23,-1.4058013720197096
2,7,8.0,0,13,26,-1.8793055252046997
2,7,8.0,0,14,19,-1.3195322939918626
2,7,8.0,0,14,20,-1.3802087004120267
2,7,8.0,0,14,21,-1.5139133121074195
2,7,8.0,0,14,22,-1.7604046583972774
2,7,8.0,0,14,26,-2.0432093387670136
2,7,8.0,0,15,27,-2.4633345933940234
2,7,8.0,0,16,27,-2.4394161022358105
2,7,8.0,0,17,27,-2.6137526309710495
2,7,8.0,0,18,27,-3.111381852988515
2,7,8.0,0,19,25,-2.865876973025834
2,7,8.0,0,19,26,-3.039586195458895
2,7,8.0,0,20,24,-3.1818910380712424
2,7,8.0,0,21,24,-3.1617210559957414
2,7,8.0,0,22,24,-4.061205005736554
2,7,8.0,0,23,23,-6.109807869523614
2,8,9.0,0,12,18,0.23701407248812956
2,8,9.0,0,12,24,-1.2082672277140034
2,8,9.0,0,12,25,-1.505007234169227
2,8,9.0,0,13,19,-0.6030797492777111
2,8,9.0,0,13,23,-1.41615180654685
2,8,9.0,0,13,26,-1.8915573645846848
2,8,9.0,0,14,19,-1.3247890691670179
2,8,9.0,0,14,20,-1.3864778011101606
2,8,9.0,0,14,21,-1.5211536880446062
2,8,9.0,0,14,22,-1.7690147616241347
2,8,9.0,0,14,26,-2.055103550933154
2,8,9.0,0,15,27,-2.475836005674779
2,8,9.0,0,16,27,-2.4502591857498714
2,8,9.0,0,17,27,-2.6236954889668027
2,8,9.0,0,18,27,-3.12068474368958
2,8,9.0,0,19,25,-2.873312733563594
2,8,9.0,0,19,26,-3.047386396742496
2,8,9.0,0,20,24,-3.1881149961712936
2,8,9.0,0,21,24,-3.166775458470056
2,8,9.0,0,22,24,-4.065768857812273
2,8,9.0,0,23,23,-6.114326626858151
2,9,10.0,0,12,18,0.23598086462518353
2,9,10.0,0,12,24,-1.217076517192794
2,9,10.0,0,12,25,-1.5146879620625668
2,9,10.0,0,13,19,-0.6075190342428911
2,9,10.0,0,13,23,-1.4245700424121708
2,9,10.0,0,13,26,-1.9013641308517322
2,9,10.0,0,14,19,-1.3290737844437785
2,9,10.0,0,14,20,-1.3915082274318422
2,9,10.0,0,14,21,-1.5269212818916742
2,9,10.0,0,14,22,-1.77596861506494
2,9,10.0,0,14,26,-2.0646000535408575
2,9,10.0,0,15,27,-2.4859234709991256
2,9,10.0,0,16,27,-2.458882689933148
2,9,10.0,0,17,27,-2.631621766439366
2,9,10.0,0,18,27,-3.128239855589399
2,9,10.0,0,19,25,-2.8794272133754504
2,9,10.0,0,19,26,-3.0537659667504187
2,9,10.0,0,20,24,-3.193291424047999
2,9,10.0,0,21,24,-3.1709711287003657
2,9,10.0,0,22,24,-4.0696120840296786
2,9,10.0,0,23,23,-6.11817065832382
2,10,11.0,0,12,18,0.22558558226651826
2,10,11.0,0,12,24,-1.2561263855122036
2,10,11.0,0,12,25,-1.5581281208366988
2,10,11.0,0,13,19,-0.6231693673869003
2,10,11.0,0,13,23,-1.4580438911283409
2,10,11.0,0,13,26,-1.9455610456376462
2,10,11.0,0,14,19,-1.3442537389711333
2,10,11.0,0,14,20,-1.4105527025528914
2,10,11.0,0,14,21,-1.5497881929921817
2,10,11.0,0,14,22,-1.8031572238741802
2,10,11.0,0,14,26,-2.105945049676677
2,10,11.0,0,15,27,-2.5276425744299047
2,10,11.0,0,16,27,-2.495654049170554
2,10,11.0,0,17,27,-2.664320507487389
2,10,11.0,0,18,27,-3.1571937789301074
2,10,11.0,0,19,25,-2.901343480449654
2,10,11.0,0,19,26,-3.076984742258489
2,10,11.0,0,20,24,-3.2108354689316485
2,10,11.0,0,21,24,-3.185033998038044
2,10,11.0,0,22,24,-4.081969699490152
2,10,11.0,0,23,23,-6.130278326554482
2,11,12.0,0,12,18,0.2222827904514446
2,11,12.0,0,12,24,-1.2726816585674214
2,11,12.0,0,12,25,-1.5763070373280925
2,11,12.0,0,13,19,-0.630932719382649
2,11,12.0,0,13,23,-1.4732836294043068
2,11,12.0,0,13,26,-1.9639568208681624
2,11,12.0,0,14,19,-1.3517583208477433
2,11,12.0,0,14,20,-1.4195646400368958
2,11,12.0,0,14,21,-1.560296997144377
2,11,12.0,0,14,22,-1.8157466803503581
2,11,12.0,0,14,26,-2.1236065678031366
2,11,12.0,0,15,27,-2.546056444517262
2,11,12.0,0,16,27,-2.5116397346317854
2,11,12.0,0,17,27,-2.678872385787116
2,11,12.0,0,18,27,-3.170733716617633
2,11,12.0,0,19,25,-2.9120924895265006
2,11,12.0,0,19,26,-3.088242241815678
2,11,12.0,0,20,24,-3.2197716628314197
2,11,12.0,0,21,24,-3.192248923214933
2,11,12.0,0,22,24,-4.08850360186014
2,11,12.0,0,23,23,-6.13679185301163
2,12,13.0,0,12,18,0.21061002511889626
2,12,13.0,0,12,24,-1.316396049212841
2,12,13.0,0,12,25,-1.6248408973835637
2,12,13.0,0,13,19,-0.6487853357308424
2,12,13.0,0,13,23,-1.5110589689863616
2,12,13.0,0,13,26,-2.013274576834192
2,12,13.0,0,14,19,-1.3690660931118117
2,12,13.0,0,14,20,-1.441163447912956
2,12,13.0,0,14,21,-1.5861513094030926
2,12,13.0,0,14,22,-1.8465188107404344
2,12,13.0,0,14,26,-2.169860477497565
2,12,13.0,0,15,27,-2.592903413716442
2,12,13.0,0,16,27,-2.5528672957143783
2,12,13.0,0,17,27,-2.715643801364223
2,12,13.0,0,18,27,-3.2035053016623323
2,12,13.0,0,19,25,-2.9370662204194957
2,12,13.0,0,19,26,-3.1146499632782394
2,12,13.0,0,20,24,-3.2398597081950555
2,12,13.0,0,21,24,-3.2083605451539086
2,12,13.0,0,22,24,-4.102729479141956
2,12,13.0,0,23,23,-6.150782923150928
