,kstp,present_q,past_q,diff
0,ss,-0.20784207337728022,-0.1698073124115418,0.038034760965738434
1,1,-0.20782508903353158,-0.17003333769417572,0.03779175133935586
2,2,-0.2078081916956327,-0.17024982116518217,0.037558370530450524
3,3,-0.20779137082518107,-0.1704652700584458,0.03732610076673526
4,4,-0.20789960416333997,-0.17083073494563694,0.03706886921770303
5,5,-0.20799479259362075,-0.17120769110792344,0.036787101485697304
6,6,-0.20819099398724694,-0.17154883341951255,0.036642160567734394
7,7,-0.2082801363004616,-0.1718752235924974,0.0364049127079642
8,8,-0.2083648986405222,-0.17211773248558904,0.036247166154933175
9,9,-0.2084403671042624,-0.17226635232231524,0.03617401478194715
10,10,-0.20864804649333102,-0.17249401283817845,0.03615403365515257
11,11,-0.20877234337741324,-0.17288833686836735,0.035884006509045885
12,12,-0.20901737446433277,-0.17318987386592755,0.035827500598405226
13,13,-0.20924124256192345,-0.1734159222892342,0.035825320272689254
14,14,-0.20941556076494727,-0.1736699660559906,0.03574559470895666
15,15,-0.20965876453156163,-0.17414809634311879,0.03551066818844284
16,16,-0.20988014926468657,-0.1745980507175764,0.035282098547110174
17,17,-0.2100158923704334,-0.175002615827216,0.0350132765432174
18,18,-0.21012078353229013,-0.17543293844225116,0.03468784509003897
19,19,-0.21021778507519207,-0.17583513315069366,0.03438265192449841
20,20,-0.2102552451664531,-0.1762393889593895,0.0340158562070636
21,21,-0.21046043885389487,-0.17652287202147043,0.03393756683242444
22,22,-0.2106868933424927,-0.17679770969795305,0.03388918364453963
23,23,-0.2110691975881286,-0.1770466636733108,0.0340225339148178
24,24,-0.21157715841808544,-0.17726758889549077,0.034309569522594674
25,25,-0.21225312015557662,-0.17746049490519622,0.034792625250380405
26,26,-0.21297166700830483,-0.17765340831837295,0.03531825868993188
27,27,-0.21391351748953935,-0.17782046100893667,0.03609305648060268
28,28,-0.21488621836381905,-0.17800907239311925,0.0368771459706998
29,29,-0.21565766640597306,-0.17824724061917152,0.03741042578680154
30,30,-0.21641279201147412,-0.1785284699331552,0.03788432207831893
31,31,-0.21732940612882745,-0.1786824857446161,0.03864692038421136
32,32,-0.21816253447052425,-0.17886021149840692,0.03930232297211733
33,33,-0.21879524101751102,-0.17911334837473858,0.03968189264277244
34,34,-0.21968614140711495,-0.17937073527883785,0.04031540612827711
35,35,-0.22064509278012845,-0.1796151290462501,0.04102996373387835
36,36,-0.22136071258071655,-0.1798379162027831,0.041522796377933435
37,37,-0.22199935739499022,-0.18001324831415755,0.04198610908083267
38,38,-0.22284599019410023,-0.1801713183821423,0.04267467181195794
39,39,-0.22335599929084926,-0.18026472156424111,0.043091277726608146
40,40,-0.22385988336936846,-0.1803387432707444,0.04352114009862407
41,41,-0.2242758885096019,-0.18043864256951436,0.04383724594008753
42,42,-0.22471371958671837,-0.18055362358906624,0.04416009599765214
43,43,-0.22495245267481256,-0.18065651949840045,0.04429593317641212
44,44,-0.22543617839233376,-0.1807817219566018,0.04465445643573196
45,45,-0.22576368984724515,-0.18093042214982757,0.04483326769741758
46,46,-0.22581827338848637,-0.18097365016119293,0.044844623227293434
47,47,-0.22583224075911557,-0.1809652359421995,0.04486700481691608
48,48,-0.2260440116799609,-0.18098236508278187,0.04506164659717904
49,49,-0.2262101702438214,-0.18093997192309652,0.045270198320724875
50,50,-0.22641782790783505,-0.18088352354880288,0.04553430435903216
51,51,-0.22667625816659542,-0.18085852620458465,0.04581773196201078
52,52,-0.22701338696187157,-0.1808940926926672,0.04611929426920436
