,time,kper,kstp,sample,flux,package
0,1.0,1,1,spring,-0.07407956576852914,GHB_SP
1,2.0,2,1,spring,-0.05439276443271446,GHB_SP
2,3.0,2,2,spring,-0.05211193013019999,GHB_SP
3,4.0,2,3,spring,-0.04926878249579225,GHB_SP
4,5.0,2,4,spring,-0.046803718904261604,GHB_SP
5,6.0,2,5,spring,-0.04409137818217035,GHB_SP
6,7.0,2,6,spring,-0.041671159101218436,GHB_SP
7,8.0,2,7,spring,-0.03891157098103948,GHB_SP
8,9.0,2,8,spring,-0.036135911221023775,GHB_SP
9,10.0,2,9,spring,-0.03333244337951946,GHB_SP
10,11.0,2,10,spring,-0.03090971778038032,GHB_SP
11,12.0,2,11,spring,-0.027935581667456688,GHB_SP
12,13.0,2,12,spring,-0.025221394877609438,GHB_SP
13,14.0,2,13,spring,-0.022422035611268765,GHB_SP
14,15.0,2,14,spring,-0.01979230437184043,GHB_SP
15,16.0,2,15,spring,-0.017815699229263515,GHB_SP
16,17.0,2,16,spring,-0.015545487143392211,GHB_SP
17,18.0,2,17,spring,-0.012866382093325246,GHB_SP
18,19.0,2,18,spring,-0.010140893626445102,GHB_SP
19,20.0,2,19,spring,-0.007365490234247485,GHB_SP
20,21.0,2,20,spring,-0.00437284570143559,GHB_SP
21,22.0,2,21,spring,-0.0020060522622413757,GHB_SP
22,23.0,2,22,spring,0.00010458771050281257,GHB_SP
23,24.0,2,23,spring,0.0014845436783961219,GHB_SP
24,25.0,2,24,spring,0.0022714453926138134,GHB_SP
25,26.0,2,25,spring,0.002312574374477183,GHB_SP
26,27.0,2,26,spring,0.0021269392580998137,GHB_SP
27,28.0,2,27,spring,0.0010301870023634585,GHB_SP
28,29.0,2,28,spring,-0.00023389009034868735,GHB_SP
29,30.0,2,29,spring,-0.0007275796625405562,GHB_SP
30,31.0,2,30,spring,-0.0011361726789358428,GHB_SP
31,32.0,2,31,spring,-0.0021008233941097743,GHB_SP
32,33.0,2,32,spring,-0.0028071717893438652,GHB_SP
33,34.0,2,33,spring,-0.0028233254920206896,GHB_SP
34,35.0,2,34,spring,-0.0037500005158341843,GHB_SP
35,36.0,2,35,spring,-0.004867308881612242,GHB_SP
36,37.0,2,36,spring,-0.0049895721462509535,GHB_SP
37,38.0,2,37,spring,-0.00488143577167266,GHB_SP
38,39.0,2,38,spring,-0.005718588043988504,GHB_SP
39,40.0,2,39,spring,-0.005457824927895594,GHB_SP
40,41.0,2,40,spring,-0.005360074285615468,GHB_SP
41,42.0,2,41,spring,-0.004861992881820765,GHB_SP
42,43.0,2,42,spring,-0.004427852951885747,GHB_SP
43,44.0,2,43,spring,-0.003228544525722743,GHB_SP
44,45.0,2,44,spring,-0.002987469633934925,GHB_SP
45,46.0,2,45,spring,-0.0020983502341760385,GHB_SP
46,47.0,2,46,spring,-0.0005584201860626692,GHB_SP
47,48.0,2,47,spring,0.0007356394177855385,GHB_SP
48,49.0,2,48,spring,0.0007273944514265551,GHB_SP
49,50.0,2,49,spring,0.0005706444090547436,GHB_SP
50,51.0,2,50,spring,8.337207149278214e-05,GHB_SP
