kper,kstp,time,k,i,j,SPq,pk4-spr-diff,weight,std
1,1,1.0,0,12,18,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,12,24,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,12,25,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,13,19,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,13,23,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,13,26,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,14,19,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,14,20,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,14,21,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,14,22,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,14,26,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,15,27,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,16,27,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,17,27,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,18,27,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,19,25,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,19,26,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,20,24,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,21,24,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,22,24,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
1,1,1.0,0,23,23,-1.4323859866984745,-0.15520559968429382,0.3333333333333333,3
2,1,2.0,0,12,18,-1.4,-0.15169642929755334,0.3333333333333333,3
2,1,2.0,0,12,24,-1.4,-0.15169642929755334,0.3333333333333333,3
