time,Unnamed: 0,kper,kstp,sample,flux,package,pk4-spr-diff,weight,std
1.0,0,1,1,spring,-1.4323859866984745,GHB_SP,0.15520559968429382,0.3333333333333333,3
2.0,1,2,1,spring,-1.4,GHB_SP,0.15169642929755334,0.3333333333333333,3
3.0,2,2,2,spring,-1.3588078117348736,GHB_SP,0.1472330665298589,0.3333333333333333,3
4.0,3,2,3,spring,-1.3157369591664336,GHB_SP,0.14256614185740624,0.3333333333333333,3
5.0,4,2,4,spring,-1.2808050140575418,GHB_SP,0.13878110518495124,0.3333333333333333,3
6.0,5,2,5,spring,-1.2439050331723296,GHB_SP,0.1347828227982122,0.3333333333333333,3
7.0,6,2,6,spring,-1.2155240451598013,GHB_SP,0.13170761241147133,0.3333333333333333,3
8.0,7,2,7,spring,-1.1748895707472182,GHB_SP,0.12730468050092014,0.3333333333333333,3
9.0,8,2,8,spring,-1.1290465571247532,GHB_SP,0.1223373794475151,0.3333333333333333,3
10.0,9,2,9,spring,-1.0796455814867423,GHB_SP,0.11698455687029963,0.3333333333333333,3
11.0,10,2,10,spring,-1.0440462157021868,GHB_SP,0.11312720210260352,0.3333333333333333,3
12.0,11,2,11,spring,-0.9985455595118574,GHB_SP,0.10819699704919739,0.3333333333333333,3
13.0,12,2,12,spring,-0.9584723604507336,GHB_SP,0.1038548819005527,0.3333333333333333,3
14.0,13,2,13,spring,-0.9094016162727844,GHB_SP,0.09853784141857513,0.3333333333333333,3
15.0,14,2,14,spring,-0.8540760432607305,GHB_SP,0.09254306150802538,0.3333333333333333,3
16.0,15,2,15,spring,-0.8008508756535491,GHB_SP,0.08677587016890165,0.3333333333333333,3
17.0,16,2,16,spring,-0.7439859792194083,GHB_SP,0.08061429749644855,0.3333333333333333,3
18.0,17,2,17,spring,-0.6733525987389368,GHB_SP,0.07296084634780353,0.3333333333333333,3
19.0,18,2,18,spring,-0.591475499418827,GHB_SP,0.06408908662773083,0.3333333333333333,3
20.0,19,2,19,spring,-0.5077723812885223,GHB_SP,0.055019469383846165,0.3333333333333333,3
21.0,20,2,20,spring,-0.4169216407321683,GHB_SP,0.04517537442567665,0.3333333333333333,3
22.0,21,2,21,spring,-0.34304595673181154,GHB_SP,0.037170604800842,0.3333333333333333,3
23.0,22,2,22,spring,-0.2740700197905957,GHB_SP,0.029696745271245106,0.3333333333333333,3
24.0,23,2,23,spring,-0.21828575525238708,GHB_SP,0.02365226402736198,0.3333333333333333,3
25.0,24,2,24,spring,-0.176194982883271,GHB_SP,0.019091535545382676,0.3333333333333333,3
26.0,25,2,25,spring,-0.1557737163943481,GHB_SP,0.016878797539594537,0.3333333333333333,3
27.0,26,2,26,spring,-0.1368159587546283,GHB_SP,0.01482463743857032,0.3333333333333333,3
