,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.27633920904853815,1e-05,27.633920904853813,True,fast,uniform,1.9449576562996047,0.22933800092053036
fast_n,1.0,0.1,5.0,True,fast,uniform,0.10007199692057907,0.7333479182041283
fast_a,10.0,0.01,10000.0,True,fast,uniform,7007.363170180152,605.0222592255207
fast_srmax,250.0,1e-05,1000.0,True,fast,uniform,94623.87160738702,315.40033686299836
fast_lp,0.25,1e-05,1.0,False,fast,uniform,,0.25
fast_ks,100.0,1e-05,10000.0,True,fast,uniform,21057.62419440884,96.62721854508163
fast_gamma,2.0,1e-05,20.0,True,fast,uniform,0.0702542613014063,0.7264604053519264
fast_kv,1.0,0.25,2.0,True,fast,uniform,0.1831908228245888,0.25000000000000006
fast_simax,2.0,0.0,10.0,False,fast,uniform,,2.0
slow_A,0.2633422071014444,1e-05,26.33422071014444,True,slow,uniform,0.2723584401476258,0.09027875200752823
slow_n,1.0,0.1,5.0,True,slow,uniform,0.656783808182267,1.4806753627918265
slow_a,10.0,0.01,10000.0,True,slow,uniform,123.74173341530059,91.20713728778522
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.00921402323678056,-0.08946841740757362
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,4.866738983045932,19.148784458755802
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,1.2331697259435215,2.694975198953131
constant_d,7.4715937507061065,,,True,constant,uniform,3.6281763977334793,6.952057849454895
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,2.802118049082658,7.721118563152846
