,recharge
2023-11-06,0.0
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,0.04999999557231494
2023-11-10,0.0
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.0
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,3.084938160039052
2023-11-21,5.078604031340969
2023-11-22,10.379176567827495
2023-11-23,8.275148824387268
2023-11-24,3.7617735641135055
2023-11-25,0.4453588441742906
2023-11-26,0.8749999862741755
2023-11-27,2.8364785903494187
2023-11-28,0.01352140758432796
2023-11-29,0.0
2023-11-30,0.0
2023-12-01,0.0
2023-12-02,0.0
2023-12-03,0.0
2023-12-04,0.0
2023-12-05,0.0
2023-12-06,0.0
2023-12-07,2.174999988045249
2023-12-08,0.2749999957199041
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,0.0
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,0.0
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,0.0
2023-12-20,0.0
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,0.0
2023-12-26,0.6000000000000001
2023-12-27,0.7499999926205243
2023-12-28,0.0
2023-12-29,0.0
2023-12-30,0.0
2023-12-31,1.6
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-06,0.0
2024-01-07,2.8
2024-01-08,3.4440836744433954
2024-01-09,0.2809163203909728
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,0.0
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,4.139021857777422
2024-01-18,1.5609781380900722
2024-01-19,0.0
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,3.8378817049790306
2024-01-25,0.48711829221676917
2024-01-26,0.0
2024-01-27,1.2000000000000002
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,14.863550492445006
2024-01-31,8.587314378259096
2024-02-01,5.270467657437245
2024-02-02,1.4286674656598928
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,3.359910519892443
2024-02-12,0.2400894801075566
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,8.102760904176488
2024-03-01,3.641191633733371
2024-03-02,0.3810474569245055
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,2.8
2024-03-15,2.049999995572314
2024-03-16,1.3499999961626727
2024-03-17,2.890395599988943
2024-03-18,0.034604397206856596
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-23,0.0
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,0.0
2024-03-29,0.0
2024-03-30,0.0
2024-03-31,0.0
2024-04-01,4.139021857777421
2024-04-02,0.6609781422225787
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,1.7999999999999998
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,8.139062957593971
2024-04-23,7.986632899854304
2024-04-24,3.560173128722119
2024-04-25,0.33913101161576265
2024-04-26,0.0
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,1.2000000000000002
2024-05-09,0.0
2024-05-10,0.0
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,3.740924106784268
2024-05-23,30.077047319804077
2024-05-24,21.33761265600803
2024-05-25,13.599609142178872
2024-05-26,7.634838890367124
2024-05-27,3.315801583016519
2024-05-28,0.21916628250688497
2024-05-29,0.0
2024-05-30,0.0
