,mm
2023-11-06,15.799999999999997
2023-11-07,15.799999999999997
2023-11-08,14.799999999999995
2023-11-09,14.799999999999995
2023-11-10,14.799999999999995
2023-11-11,14.799999999999995
2023-11-12,14.799999999999995
2023-11-13,36.599999999999994
2023-11-14,38.8
2023-11-15,30.599999999999998
2023-11-16,30.599999999999998
2023-11-17,33.4
2023-11-18,33.4
2023-11-19,32.2
2023-11-20,34.2
2023-11-21,35.0
2023-11-22,34.8
2023-11-23,34.8
2023-11-24,34.8
2023-11-25,34.8
2023-11-26,34.8
2023-11-27,12.999999999999996
2023-11-28,8.399999999999997
2023-11-29,5.799999999999997
2023-11-30,5.799999999999997
2023-12-01,2.9999999999999964
2023-12-02,8.199999999999996
2023-12-03,14.599999999999998
2023-12-04,28.799999999999997
2023-12-05,34.4
2023-12-06,35.0
2023-12-07,35.0
2023-12-08,37.599999999999994
2023-12-09,40.8
2023-12-10,40.8
2023-12-11,40.8
2023-12-12,40.8
2023-12-13,40.8
2023-12-14,40.8
2023-12-15,42.199999999999996
2023-12-16,37.2
2023-12-17,31.799999999999997
2023-12-18,15.999999999999996
2023-12-19,12.599999999999998
2023-12-20,12.999999999999996
2023-12-21,12.999999999999996
2023-12-22,10.399999999999995
2023-12-23,7.199999999999997
2023-12-24,8.599999999999996
2023-12-25,8.599999999999996
2023-12-26,8.599999999999996
2023-12-27,8.599999999999996
2023-12-28,8.599999999999996
2023-12-29,7.199999999999996
2023-12-30,6.9999999999999964
2023-12-31,5.799999999999997
2024-01-01,5.399999999999997
2024-01-02,2.7999999999999963
2024-01-03,1.7999999999999963
2024-01-04,1.7999999999999963
2024-01-05,1.7999999999999963
2024-01-06,1.7999999999999963
2024-01-07,2.9999999999999964
2024-01-08,4.9999999999999964
2024-01-09,4.9999999999999964
2024-01-10,4.9999999999999964
2024-01-11,5.399999999999997
2024-01-12,8.999999999999996
2024-01-13,9.599999999999996
2024-01-14,9.599999999999996
2024-01-15,9.599999999999996
2024-01-16,9.199999999999996
2024-01-17,9.199999999999996
2024-01-18,9.199999999999996
2024-01-19,13.999999999999996
2024-01-20,18.599999999999998
2024-01-21,15.999999999999996
2024-01-22,13.999999999999996
2024-01-23,13.999999999999996
2024-01-24,13.999999999999996
2024-01-25,13.599999999999998
2024-01-26,9.999999999999996
2024-01-27,9.399999999999999
2024-01-28,9.399999999999999
2024-01-29,16.2
2024-01-30,17.799999999999997
2024-01-31,17.799999999999997
2024-02-01,17.799999999999997
2024-02-02,12.999999999999998
2024-02-03,8.399999999999999
2024-02-04,8.999999999999998
2024-02-05,15.199999999999996
2024-02-06,16.399999999999995
2024-02-07,16.399999999999995
2024-02-08,19.599999999999998
2024-02-09,19.599999999999998
2024-02-10,19.799999999999997
2024-02-11,49.8
2024-02-12,43.4
2024-02-13,44.6
2024-02-14,45.0
2024-02-15,45.0
2024-02-16,45.0
2024-02-17,46.8
2024-02-18,46.199999999999996
2024-02-19,39.99999999999999
2024-02-20,38.8
2024-02-21,38.8
2024-02-22,35.599999999999994
2024-02-23,41.199999999999996
2024-02-24,41.4
2024-02-25,11.399999999999997
2024-02-26,10.999999999999996
2024-02-27,8.199999999999998
2024-02-28,7.799999999999997
2024-02-29,7.799999999999997
2024-03-01,7.799999999999997
2024-03-02,5.9999999999999964
2024-03-03,5.9999999999999964
2024-03-04,5.9999999999999964
2024-03-05,5.9999999999999964
2024-03-06,5.9999999999999964
2024-03-07,5.9999999999999964
2024-03-08,0.39999999999999647
